index,label,source_kind,source_project,previous_run_id,new_run_id,new_run_name,reason
75,Crop planning hierarchical | PPO | fixed_weather | seed=0 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,sqzjc7ms,txqt5qoz,effortless-yogurt-2,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
78,Crop planning hierarchical | PPO | random_weather | seed=0 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,bqvjsaev,hnciyqgu,bumbling-sky-2,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
81,Crop planning hierarchical | PPO | fixed_weather | seed=1 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,98dvficd,632oybd5,graceful-microwave-2,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
84,Crop planning hierarchical | PPO | random_weather | seed=1 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,s1d9mzrv,p1fmc4ng,glowing-surf-5,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
87,Crop planning hierarchical | PPO | fixed_weather | seed=2 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,ib7b5p3m,par0rsfm,dulcet-shape-1,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
90,Crop planning hierarchical | PPO | random_weather | seed=2 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,a23ojanf,6q86m4ok,serene-rain-6,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
93,Crop planning hierarchical | A2C | fixed_weather | seed=0 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,hsrujhet,fiz7icrb,confused-morning-7,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
96,Crop planning hierarchical | A2C | random_weather | seed=0 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,a1h7d8zg,mmerpboq,deft-violet-10,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
99,Crop planning hierarchical | A2C | fixed_weather | seed=1 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,8lio7v8m,v19aknzu,true-sunset-8,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
102,Crop planning hierarchical | A2C | random_weather | seed=1 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,padkozck,m3z3strw,crisp-glitter-11,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
105,Crop planning hierarchical | A2C | fixed_weather | seed=2 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,86uvrua7,0n0g6q3c,autumn-field-9,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
108,Crop planning hierarchical | A2C | random_weather | seed=2 | profile=pakistan_baseline,recovered_hierarchical_rerun,Recovered/wandb_full_backup/Thesis-Final-Hierarchical-Rerun,qkjzl6g4,oqaxzu6x,devoted-bird-12,replace_older_hierarchical_bundle_with_recovered_hierarchical_rerun
109,Fertilization | DQN ablation | adaptive | fixed_weather | years=5000 | seed=0,recovered_dqn_rerun,Recovered/wandb_full_backup/Thesis-Final,,zk7g2z05,mini-castle-122,fill_failed_matrix_slot_with_successful_recovered_dqn_rerun
110,Fertilization | DQN ablation | adaptive | random_weather | years=5000 | seed=0,recovered_dqn_rerun,Recovered/wandb_full_backup/Thesis-Final,,vfgm40w7,metal-level-123,fill_failed_matrix_slot_with_successful_recovered_dqn_rerun
111,Crop planning | DQN ablation | nonadaptive | fixed_weather | seed=0,recovered_dqn_rerun,Recovered/wandb_full_backup/Thesis-Final,,mn4hg3h6,spiky-toadette-124,fill_failed_matrix_slot_with_successful_recovered_dqn_rerun
112,Crop planning | DQN ablation | nonadaptive | random_weather | seed=0,recovered_dqn_rerun,Recovered/wandb_full_backup/Thesis-Final,,s6td3gfc,royal-toad-125,fill_failed_matrix_slot_with_successful_recovered_dqn_rerun
