DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
1980-01-01	8873.886558    	59.790582      	76.203705      	0.037371       	0.000000       	0.037371       	0.291313       	0.000728       	0.042354       	0.000002       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-02	8873.872070    	59.853576      	76.054140      	0.014488       	0.000000       	0.014488       	0.063153       	0.000158       	0.100900       	0.000002       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-03	8873.856656    	59.914150      	75.922217      	0.015414       	0.000000       	0.015414       	0.060728       	0.000152       	0.086609       	0.000002       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-04	8873.855678    	59.969289      	75.795971      	0.000977       	0.000000       	0.000977       	0.055279       	0.000138       	0.071944       	0.000002       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-05	8873.854790    	60.021396      	75.648668      	0.000888       	0.000000       	0.000888       	0.052240       	0.000131       	0.095952       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-06	8873.853998    	60.070307      	75.543215      	0.000792       	0.000000       	0.000792       	0.049035       	0.000123       	0.057210       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-07	8873.853263    	60.116584      	75.302056      	0.000735       	0.000000       	0.000735       	0.046394       	0.000116       	0.195501       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-08	8873.852737    	82.658210      	142.558995     	0.000526       	0.000000       	0.000526       	0.041731       	0.000104       	0.201856       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-09	8873.852259    	82.697376      	142.456179     	0.000478       	0.000000       	0.000478       	0.039265       	0.000098       	0.064029       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-10	8873.851827    	82.734122      	142.305546     	0.000432       	0.000000       	0.000432       	0.036838       	0.000092       	0.114227       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-11	8873.851404    	82.769237      	141.820084     	0.000424       	0.000000       	0.000424       	0.035204       	0.000088       	0.450682       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-12	8873.850793    	82.805882      	141.235536     	0.000610       	0.000000       	0.000610       	0.036738       	0.000092       	0.548420       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-13	8873.850360    	82.839307      	141.062142     	0.000433       	0.000000       	0.000433       	0.033508       	0.000084       	0.140319       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-14	8873.849954    	82.871526      	140.859826     	0.000406       	0.000000       	0.000406       	0.032301       	0.000081       	0.170421       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-15	8873.849547    	82.903007      	140.648873     	0.000407       	0.000000       	0.000407       	0.031560       	0.000079       	0.179799       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-16	8873.802193    	83.567349      	139.891065     	0.047354       	0.000000       	0.047354       	0.668505       	0.001671       	0.136657       	0.002492       	0.000856       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-17	8873.762880    	84.129808      	139.127568     	0.039313       	0.000000       	0.039313       	0.565563       	0.001414       	0.237247       	0.001691       	0.000568       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-18	8873.699383    	85.034488      	138.059975     	0.063497       	0.000000       	0.063497       	0.909259       	0.002273       	0.221832       	0.002306       	0.000736       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-19	8873.670282    	85.422059      	137.430777     	0.029101       	0.000000       	0.029101       	0.389495       	0.000974       	0.268804       	0.000950       	0.000301       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-20	8873.669483    	85.459161      	137.163322     	0.000799       	0.000000       	0.000799       	0.037197       	0.000093       	0.231056       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-21	8873.668767    	85.494847      	136.891117     	0.000716       	0.000000       	0.000716       	0.035776       	0.000089       	0.237146       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-22	8873.668071    	93.029735      	159.139755     	0.000696       	0.000000       	0.000696       	0.034977       	0.000087       	0.217081       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-23	8873.667404    	93.063640      	158.785344     	0.000667       	0.000000       	0.000667       	0.033991       	0.000085       	0.321087       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-24	8873.666984    	93.093322      	158.608933     	0.000420       	0.000000       	0.000420       	0.029757       	0.000074       	0.147074       	0.000001       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-25	8873.666631    	93.120813      	158.469624     	0.000354       	0.000000       	0.000354       	0.027561       	0.000069       	0.112102       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-26	8873.666446    	93.144823      	158.190661     	0.000184       	0.000000       	0.000184       	0.024070       	0.000060       	0.255077       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-27	8873.666269    	93.167702      	158.094528     	0.000177       	0.000000       	0.000177       	0.022936       	0.000057       	0.073374       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-28	8873.666097    	93.189639      	157.872903     	0.000172       	0.000000       	0.000172       	0.021992       	0.000055       	0.199804       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-29	8873.665931    	96.960728      	168.929680     	0.000166       	0.000000       	0.000166       	0.021141       	0.000053       	0.172249       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-30	8873.665770    	96.980876      	168.728520     	0.000161       	0.000000       	0.000161       	0.020199       	0.000050       	0.181121       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-01-31	8873.665617    	96.999915      	168.589839     	0.000153       	0.000000       	0.000153       	0.019087       	0.000048       	0.119748       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-02-01	8873.665472    	97.017696      	168.413283     	0.000145       	0.000000       	0.000145       	0.017826       	0.000045       	0.158875       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-02-02	8873.665347    	97.032704      	168.255901     	0.000125       	0.000000       	0.000125       	0.015046       	0.000038       	0.142461       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
1980-02-03	8873.665228    	97.046699      	168.089417     	0.000118       	0.000000       	0.000118       	0.014030       	0.000035       	0.152573       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
