DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	17279.037959   	46.705567      	84.826097      	71.349808      	0.000000       	71.349808      	5.972914       	0.014932       	0.800796       	0.002415       	0.000117       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	17278.005810   	52.349066      	79.574958      	1.032149       	0.000000       	1.032149       	5.659938       	0.014150       	0.623350       	0.002289       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	17277.029749   	57.218344      	75.122576      	0.976061       	0.000000       	0.976061       	4.883376       	0.012208       	0.545067       	0.001890       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	17276.089807   	61.694956      	71.082699      	0.939942       	0.000000       	0.939942       	4.489687       	0.011224       	0.490132       	0.001852       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	17275.170096   	65.973116      	67.237934      	0.919711       	0.000000       	0.919711       	4.290729       	0.010727       	0.473747       	0.001842       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	17274.198125   	70.906705      	62.487469      	0.971971       	0.000000       	0.971971       	4.947948       	0.012370       	0.774487       	0.001990       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	17273.230343   	75.519135      	58.060527      	0.967783       	0.000000       	0.967783       	4.626009       	0.011565       	0.768717       	0.002014       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	17272.268990   	84.428923      	64.325319      	0.961352       	0.000000       	0.961352       	5.174772       	0.012937       	0.771788       	0.002047       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	17271.357022   	88.743298      	60.490592      	0.911968       	0.000000       	0.911968       	4.327176       	0.010818       	0.419519       	0.001984       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	17270.469744   	92.766558      	56.662377      	0.887279       	0.000000       	0.887279       	4.035325       	0.010088       	0.680168       	0.001976       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	17269.511089   	97.684964      	51.849395      	0.958654       	0.000000       	0.958654       	4.932925       	0.012332       	0.838712       	0.002187       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	17268.548692   	102.217788     	47.819721      	0.962397       	0.000000       	0.962397       	4.546444       	0.011366       	0.445627       	0.002254       	0.000069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	17267.635678   	104.534138     	46.268329      	0.913014       	0.000000       	0.913014       	2.338959       	0.005847       	0.125448       	0.016761       	0.005424       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	17266.723727   	106.967825     	44.623472      	0.911951       	0.000000       	0.911951       	2.453684       	0.006134       	0.103124       	0.013862       	0.004334       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	17265.874577   	113.518566     	53.672084      	0.849150       	0.000000       	0.849150       	2.814039       	0.007035       	0.236499       	0.006263       	0.001449       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	17264.997750   	116.697913     	51.035112      	0.876827       	0.000000       	0.876827       	3.192186       	0.007980       	0.321614       	0.004858       	0.000751       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	17264.142207   	119.920639     	48.304077      	0.855543       	0.000000       	0.855543       	3.234393       	0.008086       	0.352184       	0.003581       	0.000439       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	17263.336912   	122.817459     	45.928328      	0.805295       	0.000000       	0.805295       	2.906996       	0.007267       	0.274048       	0.002909       	0.000285       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	17262.545844   	125.647566     	43.600439      	0.791068       	0.000000       	0.791068       	2.839859       	0.007100       	0.279098       	0.002652       	0.000219       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	17261.782104   	128.243644     	41.576774      	0.763741       	0.000000       	0.763741       	2.605042       	0.006513       	0.182363       	0.002452       	0.000175       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	17261.047801   	129.990556     	40.417185      	0.734302       	0.000000       	0.734302       	1.761771       	0.004404       	0.132120       	0.010454       	0.004005       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	17260.329217   	135.852892     	50.168384      	0.718584       	0.000000       	0.718584       	2.131763       	0.005329       	0.085623       	0.014097       	0.005556       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	17259.621420   	138.019210     	48.603725      	0.707797       	0.000000       	0.707797       	2.179364       	0.005448       	0.093092       	0.007597       	0.002668       	0.000000       	0.000000       	0.000000       	0.000000       
