DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	17277.680147   	42.423047      	75.693262      	72.707620      	0.000000       	72.707620      	5.439135       	0.013598       	0.575223       	0.002491       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	17276.627616   	47.419963      	71.219823      	1.052531       	0.000000       	1.052531       	5.011769       	0.012529       	0.514201       	0.002323       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	17275.738044   	50.597352      	68.748811      	0.889572       	0.000000       	0.889572       	3.187042       	0.007968       	0.173541       	0.001686       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	17274.875204   	53.861574      	65.721984      	0.862840       	0.000000       	0.862840       	3.274092       	0.008185       	0.615576       	0.001684       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	17273.952074   	57.981622      	61.761118      	0.923129       	0.000000       	0.923129       	4.132217       	0.010331       	0.751778       	0.001840       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	17272.978025   	62.512186      	57.598949      	0.974049       	0.000000       	0.974049       	4.543902       	0.011360       	0.592316       	0.001977       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	17272.031410   	66.456368      	54.218320      	0.946615       	0.000000       	0.946615       	3.956028       	0.009890       	0.371217       	0.001957       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	17271.111776   	70.028134      	51.258478      	0.919634       	0.000000       	0.919634       	3.582667       	0.008957       	0.296809       	0.001944       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	17270.199103   	73.524232      	48.243081      	0.912673       	0.000000       	0.912673       	3.506838       	0.008767       	0.421231       	0.001973       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	17269.285049   	76.977981      	45.205385      	0.914054       	0.000000       	0.914054       	3.464432       	0.008661       	0.487318       	0.002022       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	17268.387080   	80.177610      	42.476485      	0.897969       	0.000000       	0.897969       	3.209689       	0.008024       	0.417180       	0.002035       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	17267.520686   	83.030286      	40.218876      	0.866393       	0.000000       	0.866393       	2.861845       	0.007155       	0.262157       	0.002014       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	17266.690678   	85.578236      	38.216769      	0.830009       	0.000000       	0.830009       	2.556319       	0.006391       	0.275796       	0.001978       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	17265.901808   	87.832564      	36.398326      	0.788869       	0.000000       	0.788869       	2.261908       	0.005655       	0.345405       	0.001926       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	17265.080819   	126.784946     	116.709211     	0.820990       	0.000000       	0.820990       	8.976870       	0.022442       	1.533234       	0.002046       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	17264.243349   	135.788787     	106.835300     	0.837469       	0.000000       	0.837469       	9.028551       	0.022571       	1.682829       	0.002138       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	17263.391806   	144.518139     	97.691706      	0.851544       	0.000000       	0.851544       	8.753466       	0.021884       	1.241671       	0.002231       	0.000072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	17262.564701   	151.864587     	90.298274      	0.827104       	0.000000       	0.827104       	7.367096       	0.018418       	0.853441       	0.002230       	0.000072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	17261.763376   	158.265168     	83.731913      	0.801326       	0.000000       	0.801326       	6.418845       	0.016047       	0.948841       	0.002217       	0.000072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	17260.946424   	164.986666     	76.956788      	0.816951       	0.000000       	0.816951       	6.740656       	0.016852       	0.851421       	0.002307       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	17260.121305   	171.486084     	70.156075      	0.825119       	0.000000       	0.825119       	6.518102       	0.016295       	1.107730       	0.002388       	0.000081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	17259.321998   	176.877254     	64.865465      	0.799307       	0.000000       	0.799307       	5.407065       	0.013518       	0.682851       	0.002378       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	17258.537250   	181.802612     	59.918782      	0.784748       	0.000000       	0.784748       	4.940096       	0.012350       	0.791336       	0.002388       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	17257.751120   	186.596038     	55.314318      	0.786130       	0.000000       	0.786130       	4.807887       	0.012020       	0.582708       	0.002442       	0.000087       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	17256.958230   	191.254892     	50.678000      	0.792889       	0.000000       	0.792889       	4.673053       	0.011683       	0.756154       	0.002516       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	17256.175476   	195.392767     	46.806521      	0.782755       	0.000000       	0.782755       	4.150797       	0.010377       	0.503437       	0.002545       	0.000094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	17255.392399   	199.282761     	43.257728      	0.783077       	0.000000       	0.783077       	3.902346       	0.009756       	0.429524       	0.002596       	0.000098       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	17254.546260   	202.017101     	41.163119      	0.846139       	0.000000       	0.846139       	2.755416       	0.006889       	0.185332       	0.014188       	0.006228       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	17253.817282   	220.100266     	82.980427      	0.728978       	0.000000       	0.728978       	3.568543       	0.008937       	0.343127       	0.476440       	0.066607       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	17253.019438   	223.995558     	79.175681      	0.797843       	0.000000       	0.797843       	4.148310       	0.010371       	0.454280       	0.242646       	0.045254       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	17252.200458   	228.256216     	75.269836      	0.818980       	0.000000       	0.818980       	4.445916       	0.011132       	0.278908       	0.174126       	0.033625       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	17251.428617   	232.211905     	71.563912      	0.771841       	0.000000       	0.771841       	4.116967       	0.010292       	0.360799       	0.150985       	0.031515       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	17250.702948   	235.876876     	68.041641      	0.725670       	0.000000       	0.725670       	3.802373       	0.009506       	0.445567       	0.127896       	0.022890       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	17250.005076   	239.336339     	64.681254      	0.697872       	0.000000       	0.697872       	3.581847       	0.008955       	0.476412       	0.113430       	0.019211       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	17249.298350   	242.947824     	61.081623      	0.706726       	0.000000       	0.706726       	3.729375       	0.009323       	0.576982       	0.108566       	0.017875       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	17248.474131   	246.048388     	58.393064      	0.824219       	0.000000       	0.824219       	3.229461       	0.008074       	0.283318       	0.120824       	0.023052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	17247.679461   	248.787728     	56.101569      	0.794670       	0.000000       	0.794670       	2.861240       	0.007153       	0.224925       	0.114747       	0.021557       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	17246.923925   	251.090290     	54.097733      	0.755536       	0.000000       	0.755536       	2.498068       	0.006245       	0.261304       	0.189261       	0.043934       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	17246.468128   	252.558010     	52.218824      	0.455797       	0.000000       	0.455797       	1.960807       	0.004940       	0.373899       	0.488147       	0.038587       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	17246.059668   	253.844347     	50.965802      	0.408460       	0.000000       	0.408460       	1.522102       	0.004048       	0.139380       	0.231717       	0.021764       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	17245.606617   	254.844150     	50.075133      	0.453051       	0.000000       	0.453051       	1.237217       	0.003170       	0.106503       	0.234244       	0.033163       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	17245.064877   	255.907788     	49.252280      	0.541740       	0.000000       	0.541740       	1.279649       	0.003246       	0.084945       	0.212765       	0.032565       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	17244.429817   	257.583351     	47.838184      	0.635060       	0.000000       	0.635060       	1.900042       	0.004819       	0.149114       	0.219660       	0.038528       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	17243.829902   	259.105406     	46.534643      	0.599916       	0.000000       	0.599916       	1.723213       	0.004327       	0.180243       	0.196831       	0.035248       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	17243.196622   	260.562966     	45.384298      	0.633279       	0.000000       	0.633279       	1.648756       	0.004128       	0.134868       	0.187070       	0.033597       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	17242.579831   	261.607153     	44.556919      	0.616791       	0.000000       	0.616791       	1.287330       	0.003225       	0.156840       	0.239918       	0.045613       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	17242.005552   	262.545100     	43.913166      	0.574279       	0.000000       	0.574279       	1.129710       	0.002831       	0.088322       	0.188932       	0.034710       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	17241.410657   	263.665564     	42.995042      	0.594894       	0.000000       	0.594894       	1.315090       	0.003296       	0.197928       	0.191330       	0.036171       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	17240.853626   	264.710887     	42.125826      	0.557032       	0.000000       	0.557032       	1.226495       	0.003077       	0.199752       	0.178096       	0.032272       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	17240.262522   	270.484460     	51.403421      	0.591104       	0.000000       	0.591104       	2.212236       	0.005544       	0.351273       	0.183119       	0.033180       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	17239.661590   	272.526186     	49.343962      	0.600931       	0.000000       	0.600931       	2.229283       	0.005591       	0.431107       	0.181967       	0.032165       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	17239.005688   	274.891750     	46.981325      	0.655902       	0.000000       	0.655902       	2.563702       	0.006432       	0.454837       	0.191706       	0.033651       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	17238.348641   	276.966689     	45.042056      	0.657046       	0.000000       	0.657046       	2.269382       	0.005703       	0.326933       	0.188740       	0.032109       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	17237.679277   	278.907851     	43.345851      	0.669364       	0.000000       	0.669364       	2.133392       	0.005371       	0.232176       	0.186860       	0.031281       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	17236.877380   	280.629827     	42.066786      	0.801897       	0.000000       	0.801897       	1.911056       	0.004826       	0.169906       	0.184254       	0.030340       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	17236.114719   	281.860630     	41.308803      	0.762661       	0.000000       	0.762661       	1.428289       	0.003632       	0.092355       	0.193854       	0.033735       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	17235.324044   	283.110306     	40.531123      	0.790676       	0.000000       	0.790676       	1.465620       	0.003739       	0.102735       	0.212205       	0.039386       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	17234.493719   	284.551587     	39.571235      	0.830325       	0.000000       	0.830325       	1.654723       	0.004229       	0.135489       	0.209214       	0.037901       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	17233.614145   	285.852481     	38.725878      	0.879574       	0.000000       	0.879574       	1.579288       	0.004061       	0.145643       	0.274332       	0.055206       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	17232.752091   	286.885767     	38.010403      	0.862054       	0.000000       	0.862054       	1.435428       	0.003726       	0.142102       	0.398417       	0.079560       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	17231.904582   	288.003380     	37.240216      	0.847509       	0.000000       	0.847509       	1.431499       	0.003723       	0.186197       	0.310162       	0.058834       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	17231.093876   	289.000267     	36.664690      	0.810705       	0.000000       	0.810705       	1.268858       	0.003317       	0.117373       	0.268654       	0.051276       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	17230.361187   	289.845779     	36.212367      	0.732689       	0.000000       	0.732689       	1.092731       	0.002902       	0.092281       	0.244317       	0.045468       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	17229.634088   	290.801275     	35.617042      	0.727099       	0.000000       	0.727099       	1.192104       	0.003176       	0.130321       	0.233432       	0.042603       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	17228.914343   	291.526279     	35.346898      	0.719745       	0.000000       	0.719745       	0.933415       	0.002556       	0.056473       	0.205856       	0.036158       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	17228.189014   	292.383023     	34.923597      	0.725329       	0.000000       	0.725329       	1.072932       	0.002932       	0.075699       	0.213256       	0.038271       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	17227.436961   	293.379833     	34.336416      	0.752053       	0.000000       	0.752053       	1.219825       	0.003330       	0.119409       	0.219685       	0.038953       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	17226.710173   	294.285759     	33.818067      	0.726788       	0.000000       	0.726788       	1.122715       	0.003123       	0.122422       	0.213666       	0.036912       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	17225.942031   	295.184310     	33.360489      	0.768142       	0.000000       	0.768142       	1.114803       	0.003141       	0.110916       	0.213111       	0.036417       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	17225.168009   	296.061676     	32.931356      	0.774022       	0.000000       	0.774022       	1.094186       	0.003130       	0.108969       	0.213690       	0.035894       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	17224.382270   	296.881793     	32.561806      	0.785739       	0.000000       	0.785739       	1.038171       	0.003034       	0.117117       	0.215021       	0.035634       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-13	17223.585871   	297.622763     	32.277264      	0.796399       	0.000000       	0.796399       	0.959504       	0.002883       	0.121436       	0.215651       	0.035260       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-14	17222.779129   	298.296909     	32.058857      	0.806742       	0.000000       	0.806742       	0.892827       	0.002764       	0.132321       	0.215917       	0.034879       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-15	17221.931362   	298.967678     	31.883370      	0.847767       	0.000000       	0.847767       	0.895666       	0.002821       	0.127589       	0.222077       	0.035631       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-16	17221.068352   	299.603542     	31.746989      	0.863010       	0.000000       	0.863010       	0.864106       	0.002796       	0.135285       	0.225445       	0.035614       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-17	17220.205871   	300.218733     	31.639563      	0.862481       	0.000000       	0.862481       	0.841909       	0.002793       	0.127998       	0.223926       	0.035012       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-18	17219.332405   	300.838793     	31.534220      	0.873465       	0.000000       	0.873465       	0.847151       	0.002856       	0.131658       	0.224234       	0.034818       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-19	17218.432848   	301.482550     	31.424153      	0.899557       	0.000000       	0.899557       	0.874643       	0.002975       	0.134982       	0.227911       	0.035193       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-20	17217.522574   	302.134322     	31.308178      	0.910274       	0.000000       	0.910274       	0.884717       	0.003052       	0.141533       	0.229893       	0.035205       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-21	17216.591100   	302.802161     	31.164178      	0.931520       	0.000000       	0.931520       	0.908438       	0.003162       	0.162629       	0.232984       	0.035488       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-22	17215.657138   	303.460886     	30.998326      	0.934098       	0.000000       	0.934098       	0.904144       	0.003201       	0.186291       	0.232818       	0.035184       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-23	17214.726004   	304.108043     	30.850873      	0.931427       	0.000000       	0.931427       	0.899113       	0.003233       	0.162017       	0.231138       	0.034755       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-24	17213.790374   	304.757465     	30.762426      	0.936106       	0.000000       	0.936106       	0.904923       	0.003287       	0.097893       	0.230743       	0.034574       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-25	17212.857567   	305.399356     	30.673719      	0.933505       	0.000000       	0.933505       	0.903348       	0.003319       	0.090799       	0.229474       	0.034239       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-26	17211.940877   	306.010605     	30.512609      	0.917675       	0.000000       	0.917675       	0.885776       	0.003307       	0.157483       	0.225475       	0.033501       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-27	17210.803421   	306.577574     	30.685512      	1.139408       	0.000000       	1.139408       	0.861772       	0.003269       	0.063944       	0.228679       	0.035066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-28	17209.845315   	307.140829     	30.628200      	0.960076       	0.000000       	0.960076       	0.867715       	0.003303       	0.106646       	0.219859       	0.032631       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-29	17208.574604   	307.652539     	30.936897      	1.274649       	0.000000       	1.274649       	0.872958       	0.003334       	0.050668       	0.273462       	0.047895       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-30	17207.337386   	308.157131     	31.189248      	1.241911       	0.000000       	1.241911       	0.876687       	0.003362       	0.056416       	0.250781       	0.042838       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-31	17206.238383   	308.643380     	31.258272      	1.104051       	0.000000       	1.104051       	0.882899       	0.003393       	0.092706       	0.229265       	0.036480       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-01	17205.209489   	309.093560     	31.292776      	1.034554       	0.000000       	1.034554       	0.863173       	0.003351       	0.078424       	0.217272       	0.033195       	0.000000       	0.000000       	0.000000       	0.000000       
