DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	17285.950049   	63.421378      	120.864765     	64.437718      	0.000000       	64.437718      	7.692900       	0.019232       	1.130053       	0.002290       	0.000110       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	17284.982563   	70.355655      	114.098081     	0.967486       	0.000000       	0.967486       	6.953778       	0.017384       	0.780391       	0.002117       	0.000091       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	17284.054128   	76.638242      	108.213837     	0.928435       	0.000000       	0.928435       	6.300126       	0.015750       	0.512553       	0.001789       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	17283.211594   	81.504684      	103.613467     	0.842534       	0.000000       	0.842534       	4.880276       	0.012201       	0.562628       	0.001633       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	17282.405091   	86.090217      	99.190985      	0.806504       	0.000000       	0.806504       	4.598621       	0.011497       	0.630365       	0.001591       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	17281.608722   	90.767255      	94.515629      	0.796368       	0.000000       	0.796368       	4.690358       	0.011726       	0.781367       	0.001594       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	17280.807695   	95.613284      	89.722349      	0.801027       	0.000000       	0.801027       	4.859808       	0.012150       	0.734498       	0.001630       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	17279.967971   	132.155774     	157.719963     	0.839725       	0.000000       	0.839725       	10.320033      	0.025800       	1.272078       	0.001742       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	17279.117692   	142.232711     	146.784356     	0.850278       	0.000000       	0.850278       	10.103993      	0.025260       	1.681893       	0.001797       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	17278.250773   	152.298195     	135.709218     	0.866919       	0.000000       	0.866919       	10.092588      	0.025231       	1.849469       	0.001873       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	17277.373127   	162.094314     	125.252283     	0.877647       	0.000000       	0.877647       	9.822614       	0.024557       	1.511967       	0.001939       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	17276.501856   	171.074182     	115.477768     	0.871271       	0.000000       	0.871271       	9.004351       	0.022511       	1.641435       	0.001972       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
