DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	17286.946546   	40.653067      	68.537858      	63.441221      	0.000000       	63.441221      	3.664491       	0.009161       	0.238872       	0.002263       	0.000121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	17286.124609   	43.451443      	66.117305      	0.821937       	0.000000       	0.821937       	2.807231       	0.007018       	0.435260       	0.001837       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	17285.295390   	46.553691      	63.545778      	0.829219       	0.000000       	0.829219       	3.111869       	0.007780       	0.288877       	0.001842       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	17284.519742   	49.243603      	61.207485      	0.775647       	0.000000       	0.775647       	2.698164       	0.006745       	0.415777       	0.001506       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	17283.771212   	51.786113      	59.090948      	0.748531       	0.000000       	0.748531       	2.550363       	0.006376       	0.314704       	0.001477       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	17283.055033   	54.133456      	57.265146      	0.716179       	0.000000       	0.716179       	2.354654       	0.005887       	0.187327       	0.001424       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	17282.382156   	56.190757      	55.549553      	0.672877       	0.000000       	0.672877       	2.063811       	0.005160       	0.324659       	0.001350       	0.000037       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	17281.767717   	57.857352      	54.231873      	0.614439       	0.000000       	0.614439       	1.672017       	0.004180       	0.260102       	0.001242       	0.000034       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	17281.113103   	60.087260      	52.251961      	0.654614       	0.000000       	0.654614       	2.236851       	0.005592       	0.397676       	0.001350       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
