DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	17291.319624   	62.519859      	116.375112     	59.068143      	0.000000       	59.068143      	6.788999       	0.016972       	1.154032       	0.002167       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	17290.325012   	69.866383      	109.421193     	0.994612       	0.000000       	0.994612       	7.367137       	0.018418       	0.581394       	0.002195       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	17289.351540   	74.860623      	105.069517     	0.973472       	0.000000       	0.973472       	5.023209       	0.012558       	0.301938       	0.016411       	0.004060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	17288.476335   	78.952561      	101.445140     	0.875205       	0.000000       	0.875205       	4.111426       	0.010279       	0.388156       	0.009210       	0.002101       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	17287.599187   	83.371200      	97.469276      	0.877148       	0.000000       	0.877148       	4.436680       	0.011092       	0.416332       	0.006949       	0.001289       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	17286.714691   	88.063127      	93.272470      	0.884495       	0.000000       	0.884495       	4.709591       	0.011774       	0.371711       	0.005890       	0.000838       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	17285.844008   	92.908765      	88.882771      	0.870683       	0.000000       	0.870683       	4.863801       	0.012160       	0.396582       	0.006003       	0.000847       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	17285.013874   	97.415005      	84.734848      	0.830134       	0.000000       	0.830134       	4.520970       	0.011302       	0.457087       	0.003428       	0.000378       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	17284.164510   	102.305943     	80.178009      	0.849364       	0.000000       	0.849364       	4.906049       	0.012265       	0.500154       	0.002845       	0.000252       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	17283.337678   	106.790892     	76.002770      	0.826832       	0.000000       	0.826832       	4.498640       	0.011247       	0.503432       	0.002443       	0.000179       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	17282.520640   	111.078566     	71.941704      	0.817038       	0.000000       	0.817038       	4.300683       	0.010752       	0.577421       	0.002258       	0.000142       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	17281.696608   	115.405540     	67.958730      	0.824032       	0.000000       	0.824032       	4.340026       	0.010850       	0.466980       	0.002202       	0.000124       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	17280.884318   	119.432599     	64.390496      	0.812290       	0.000000       	0.812290       	4.039010       	0.010098       	0.341513       	0.001855       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	17280.095208   	123.078973     	61.096933      	0.789110       	0.000000       	0.789110       	3.657354       	0.009143       	0.425319       	0.001836       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	17279.225288   	132.294744     	66.978624      	0.869920       	0.000000       	0.869920       	5.481524       	0.013704       	0.756705       	0.002050       	0.000065       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	17278.307832   	136.618596     	63.156501      	0.917456       	0.000000       	0.917456       	4.336685       	0.010842       	0.402893       	0.001991       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	17277.445304   	140.072290     	60.299631      	0.862529       	0.000000       	0.862529       	3.466353       	0.008666       	0.253047       	0.003993       	0.001069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	17276.623900   	142.813786     	58.175397      	0.821404       	0.000000       	0.821404       	2.783049       	0.006958       	0.162588       	0.034595       	0.011980       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	17275.797960   	145.770203     	55.756197      	0.825940       	0.000000       	0.825940       	2.988620       	0.007472       	0.256520       	0.024731       	0.007621       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	17274.972462   	148.864653     	53.066583      	0.825498       	0.000000       	0.825498       	3.124529       	0.007811       	0.390582       	0.022267       	0.006335       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	17274.120294   	152.352148     	49.975341      	0.852168       	0.000000       	0.852168       	3.504511       	0.008761       	0.438900       	0.008255       	0.002052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	17273.245902   	156.055954     	46.857796      	0.874392       	0.000000       	0.874392       	3.718526       	0.009296       	0.273411       	0.005424       	0.001088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	17272.414424   	159.244936     	44.091852      	0.831479       	0.000000       	0.831479       	3.200974       	0.008002       	0.396448       	0.003989       	0.000636       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	17271.508325   	162.923106     	40.872012      	0.906099       	0.000000       	0.906099       	3.691249       	0.009228       	0.434690       	0.003851       	0.000516       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	17270.616344   	165.429412     	39.062199      	0.891981       	0.000000       	0.891981       	2.515655       	0.006289       	0.186139       	0.003059       	0.000328       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	17269.658287   	167.936709     	37.318661      	0.958057       	0.000000       	0.958057       	2.539268       	0.006348       	0.162326       	0.025623       	0.010308       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	17268.815269   	169.855313     	36.130245      	0.843018       	0.000000       	0.843018       	1.945687       	0.004864       	0.085747       	0.022218       	0.008860       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	17267.951561   	171.908008     	34.810305      	0.863709       	0.000000       	0.863709       	2.071286       	0.005178       	0.112363       	0.013412       	0.004884       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	17267.088892   	178.504799     	43.871130      	0.862669       	0.000000       	0.862669       	2.860806       	0.007152       	0.191038       	0.006864       	0.001858       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	17266.280915   	181.191689     	41.701312      	0.807976       	0.000000       	0.807976       	2.698991       	0.006747       	0.278804       	0.005353       	0.001174       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	17265.507547   	183.659986     	39.631373      	0.773368       	0.000000       	0.773368       	2.478505       	0.006196       	0.364802       	0.004012       	0.000695       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	17264.732513   	186.233186     	37.517989      	0.775034       	0.000000       	0.775034       	2.583290       	0.006458       	0.305129       	0.003631       	0.000523       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	17264.045198   	188.163044     	36.111015      	0.687315       	0.000000       	0.687315       	1.937688       	0.004844       	0.156602       	0.002986       	0.000346       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	17263.309971   	190.436028     	34.269425      	0.735226       	0.000000       	0.735226       	2.281746       	0.005704       	0.295071       	0.003057       	0.000323       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	17262.482383   	192.586418     	32.733136      	0.827589       	0.000000       	0.827589       	2.158322       	0.005396       	0.205555       	0.002536       	0.000110       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	17261.681718   	220.528870     	95.207659      	0.800665       	0.000000       	0.800665       	5.486463       	0.013716       	0.339679       	0.030295       	0.012981       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	17260.983233   	224.341325     	91.701089      	0.698485       	0.000000       	0.698485       	3.862256       	0.009656       	0.342798       	0.040146       	0.016130       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	17260.254874   	228.973314     	87.229378      	0.728359       	0.000000       	0.728359       	4.674583       	0.011686       	0.525486       	0.030908       	0.011460       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	17259.521797   	234.294531     	81.892020      	0.733077       	0.000000       	0.733077       	5.367521       	0.013419       	0.702915       	0.032885       	0.011883       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	17258.832306   	238.870838     	77.425077      	0.689492       	0.000000       	0.689492       	4.602899       	0.011507       	0.553536       	0.015085       	0.004664       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	17258.109617   	242.879897     	73.779930      	0.722689       	0.000000       	0.722689       	4.029190       	0.010073       	0.338645       	0.010058       	0.002472       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	17257.411717   	246.911431     	70.125979      	0.697900       	0.000000       	0.697900       	4.051773       	0.010129       	0.300078       	0.010109       	0.002441       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	17256.693415   	264.365250     	97.861310      	0.718302       	0.000000       	0.718302       	6.227965       	0.015570       	0.505005       	0.008576       	0.001753       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	17256.032682   	268.394330     	93.720721      	0.660733       	0.000000       	0.660733       	4.351256       	0.010891       	0.450067       	0.311285       	0.059658       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	17255.331251   	272.826300     	89.431655      	0.701431       	0.000000       	0.701431       	4.587364       	0.011468       	0.403132       	0.143926       	0.038806       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	17254.630807   	277.315084     	85.017389      	0.700444       	0.000000       	0.700444       	4.595105       	0.011488       	0.519605       	0.094833       	0.027832       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	17253.965852   	281.620220     	80.746893      	0.664954       	0.000000       	0.664954       	4.397061       	0.010993       	0.538390       	0.080932       	0.021724       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	17253.265914   	286.740611     	75.574834      	0.699938       	0.000000       	0.699938       	5.210877       	0.013027       	0.661119       	0.077459       	0.019608       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	17252.591111   	291.237800     	70.821501      	0.674803       	0.000000       	0.674803       	4.573301       	0.011433       	0.854836       	0.064678       	0.015980       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	17251.866568   	309.761842     	96.715417      	0.724543       	0.000000       	0.724543       	7.354882       	0.018387       	1.225745       	0.062453       	0.015183       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	17251.095758   	315.430828     	91.107285      	0.770810       	0.000000       	0.770810       	5.736156       	0.014340       	0.642786       	0.052830       	0.012903       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	17250.347708   	321.065562     	85.286082      	0.748049       	0.000000       	0.748049       	5.697785       	0.014244       	0.871467       	0.048807       	0.011527       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	17249.660749   	325.645113     	80.833083      	0.686959       	0.000000       	0.686959       	4.631728       	0.011579       	0.508230       	0.040597       	0.009242       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	17248.923890   	330.039817     	76.690932      	0.736859       	0.000000       	0.736859       	4.444374       	0.011111       	0.434637       	0.038559       	0.008715       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	17248.169409   	335.045608     	71.822283      	0.754482       	0.000000       	0.754482       	5.057991       	0.012645       	0.565139       	0.039555       	0.008821       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	17247.441467   	339.797752     	67.121364      	0.727942       	0.000000       	0.727942       	4.801938       	0.012005       	0.626924       	0.037789       	0.008222       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	17246.743869   	357.928543     	93.444285      	0.697598       	0.000000       	0.697598       	6.933401       	0.017334       	1.191276       	0.035276       	0.007512       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	17246.062247   	364.174120     	86.653373      	0.681622       	0.000000       	0.681622       	6.294668       	0.015737       	1.177866       	0.033354       	0.006973       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	17245.389065   	369.912872     	80.176190      	0.673182       	0.000000       	0.673182       	5.785023       	0.014463       	1.365343       	0.031807       	0.006528       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	17244.695924   	375.735026     	73.940962      	0.693141       	0.000000       	0.693141       	5.868891       	0.014672       	1.059478       	0.032064       	0.006491       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	17243.959306   	381.882349     	67.459674      	0.736619       	0.000000       	0.736619       	6.196343       	0.015491       	1.021563       	0.033529       	0.006669       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	17243.024001   	387.563548     	61.466863      	0.935305       	0.000000       	0.935305       	5.729633       	0.014324       	1.198483       	0.034110       	0.006616       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	17242.149057   	392.500861     	56.675406      	0.874944       	0.000000       	0.874944       	4.982948       	0.012457       	0.683452       	0.033177       	0.006268       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	17241.219127   	396.547476     	53.042210      	0.929930       	0.000000       	0.929930       	4.088458       	0.010221       	0.474668       	0.031622       	0.005846       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	17240.373551   	399.915763     	49.982372      	0.845576       	0.000000       	0.845576       	3.406655       	0.008517       	0.498759       	0.029852       	0.005413       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	17239.559837   	402.782087     	47.417768      	0.813714       	0.000000       	0.813714       	2.902548       	0.007256       	0.475771       	0.028968       	0.005188       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	17238.753428   	405.093086     	45.564158      	0.806409       	0.000000       	0.806409       	2.344802       	0.005862       	0.315217       	0.027941       	0.004919       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	17238.017353   	406.838391     	44.153219      	0.736075       	0.000000       	0.736075       	1.775773       	0.004439       	0.371242       	0.026028       	0.004489       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	17237.302191   	408.333120     	42.832284      	0.715161       	0.000000       	0.715161       	1.523939       	0.003810       	0.512156       	0.025401       	0.004359       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	17236.595119   	409.616975     	41.575016      	0.707072       	0.000000       	0.707072       	1.312180       	0.003280       	0.652161       	0.025045       	0.004245       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	17235.867613   	410.790113     	40.488070      	0.727506       	0.000000       	0.727506       	1.201880       	0.003005       	0.612572       	0.025737       	0.004337       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-13	17235.128353   	411.839957     	39.664995      	0.739260       	0.000000       	0.739260       	1.078556       	0.002696       	0.483780       	0.026016       	0.004309       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-14	17234.390728   	412.785519     	38.902730      	0.737625       	0.000000       	0.737625       	0.973681       	0.002434       	0.526208       	0.025685       	0.004184       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-15	17233.639979   	413.686518     	38.137408      	0.750749       	0.000000       	0.750749       	0.929232       	0.002323       	0.586839       	0.025910       	0.004186       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-16	17232.891840   	414.513194     	37.705554      	0.748139       	0.000000       	0.748139       	0.854323       	0.002136       	0.325669       	0.025511       	0.004043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-17	17232.127543   	415.342738     	37.051915      	0.764297       	0.000000       	0.764297       	0.857506       	0.002144       	0.560430       	0.025819       	0.004078       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-18	17231.381528   	416.102606     	36.581012      	0.746015       	0.000000       	0.746015       	0.786508       	0.001966       	0.430410       	0.024674       	0.003813       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-19	17230.627491   	416.861248     	36.138769      	0.754037       	0.000000       	0.754037       	0.785302       	0.001963       	0.410977       	0.024697       	0.003825       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-20	17229.873254   	417.603926     	35.617687      	0.754237       	0.000000       	0.754237       	0.769022       	0.001923       	0.506297       	0.024422       	0.003732       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-21	17229.134372   	418.311496     	35.264208      	0.738920       	0.000000       	0.738920       	0.738727       	0.001847       	0.348082       	0.023720       	0.003589       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-22	17228.413907   	418.988435     	35.004242      	0.720561       	0.000000       	0.720561       	0.711190       	0.001778       	0.260170       	0.022873       	0.003432       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-23	17227.677602   	419.673316     	34.695883      	0.736512       	0.000000       	0.736512       	0.728509       	0.001821       	0.301229       	0.023172       	0.003484       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-24	17226.710958   	420.553402     	34.470301      	0.967070       	0.000000       	0.967070       	1.048414       	0.002621       	0.136328       	0.155970       	0.058680       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-25	17225.769169   	421.358320     	34.254782      	0.942422       	0.000000       	0.942422       	1.043381       	0.002608       	0.090990       	0.212245       	0.077824       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-26	17224.830560   	422.134867     	34.021700      	0.939622       	0.000000       	0.939622       	0.982128       	0.002455       	0.151835       	0.159809       	0.055774       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-27	17223.884283   	422.830307     	33.929189      	0.947677       	0.000000       	0.947677       	0.880409       	0.002201       	0.120497       	0.137975       	0.045312       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-28	17222.970569   	423.459889     	33.839161      	0.915408       	0.000000       	0.915408       	0.810746       	0.002027       	0.153619       	0.132005       	0.042868       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-29	17222.092244   	424.007806     	33.865796      	0.880234       	0.000000       	0.880234       	0.752490       	0.001881       	0.062408       	0.156268       	0.055502       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-30	17221.167717   	424.578709     	33.727564      	0.927355       	0.000000       	0.927355       	0.814139       	0.002035       	0.175995       	0.142775       	0.048262       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-31	17220.236035   	425.137125     	33.441457      	0.935510       	0.000000       	0.935510       	0.820283       	0.002051       	0.317384       	0.122622       	0.039100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-01	17219.173348   	425.617050     	33.541683      	1.068119       	0.000000       	1.068119       	0.756173       	0.001890       	0.142226       	0.141267       	0.046828       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-02	17218.090222   	426.087943     	33.576174      	1.089889       	0.000000       	1.089889       	0.762807       	0.001907       	0.189526       	0.123437       	0.039455       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-03	17217.098060   	426.477912     	33.489280      	0.999627       	0.000000       	0.999627       	0.727464       	0.001819       	0.238670       	0.106825       	0.033086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-04	17216.156899   	426.731977     	33.215240      	0.950032       	0.000000       	0.950032       	0.703990       	0.001760       	0.412317       	0.096170       	0.029363       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-05	17215.231621   	427.016287     	33.157523      	0.935304       	0.000000       	0.935304       	0.679216       	0.001698       	0.239343       	0.087261       	0.026223       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-06	17214.444134   	426.645439     	32.977563      	0.797235       	0.000000       	0.797235       	0.834097       	0.002235       	0.053639       	0.910728       	0.109344       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-07	17213.621544   	426.275728     	32.727804      	0.834985       	0.000000       	0.834985       	0.805885       	0.002084       	0.064485       	0.759613       	0.125933       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-08	17212.957686   	426.223188     	32.363280      	0.675191       	0.000000       	0.675191       	0.881823       	0.002307       	0.051430       	0.763848       	0.108152       	0.000000       	0.000000       	0.000000       	0.000000       
