DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.486242   	45.530939      	77.780777      	62.864858      	0.000000       	62.864858      	4.795155       	0.011988       	0.538926       	0.002229       	0.000111       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.550794   	50.727492      	73.033692      	0.935448       	0.000000       	0.935448       	5.211844       	0.013030       	0.470689       	0.002262       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.661500   	55.176787      	68.937906      	0.889294       	0.000000       	0.889294       	4.462292       	0.011156       	0.522788       	0.001841       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.785839   	58.929337      	65.683031      	0.875660       	0.000000       	0.875660       	3.763709       	0.009409       	0.366826       	0.001749       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.020526   	61.669882      	63.442160      	0.765314       	0.000000       	0.765314       	2.748958       	0.006872       	0.257227       	0.001541       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.279635   	63.913090      	61.761502      	0.740891       	0.000000       	0.740891       	2.256946       	0.005642       	0.164604       	0.008095       	0.002007       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.602705   	65.825928      	60.390286      	0.676930       	0.000000       	0.676930       	1.934083       	0.004835       	0.114062       	0.016410       	0.003299       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.952924   	80.024546      	91.503366      	0.649781       	0.000000       	0.649781       	2.968447       	0.007421       	0.318255       	0.012408       	0.002395       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.280288   	83.478882      	88.373256      	0.672636       	0.000000       	0.672636       	3.475408       	0.008689       	0.327338       	0.012384       	0.002144       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.662809   	86.512948      	85.509615      	0.617479       	0.000000       	0.617479       	3.050697       	0.007627       	0.430422       	0.009004       	0.001535       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.028165   	90.032224      	82.243987      	0.634644       	0.000000       	0.634644       	3.533271       	0.008833       	0.367001       	0.005163       	0.000719       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.371192   	93.940501      	78.448475      	0.656973       	0.000000       	0.656973       	3.921940       	0.009805       	0.530545       	0.003859       	0.000424       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.710576   	97.785006      	74.732572      	0.660616       	0.000000       	0.660616       	3.857411       	0.009644       	0.519108       	0.003261       	0.000296       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.048884   	100.947202     	71.865774      	0.661691       	0.000000       	0.661691       	3.172817       	0.007932       	0.355672       	0.002689       	0.000208       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.459216   	111.166495     	91.776836      	0.589669       	0.000000       	0.589669       	2.869471       	0.007487       	0.309136       	0.142691       	0.020833       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15590.810903   	114.620849     	88.614199      	0.648312       	0.000000       	0.648312       	3.538917       	0.008847       	0.272032       	0.075716       	0.012144       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.154718   	118.233253     	85.254412      	0.656186       	0.000000       	0.656186       	3.672102       	0.009180       	0.343871       	0.050518       	0.009100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15589.549874   	121.257696     	82.517949      	0.604844       	0.000000       	0.604844       	3.076142       	0.007690       	0.265164       	0.044009       	0.007854       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.013550   	123.504981     	80.627662      	0.536324       	0.000000       	0.536324       	2.289013       	0.005723       	0.137597       	0.036006       	0.006459       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.482646   	126.051352     	78.235204      	0.530904       	0.000000       	0.530904       	2.592015       	0.006480       	0.331347       	0.039164       	0.006983       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15587.994084   	128.251854     	76.152655      	0.488562       	0.000000       	0.488562       	2.233983       	0.005585       	0.337128       	0.027896       	0.004128       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.449335   	147.642573     	116.828976     	0.544749       	0.000000       	0.544749       	4.430693       	0.011077       	0.437734       	0.028897       	0.003901       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15586.911417   	152.132441     	112.088397     	0.537918       	0.000000       	0.537918       	4.526469       	0.011316       	0.752028       	0.025285       	0.003314       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.383069   	156.457002     	107.760954     	0.528347       	0.000000       	0.528347       	4.358019       	0.010895       	0.497772       	0.022562       	0.002904       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.833607   	161.282339     	102.925256     	0.549463       	0.000000       	0.549463       	4.859623       	0.012149       	0.525537       	0.022137       	0.002807       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15585.282469   	165.869362     	98.099479      	0.551138       	0.000000       	0.551138       	4.618514       	0.011546       	0.758401       	0.019945       	0.002486       	0.000000       	0.000000       	0.000000       	0.000000       
