DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	48.735547      	94.526574      	67.930922      	0.000000       	67.930922      	4.248196       	0.010620       	0.656152       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	53.171554      	90.620719      	0.836899       	0.000000       	0.836899       	4.449248       	0.011123       	0.293506       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	57.478673      	86.712511      	0.814482       	0.000000       	0.814482       	4.319952       	0.010800       	0.402739       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	61.516799      	83.069836      	0.776384       	0.000000       	0.776384       	4.050134       	0.010125       	0.368924       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	65.601148      	79.450310      	0.767723       	0.000000       	0.767723       	4.096227       	0.010241       	0.291023       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	70.209541      	75.155193      	0.800831       	0.000000       	0.800831       	4.621689       	0.011554       	0.474258       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	74.937472      	70.639034      	0.820015       	0.000000       	0.820015       	4.741594       	0.011854       	0.594580       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	84.310685      	76.338235      	0.844938       	0.000000       	0.844938       	5.639209       	0.014098       	0.756528       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	89.077776      	71.740820      	0.811370       	0.000000       	0.811370       	4.780894       	0.011952       	0.627893       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	93.250587      	67.663404      	0.777453       	0.000000       	0.777453       	4.185079       	0.010463       	0.669790       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	96.308146      	64.843834      	0.697294       	0.000000       	0.697294       	3.066869       	0.007667       	0.449995       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	99.977249      	61.468471      	0.721646       	0.000000       	0.721646       	3.680041       	0.009200       	0.416969       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	103.520834     	58.093090      	0.715250       	0.000000       	0.715250       	3.554217       	0.008886       	0.536414       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	106.795088     	55.073149      	0.699829       	0.000000       	0.699829       	3.284210       	0.008211       	0.435560       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	114.445361     	62.686837      	0.697677       	0.000000       	0.697677       	3.911828       	0.009780       	0.422161       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	117.840591     	59.469363      	0.668913       	0.000000       	0.668913       	3.405482       	0.008514       	0.480904       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	120.650665     	56.995413      	0.627063       	0.000000       	0.627063       	2.818785       	0.007047       	0.282229       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	123.467651     	54.370546      	0.616072       	0.000000       	0.616072       	2.825714       	0.007064       	0.415226       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	126.157687     	51.826594      	0.602324       	0.000000       	0.602324       	2.698438       	0.006746       	0.447838       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	128.718800     	49.510440      	0.590325       	0.000000       	0.590325       	2.569188       	0.006423       	0.337291       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	130.477316     	48.186119      	0.572370       	0.000000       	0.572370       	1.765712       	0.004414       	0.130979       	0.002782       	0.000705       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	131.329914     	47.693764      	0.453936       	0.000000       	0.453936       	0.890095       	0.002225       	0.056196       	0.035273       	0.009490       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	132.393181     	47.004236      	0.462768       	0.000000       	0.462768       	1.096426       	0.002741       	0.055870       	0.030417       	0.006921       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577552   	133.531106     	46.257401      	0.467062       	0.000000       	0.467062       	1.174336       	0.002936       	0.039561       	0.033476       	0.007993       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046815   	135.103339     	45.059307      	0.530737       	0.000000       	0.530737       	1.615640       	0.004039       	0.113191       	0.039367       	0.008622       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437528   	137.148750     	43.392245      	0.609287       	0.000000       	0.609287       	2.097576       	0.005244       	0.178774       	0.046921       	0.009853       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974720   	138.112844     	42.734648      	0.462808       	0.000000       	0.462808       	1.039319       	0.002620       	0.081086       	0.072605       	0.012192       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500254   	139.208448     	42.005347      	0.474466       	0.000000       	0.474466       	1.137933       	0.002845       	0.065834       	0.039484       	0.008681       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000343   	140.509751     	41.048382      	0.499912       	0.000000       	0.499912       	1.346301       	0.003366       	0.110575       	0.041632       	0.008953       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500434   	141.885315     	39.986067      	0.499908       	0.000000       	0.499908       	1.422427       	0.003556       	0.139797       	0.043306       	0.009221       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985415   	143.424575     	38.713002      	0.515020       	0.000000       	0.515020       	1.580620       	0.003952       	0.207465       	0.037409       	0.006544       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456334   	145.054828     	37.413946      	0.529080       	0.000000       	0.529080       	1.667043       	0.004168       	0.161093       	0.032623       	0.005314       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911447   	146.738454     	36.036944      	0.544887       	0.000000       	0.544887       	1.717638       	0.004294       	0.204250       	0.029717       	0.004692       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379458   	148.100381     	35.056348      	0.531989       	0.000000       	0.531989       	1.388405       	0.003471       	0.124181       	0.023007       	0.003583       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796822   	149.517845     	34.017631      	0.582636       	0.000000       	0.582636       	1.443213       	0.003608       	0.178140       	0.022142       	0.003408       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256660   	159.027991     	54.844428      	0.540162       	0.000000       	0.540162       	2.035136       	0.005088       	0.178229       	0.019902       	0.003246       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774036   	160.456782     	53.733972      	0.482624       	0.000000       	0.482624       	1.478984       	0.003697       	0.114095       	0.046496       	0.011840       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333641   	161.523117     	52.844004      	0.440395       	0.000000       	0.440395       	1.216185       	0.004077       	0.114179       	0.145773       	0.025127       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852735   	162.894003     	51.734293      	0.480906       	0.000000       	0.480906       	1.505891       	0.004688       	0.084727       	0.130316       	0.020602       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492778   	164.076044     	50.631292      	0.359957       	0.000000       	0.359957       	1.356764       	0.003449       	0.106194       	0.171273       	0.018535       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125420   	165.272239     	49.332305      	0.367358       	0.000000       	0.367358       	1.496747       	0.004072       	0.169598       	0.296481       	0.021361       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815723   	166.448260     	47.993457      	0.309697       	0.000000       	0.309697       	1.459641       	0.004421       	0.188903       	0.279198       	0.014420       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416170   	172.740084     	56.757875      	0.399553       	0.000000       	0.399553       	2.727771       	0.006825       	0.157363       	0.179122       	0.010278       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922304   	175.013995     	54.630570      	0.493867       	0.000000       	0.493867       	2.481455       	0.006289       	0.139718       	0.201254       	0.019908       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384675   	177.154683     	52.694532      	0.537628       	0.000000       	0.537628       	2.330945       	0.005884       	0.142721       	0.184374       	0.020338       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850160   	178.754379     	51.355010      	0.534516       	0.000000       	0.534516       	1.774018       	0.004511       	0.100019       	0.169811       	0.020130       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354540   	180.111217     	50.175923      	0.495620       	0.000000       	0.495620       	1.507638       	0.003798       	0.167069       	0.147002       	0.017905       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880766   	181.212612     	49.251571      	0.473774       	0.000000       	0.473774       	1.305320       	0.003915       	0.092806       	0.200009       	0.023088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15568.467999   	181.956444     	48.612150      	0.412767       	0.000000       	0.412767       	0.994441       	0.004689       	0.057747       	0.245920       	0.021902       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15568.073334   	182.792890     	47.811760      	0.394666       	0.000000       	0.394666       	1.116074       	0.005638       	0.078982       	0.273991       	0.016643       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15567.666467   	183.683180     	47.046574      	0.406867       	0.000000       	0.406867       	1.120190       	0.003251       	0.051862       	0.226649       	0.015449       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15567.207269   	184.916146     	45.946468      	0.459198       	0.000000       	0.459198       	1.444111       	0.004144       	0.115194       	0.207001       	0.017647       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15566.714216   	186.439017     	44.526419      	0.493053       	0.000000       	0.493053       	1.714428       	0.004451       	0.198675       	0.187105       	0.018883       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15566.208648   	188.110169     	43.053843      	0.505568       	0.000000       	0.505568       	1.846864       	0.004806       	0.131279       	0.170906       	0.018758       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15565.696956   	189.783299     	41.552769      	0.511691       	0.000000       	0.511691       	1.837377       	0.004697       	0.175389       	0.159549       	0.018630       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15565.180497   	191.423703     	40.016582      	0.516460       	0.000000       	0.516460       	1.797454       	0.004565       	0.255192       	0.152485       	0.018176       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15564.653087   	193.049259     	38.503045      	0.527410       	0.000000       	0.527410       	1.780763       	0.004525       	0.260184       	0.150682       	0.018000       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15564.087236   	194.842266     	36.934560      	0.565851       	0.000000       	0.565851       	1.953226       	0.004942       	0.181110       	0.155276       	0.018529       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15563.516068   	196.498233     	35.559035      	0.571168       	0.000000       	0.571168       	1.815956       	0.004614       	0.130735       	0.155375       	0.018358       	0.000000       	0.000000       	0.000000       	0.000000       
