DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	40.302130      	73.124939      	67.930922      	0.000000       	67.930922      	3.312440       	0.008281       	0.493544       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	43.760626      	70.271723      	0.836899       	0.000000       	0.836899       	3.469286       	0.008673       	0.220828       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	47.126555      	67.406727      	0.814482       	0.000000       	0.814482       	3.376404       	0.008441       	0.303075       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	50.293012      	64.729165      	0.776384       	0.000000       	0.776384       	3.176281       	0.007941       	0.277665       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	53.498810      	62.062359      	0.767723       	0.000000       	0.767723       	3.215473       	0.008039       	0.219056       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	57.108457      	58.885735      	0.800831       	0.000000       	0.800831       	3.620440       	0.009051       	0.357014       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	60.816737      	55.538729      	0.820015       	0.000000       	0.820015       	3.719388       	0.009298       	0.447632       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	73.674914      	72.793882      	0.844938       	0.000000       	0.844938       	5.373509       	0.013434       	0.716277       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	78.222678      	68.449744      	0.811370       	0.000000       	0.811370       	4.561016       	0.011403       	0.594492       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	82.207624      	64.596285      	0.777453       	0.000000       	0.777453       	3.996744       	0.009992       	0.634168       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	85.134408      	61.931747      	0.697294       	0.000000       	0.697294       	2.935767       	0.007339       	0.426066       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	88.641842      	58.740627      	0.721646       	0.000000       	0.721646       	3.517966       	0.008795       	0.394800       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	92.030828      	55.548743      	0.715250       	0.000000       	0.715250       	3.399230       	0.008498       	0.507904       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	95.164806      	52.692574      	0.699829       	0.000000       	0.699829       	3.143583       	0.007859       	0.412415       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	102.676787     	60.462828      	0.697677       	0.000000       	0.697677       	3.773189       	0.009433       	0.404234       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	105.954576     	57.383509      	0.668913       	0.000000       	0.668913       	3.287747       	0.008219       	0.460484       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	108.670853     	55.015573      	0.627063       	0.000000       	0.627063       	2.724753       	0.006812       	0.270246       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	111.393662     	52.502746      	0.616072       	0.000000       	0.616072       	2.731300       	0.006828       	0.397598       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	113.994695     	50.067032      	0.602324       	0.000000       	0.602324       	2.609211       	0.006523       	0.428827       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	116.472123     	47.849091      	0.590325       	0.000000       	0.590325       	2.485294       	0.006213       	0.322972       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	118.178478     	46.582659      	0.572370       	0.000000       	0.572370       	1.713359       	0.004283       	0.125444       	0.002721       	0.000644       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	119.014453     	46.111244      	0.453936       	0.000000       	0.453936       	0.871533       	0.002179       	0.053817       	0.033380       	0.008415       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	120.051935     	45.451504      	0.462768       	0.000000       	0.462768       	1.069000       	0.002672       	0.053508       	0.028845       	0.006156       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577552   	121.160944     	44.737094      	0.467063       	0.000000       	0.467063       	1.143582       	0.002859       	0.037891       	0.031714       	0.007097       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046815   	122.688249     	43.590831      	0.530737       	0.000000       	0.530737       	1.568582       	0.003921       	0.108419       	0.037355       	0.007689       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437527   	124.671777     	41.995712      	0.609287       	0.000000       	0.609287       	2.033155       	0.005083       	0.171251       	0.044545       	0.008802       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974720   	125.612256     	41.369365      	0.462808       	0.000000       	0.462808       	1.011470       	0.002560       	0.077684       	0.068430       	0.010771       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500253   	126.680585     	40.672406      	0.474466       	0.000000       	0.474466       	1.108350       	0.002771       	0.063075       	0.037250       	0.007672       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000342   	136.211047     	61.409361      	0.499912       	0.000000       	0.499912       	2.074990       	0.005187       	0.187966       	0.039341       	0.007957       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500433   	138.364124     	59.472215      	0.499909       	0.000000       	0.499909       	2.199456       	0.005499       	0.237599       	0.040880       	0.008163       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985413   	140.781416     	57.176051      	0.515020       	0.000000       	0.515020       	2.458809       	0.006147       	0.352375       	0.035369       	0.005809       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456333   	143.337128     	54.838600      	0.529080       	0.000000       	0.529080       	2.593078       	0.006483       	0.273453       	0.030884       	0.004726       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911445   	145.967825     	52.371433      	0.544887       	0.000000       	0.544887       	2.665526       	0.006664       	0.346529       	0.028165       	0.004179       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379456   	148.045800     	50.587946      	0.531989       	0.000000       	0.531989       	2.105083       	0.005263       	0.210393       	0.021845       	0.003196       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796820   	150.208886     	48.679993      	0.582636       	0.000000       	0.582636       	2.189596       	0.005474       	0.300992       	0.021037       	0.003043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256658   	151.937963     	47.320698      	0.540162       	0.000000       	0.540162       	1.752429       	0.004381       	0.147029       	0.018970       	0.002936       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774033   	153.174295     	46.425030      	0.482624       	0.000000       	0.482624       	1.284151       	0.003210       	0.094141       	0.044609       	0.010993       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333638   	154.076416     	45.725047      	0.440395       	0.000000       	0.440395       	1.046148       	0.003800       	0.094231       	0.140227       	0.023408       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852731   	155.232324     	44.850841      	0.480907       	0.000000       	0.480907       	1.285154       	0.004295       	0.069958       	0.124951       	0.019047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492774   	156.217498     	43.970526      	0.359957       	0.000000       	0.359957       	1.152560       	0.002958       	0.087713       	0.164428       	0.017310       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125416   	157.196596     	42.929747      	0.367358       	0.000000       	0.367358       	1.268003       	0.003527       	0.140134       	0.285377       	0.019967       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815719   	158.155844     	41.851379      	0.309697       	0.000000       	0.309697       	1.231895       	0.003855       	0.156170       	0.268791       	0.013442       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416167   	172.868672     	72.134689      	0.399553       	0.000000       	0.399553       	3.647392       	0.009126       	0.218850       	0.175438       	0.010426       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922300   	175.981726     	69.118355      	0.493867       	0.000000       	0.493867       	3.315927       	0.008401       	0.194274       	0.194473       	0.018794       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384671   	178.909439     	66.344200      	0.537629       	0.000000       	0.537629       	3.113376       	0.007858       	0.198408       	0.177805       	0.019053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850155   	181.092311     	64.385314      	0.534516       	0.000000       	0.534516       	2.354592       	0.005983       	0.138811       	0.165737       	0.019610       	0.000000       	0.000000       	0.000000       	0.000000       
