DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.363615   	40.535341      	68.122506      	62.987485      	0.000000       	62.987485      	3.546445       	0.008866       	0.318534       	0.002238       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.534747   	43.756498      	65.398115      	0.828868       	0.000000       	0.828868       	3.231223       	0.008078       	0.322037       	0.001988       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.751995   	46.696933      	62.971970      	0.782752       	0.000000       	0.782752       	2.949631       	0.007374       	0.259266       	0.001823       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15599.006952   	49.419790      	60.787488      	0.745042       	0.000000       	0.745042       	2.731221       	0.006828       	0.198304       	0.001535       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.292656   	51.967977      	58.695983      	0.714297       	0.000000       	0.714297       	2.556066       	0.006390       	0.249736       	0.001489       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.592139   	54.492145      	56.597670      	0.700517       	0.000000       	0.700517       	2.531977       	0.006330       	0.266852       	0.001479       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.932876   	56.684952      	54.734207      	0.659263       	0.000000       	0.659263       	2.199710       	0.005499       	0.323016       	0.001403       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15596.270389   	84.239797      	117.139055     	0.662487       	0.000000       	0.662487       	5.068952       	0.012672       	0.688686       	0.001434       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.598465   	89.620970      	111.808428     	0.671924       	0.000000       	0.671924       	5.396138       	0.013490       	0.606413       	0.001475       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.927456   	94.916614      	106.436561     	0.671009       	0.000000       	0.671009       	5.310416       	0.013276       	0.732460       	0.001496       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.275495   	99.683770      	101.654689     	0.651961       	0.000000       	0.651961       	4.780585       	0.011951       	0.653247       	0.001477       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.632969   	104.299716     	97.000229      	0.642526       	0.000000       	0.642526       	4.629000       	0.011572       	0.667987       	0.001482       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15593.026617   	108.137930     	93.029874      	0.606352       	0.000000       	0.606352       	3.849259       	0.009623       	0.727448       	0.001421       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.442959   	111.687151     	89.545772      	0.583658       	0.000000       	0.583658       	3.559511       	0.008899       	0.508249       	0.001391       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.827511   	120.458317     	95.597964      	0.615448       	0.000000       	0.615448       	5.035243       	0.012588       	0.778012       	0.001490       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15591.202924   	125.501729     	90.282647      	0.624587       	0.000000       	0.624587       	5.057595       	0.012644       	0.882309       	0.001540       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.601816   	129.709022     	85.843677      	0.601108       	0.000000       	0.601108       	4.219355       	0.010548       	0.820723       	0.001514       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15590.037295   	133.124373     	82.352095      	0.564521       	0.000000       	0.564521       	3.425362       	0.008563       	0.630742       	0.001447       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.467182   	136.876052     	78.418872      	0.570113       	0.000000       	0.570113       	3.762568       	0.009406       	0.740768       	0.001482       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.905341   	140.445976     	74.888123      	0.561841       	0.000000       	0.561841       	3.580362       	0.008951       	0.512228       	0.001488       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15588.334141   	144.196735     	70.867869      	0.571200       	0.000000       	0.571200       	3.761700       	0.009404       	0.829754       	0.001536       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.760341   	160.857997     	98.513819      	0.573800       	0.000000       	0.573800       	5.426400       	0.013566       	1.251449       	0.001572       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15587.156496   	166.976883     	92.235369      	0.603845       	0.000000       	0.603845       	6.135904       	0.015340       	0.746391       	0.001678       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.530372   	173.255344     	85.692357      	0.626125       	0.000000       	0.626125       	6.295976       	0.015740       	0.873161       	0.001775       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.878495   	179.659858     	78.708924      	0.651876       	0.000000       	0.651876       	6.422454       	0.016056       	1.212855       	0.001884       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15585.213950   	185.695526     	72.379685      	0.664545       	0.000000       	0.664545       	6.052765       	0.015132       	0.941020       	0.001965       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15584.529483   	191.636711     	66.018108      	0.684467       	0.000000       	0.684467       	5.958146       	0.014895       	1.087898       	0.002065       	0.000069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15583.835252   	197.164253     	60.102051      	0.694231       	0.000000       	0.694231       	5.543544       	0.013859       	1.066744       	0.002144       	0.000072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15583.145973   	216.057811     	85.304402      	0.689279       	0.000000       	0.689279       	7.664901       	0.019162       	1.572027       	0.002181       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.438172   	223.685997     	77.036777      	0.707800       	0.000000       	0.707800       	7.649589       	0.019124       	1.325835       	0.002280       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15581.749334   	229.913229     	69.947768      	0.688839       	0.000000       	0.688839       	6.245127       	0.015613       	1.532721       	0.002283       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.056752   	235.809345     	63.423973      	0.692582       	0.000000       	0.692582       	5.913234       	0.014783       	1.303142       	0.002334       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15580.349594   	241.594206     	57.646153      	0.707158       	0.000000       	0.707158       	5.801793       	0.014504       	0.683185       	0.002428       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
