DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15604.402007   	51.339273      	99.021058      	59.949093      	0.000000       	59.949093      	3.386574       	0.008466       	0.291462       	0.288835       	0.000850       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15603.647099   	54.389694      	96.361816      	0.754908       	0.000000       	0.754908       	3.082054       	0.007705       	0.332096       	0.023927       	0.003007       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15602.971164   	56.940566      	94.299871      	0.675935       	0.000000       	0.675935       	2.575896       	0.006440       	0.161983       	0.018584       	0.002336       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15602.268411   	60.107900      	91.496440      	0.702753       	0.000000       	0.702753       	3.195220       	0.007988       	0.310964       	0.019898       	0.002324       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15601.591879   	63.144778      	88.789219      	0.676532       	0.000000       	0.676532       	3.062944       	0.007657       	0.320809       	0.018409       	0.002121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15600.946607   	66.080800      	86.096318      	0.645272       	0.000000       	0.645272       	2.958538       	0.007396       	0.379635       	0.015120       	0.001599       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15600.264926   	69.727743      	82.611245      	0.681681       	0.000000       	0.681681       	3.669084       	0.009173       	0.497670       	0.012968       	0.001109       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15599.566407   	86.383848      	110.814823     	0.698519       	0.000000       	0.698519       	5.431049       	0.013578       	0.813891       	0.011367       	0.000902       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15598.868922   	91.570500      	105.774962     	0.697486       	0.000000       	0.697486       	5.209673       	0.013024       	0.527675       	0.009997       	0.000765       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15598.104602   	97.996723      	99.446359      	0.764320       	0.000000       	0.764320       	6.453014       	0.016133       	0.639909       	0.010659       	0.000789       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15597.353999   	103.605871     	93.556885      	0.750603       	0.000000       	0.750603       	5.632261       	0.014081       	1.007816       	0.009032       	0.000664       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15596.625596   	108.526100     	88.456755      	0.728403       	0.000000       	0.728403       	4.940299       	0.012351       	0.888234       	0.007719       	0.000533       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15595.896039   	113.404616     	83.470546      	0.729557       	0.000000       	0.729557       	4.898063       	0.012245       	0.817703       	0.007301       	0.000504       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15595.150080   	118.411773     	78.294977      	0.745959       	0.000000       	0.745959       	5.026827       	0.012567       	0.894701       	0.007104       	0.000489       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15594.366329   	164.428675     	182.099711     	0.783751       	0.000000       	0.783751       	8.560729       	0.021402       	0.918288       	0.022425       	0.008105       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15593.539141   	173.824488     	171.907648     	0.827187       	0.000000       	0.827187       	9.452503       	0.023631       	1.566747       	0.033059       	0.011485       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15592.869281   	179.670601     	165.816188     	0.669860       	0.000000       	0.669860       	6.047610       	0.015347       	0.713710       	0.186150       	0.036105       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15592.177607   	186.228660     	159.165799     	0.691675       	0.000000       	0.691675       	6.668707       	0.016672       	0.673356       	0.093976       	0.019014       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15591.545753   	191.711522     	153.631110     	0.631853       	0.000000       	0.631853       	5.551983       	0.013880       	0.614560       	0.055241       	0.012413       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15590.927316   	197.633662     	147.491880     	0.618437       	0.000000       	0.618437       	5.994662       	0.014987       	0.763005       	0.057535       	0.012653       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15590.328813   	203.509680     	141.296328     	0.598504       	0.000000       	0.598504       	5.936612       	0.014842       	0.857443       	0.045752       	0.008317       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15589.727173   	235.242716     	198.984133     	0.601640       	0.000000       	0.601640       	9.296104       	0.023240       	1.117730       	0.039828       	0.006697       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15589.140990   	243.710782     	189.574027     	0.586183       	0.000000       	0.586183       	8.522733       	0.021307       	1.473556       	0.033360       	0.005433       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15588.584011   	250.890400     	181.316446     	0.556979       	0.000000       	0.556979       	7.225253       	0.018063       	1.589306       	0.027572       	0.004402       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15588.017221   	258.681683     	172.552118     	0.566791       	0.000000       	0.566791       	7.837282       	0.019593       	1.493838       	0.026405       	0.004159       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15587.459062   	265.927336     	164.526317     	0.558159       	0.000000       	0.558159       	7.287213       	0.018218       	1.296746       	0.023342       	0.003610       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15586.845254   	275.385725     	154.263918     	0.613808       	0.000000       	0.613808       	9.507263       	0.023768       	1.368945       	0.025106       	0.003717       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15586.222657   	284.031439     	145.071883     	0.622596       	0.000000       	0.622596       	8.690282       	0.021726       	1.124349       	0.022842       	0.003303       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15585.572297   	324.654448     	208.331154     	0.650361       	0.000000       	0.650361       	14.432161      	0.036080       	1.708929       	0.023071       	0.003296       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15584.857116   	341.599379     	189.875852     	0.715181       	0.000000       	0.715181       	17.012239      	0.042531       	2.158243       	0.024778       	0.003474       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15584.146166   	355.953789     	174.350360     	0.710950       	0.000000       	0.710950       	14.413149      	0.036033       	1.823293       	0.022706       	0.003095       	0.000000       	0.000000       	0.000000       	0.000000       
