DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15599.657797   	66.247887      	133.889427     	64.693303      	0.000000       	64.693303      	6.767052       	0.016918       	0.536824       	0.002247       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15598.763439   	73.529580      	126.671988     	0.894358       	0.000000       	0.894358       	7.302125       	0.018255       	0.809672       	0.002177       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15597.878372   	80.527508      	119.650563     	0.885067       	0.000000       	0.885067       	7.017537       	0.017544       	0.888955       	0.002066       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15597.047714   	85.140078      	115.473667     	0.830658       	0.000000       	0.830658       	4.637320       	0.011593       	0.370234       	0.013157       	0.003880       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15596.476446   	88.017372      	112.822896     	0.571268       	0.000000       	0.571268       	3.064245       	0.007884       	0.157793       	0.179067       	0.009540       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15595.763836   	91.718728      	109.442118     	0.712610       	0.000000       	0.712610       	3.842830       	0.009948       	0.250558       	0.131526       	0.013318       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15595.214928   	95.261258      	105.899131     	0.548908       	0.000000       	0.548908       	3.731628       	0.009543       	0.360268       	0.179555       	0.014600       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15594.824978   	110.476988     	135.275348     	0.389950       	0.000000       	0.389950       	4.252559       	0.014439       	0.511174       	0.272390       	0.011155       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15594.328773   	114.857651     	130.873321     	0.496205       	0.000000       	0.496205       	4.616281       	0.011865       	0.281950       	0.223753       	0.012430       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15593.749064   	119.321695     	126.550409     	0.579709       	0.000000       	0.579709       	4.676895       	0.012629       	0.225726       	0.200222       	0.010936       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.133654   	123.690553     	122.183227     	0.615410       	0.000000       	0.615410       	4.549071       	0.013584       	0.433521       	0.166630       	0.011747       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15592.529794   	127.796183     	117.946024     	0.603860       	0.000000       	0.603860       	4.255507       	0.012442       	0.585555       	0.137436       	0.010943       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15591.885608   	132.858248     	112.899634     	0.644187       	0.000000       	0.644187       	5.207578       	0.014963       	0.482999       	0.130551       	0.011413       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.254755   	137.588805     	108.057790     	0.630852       	0.000000       	0.630852       	4.861739       	0.013106       	0.610958       	0.118076       	0.010542       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15590.649515   	166.926873     	168.184007     	0.605240       	0.000000       	0.605240       	6.961640       	0.018226       	1.017383       	0.105346       	0.009281       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15589.995978   	175.582721     	158.996871     	0.653537       	0.000000       	0.653537       	8.786417       	0.022564       	1.054255       	0.108005       	0.009589       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15589.342851   	183.635045     	150.822755     	0.653127       	0.000000       	0.653127       	8.177711       	0.021067       	0.649532       	0.104321       	0.008969       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15588.667246   	191.989227     	141.971229     	0.675605       	0.000000       	0.675605       	8.479972       	0.021848       	1.047159       	0.103942       	0.008845       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15588.026160   	197.563471     	136.628589     	0.641086       	0.000000       	0.641086       	5.680967       	0.014872       	0.302759       	0.091851       	0.007387       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15587.408677   	203.219461     	130.737112     	0.617482       	0.000000       	0.617482       	5.758811       	0.015078       	0.750149       	0.087742       	0.007088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15586.776674   	208.764888     	125.254165     	0.632004       	0.000000       	0.632004       	5.645065       	0.014802       	0.469886       	0.084836       	0.006756       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15586.161618   	229.474176     	164.537500     	0.615056       	0.000000       	0.615056       	5.916793       	0.015497       	0.414927       	0.192008       	0.035313       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15585.687304   	233.541132     	160.238753     	0.474314       	0.000000       	0.474314       	4.506511       	0.015326       	0.266551       	0.424229       	0.040371       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15585.205574   	237.588075     	156.055580     	0.481730       	0.000000       	0.481730       	4.454216       	0.016083       	0.210687       	0.391190       	0.042234       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15584.695203   	242.025216     	151.407302     	0.510371       	0.000000       	0.510371       	4.758803       	0.016230       	0.399845       	0.305432       	0.034096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15584.194548   	246.189856     	147.117806     	0.500655       	0.000000       	0.500655       	4.418496       	0.015277       	0.371656       	0.238579       	0.024975       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15583.685532   	250.502749     	142.526917     	0.509016       	0.000000       	0.509016       	4.528189       	0.015086       	0.571716       	0.200209       	0.025436       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15583.184263   	254.992607     	137.632408     	0.501269       	0.000000       	0.501269       	4.677107       	0.014764       	0.718672       	0.172486       	0.024554       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15582.634346   	269.597371     	152.569203     	0.549917       	0.000000       	0.549917       	7.293006       	0.020919       	0.820116       	0.167322       	0.024451       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.115974   	275.315167     	146.226030     	0.518372       	0.000000       	0.518372       	5.875915       	0.016136       	0.985631       	0.141983       	0.019930       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15581.581070   	281.409491     	139.740305     	0.534904       	0.000000       	0.534904       	6.249652       	0.017015       	0.770976       	0.138313       	0.019279       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.041937   	287.385859     	133.014067     	0.539133       	0.000000       	0.539133       	6.126121       	0.016414       	1.139250       	0.133339       	0.018068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15580.411969   	293.595913     	126.800661     	0.629969       	0.000000       	0.629969       	6.360401       	0.016971       	0.482973       	0.133375       	0.017826       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15579.843236   	298.001860     	122.481152     	0.568733       	0.000000       	0.568733       	4.542003       	0.012465       	0.346239       	0.123591       	0.015924       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15579.306384   	301.954941     	118.662577     	0.536852       	0.000000       	0.536852       	4.082613       	0.011347       	0.272814       	0.118184       	0.015323       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15578.799876   	314.138313     	136.314113     	0.506509       	0.000000       	0.506509       	4.808100       	0.013183       	0.546873       	0.111545       	0.014074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15578.230164   	320.144004     	130.231914     	0.569712       	0.000000       	0.569712       	6.138038       	0.016529       	0.513874       	0.115818       	0.014789       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15577.687461   	325.405224     	124.640779     	0.542703       	0.000000       	0.542703       	5.388027       	0.014680       	0.745811       	0.112127       	0.013791       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15577.156361   	330.596017     	119.210500     	0.531099       	0.000000       	0.531099       	5.315744       	0.014527       	0.645634       	0.110424       	0.013469       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15576.630920   	335.413283     	114.116834     	0.525442       	0.000000       	0.525442       	4.938449       	0.013609       	0.680658       	0.107574       	0.012855       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15576.115100   	340.035075     	109.045245     	0.515819       	0.000000       	0.515819       	4.740280       	0.013137       	0.847129       	0.105351       	0.012445       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15575.612419   	344.358323     	104.145840     	0.502682       	0.000000       	0.502682       	4.438534       	0.012404       	0.963552       	0.102882       	0.011981       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15575.095953   	370.813428     	151.892926     	0.516466       	0.000000       	0.516466       	7.829879       	0.020904       	1.189501       	0.103871       	0.012094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15574.564560   	378.810043     	143.051502     	0.531393       	0.000000       	0.531393       	8.124156       	0.021664       	1.248661       	0.105877       	0.012239       	0.000000       	0.000000       	0.000000       	0.000000       
