DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15584.908860   	61.989793      	137.946782     	79.442240      	0.000000       	79.442240      	6.398907       	0.015997       	0.346551       	0.143117       	0.000116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15584.089812   	67.286598      	133.045062     	0.819048       	0.000000       	0.819048       	5.370539       	0.013426       	0.350229       	0.060308       	0.007955       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15583.277913   	72.818803      	127.636914     	0.811899       	0.000000       	0.811899       	5.583906       	0.013960       	0.636142       	0.037741       	0.004713       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15582.566582   	76.675390      	123.982356     	0.711331       	0.000000       	0.711331       	3.921453       	0.009804       	0.444435       	0.055062       	0.007453       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15581.837820   	80.965155      	119.860833     	0.728762       	0.000000       	0.728762       	4.366525       	0.010916       	0.483761       	0.065843       	0.008908       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15581.098039   	85.669049      	115.378035     	0.739780       	0.000000       	0.739780       	4.756107       	0.011890       	0.466471       	0.040323       	0.005426       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15580.407701   	89.764716      	111.561588     	0.690339       	0.000000       	0.690339       	4.140889       	0.010352       	0.365897       	0.034870       	0.004526       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15579.693316   	98.726938      	117.782627     	0.714385       	0.000000       	0.714385       	5.263930       	0.013160       	0.479416       	0.038548       	0.004860       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15578.983197   	104.169799     	112.088360     	0.710118       	0.000000       	0.710118       	5.488912       	0.013722       	0.915474       	0.032328       	0.003490       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15578.291402   	109.010014     	107.266080     	0.691795       	0.000000       	0.691795       	4.879052       	0.012198       	0.635023       	0.026639       	0.002538       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15577.653051   	112.538263     	103.999061     	0.638351       	0.000000       	0.638351       	3.558666       	0.008897       	0.346704       	0.021521       	0.001994       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15576.967331   	116.440506     	100.438656     	0.685720       	0.000000       	0.685720       	3.949295       	0.009873       	0.296829       	0.037179       	0.006866       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15576.354405   	119.539213     	97.703140      	0.612926       	0.000000       	0.612926       	3.131582       	0.007829       	0.216860       	0.025046       	0.003703       	0.000000       	0.000000       	0.000000       	0.000000       
