DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15579.330953   	44.258290      	86.086557      	85.020147      	0.000000       	85.020147      	7.279485       	0.018199       	0.654105       	0.002996       	0.000155       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15578.237933   	50.651152      	80.035719      	1.093020       	0.000000       	1.093020       	6.411585       	0.016029       	0.732273       	0.002695       	0.000123       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15577.181898   	56.473439      	74.459958      	1.056034       	0.000000       	1.056034       	5.839437       	0.014599       	0.792359       	0.002550       	0.000107       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15576.111091   	61.329716      	70.181739      	1.070807       	0.000000       	1.070807       	4.870559       	0.012176       	0.478467       	0.002105       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15575.093917   	65.953878      	65.992341      	1.017175       	0.000000       	1.017175       	4.637847       	0.011595       	0.568725       	0.002091       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15574.139997   	70.208409      	62.391342      	0.953919       	0.000000       	0.953919       	4.267246       	0.010668       	0.287672       	0.002047       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15573.193214   	74.568702      	58.507341      	0.946783       	0.000000       	0.946783       	4.373330       	0.010933       	0.457454       	0.002104       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15572.285522   	82.662117      	65.736050      	0.907693       	0.000000       	0.907693       	4.356319       	0.010891       	0.572665       	0.002012       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15571.432586   	86.589894      	62.035245      	0.852936       	0.000000       	0.852936       	3.939597       	0.009849       	0.614144       	0.001972       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15570.576286   	90.751060      	58.307484      	0.856300       	0.000000       	0.856300       	4.173642       	0.010434       	0.410418       	0.002042       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15569.719778   	94.914199      	54.528116      	0.856508       	0.000000       	0.856508       	4.175679       	0.010439       	0.460198       	0.002100       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15568.877774   	97.977351      	52.090095      	0.842003       	0.000000       	0.842003       	3.072780       	0.007682       	0.207244       	0.001946       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15568.067875   	101.101369     	49.515722      	0.809899       	0.000000       	0.809899       	3.133824       	0.007835       	0.250448       	0.001971       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15567.278370   	104.287028     	46.906125      	0.789505       	0.000000       	0.789505       	3.195660       	0.007989       	0.203442       	0.002012       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15566.525589   	107.189950     	44.406563      	0.752781       	0.000000       	0.752781       	2.912202       	0.007281       	0.340142       	0.001999       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15565.793599   	109.943431     	42.079493      	0.731991       	0.000000       	0.731991       	2.762393       	0.006906       	0.296668       	0.002006       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15565.077079   	112.570233     	39.981969      	0.716520       	0.000000       	0.716520       	2.635406       	0.006589       	0.178638       	0.002017       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15564.392696   	114.892902     	38.134726      	0.684383       	0.000000       	0.684383       	2.330473       	0.005826       	0.201152       	0.001978       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15563.734144   	117.015743     	36.364724      	0.658552       	0.000000       	0.658552       	2.130112       	0.005325       	0.298442       	0.001946       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15563.099555   	118.970234     	34.747505      	0.634589       	0.000000       	0.634589       	1.961308       	0.004903       	0.290501       	0.001914       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15562.481230   	120.824507     	33.307488      	0.618325       	0.000000       	0.618325       	1.860826       	0.004652       	0.197515       	0.001901       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15561.869902   	166.073958     	137.901134     	0.611328       	0.000000       	0.611328       	7.770790       	0.019427       	0.746892       	0.001912       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
