DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15591.702599   	69.418999      	138.093631     	72.648501      	0.000000       	72.648501      	9.946355       	0.024866       	1.108515       	0.002491       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15590.706533   	78.476088      	129.017065     	0.996066       	0.000000       	0.996066       	9.082118       	0.022705       	0.990514       	0.002323       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15589.865035   	84.048367      	123.936425     	0.841498       	0.000000       	0.841498       	5.587934       	0.013970       	0.334204       	0.001685       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15589.049244   	89.775177      	117.824109     	0.815791       	0.000000       	0.815791       	5.742849       	0.014357       	1.185258       	0.001682       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15588.177141   	97.098301      	109.905683     	0.872103       	0.000000       	0.872103       	7.343320       	0.018358       	1.447210       	0.001837       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15587.257764   	105.153862     	101.607342     	0.919376       	0.000000       	0.919376       	8.077728       	0.020194       	1.139990       	0.001973       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15586.365136   	112.064183     	94.856053      	0.892628       	0.000000       	0.892628       	6.929596       	0.017324       	0.714321       	0.001951       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15585.498789   	158.515474     	182.987410     	0.866347       	0.000000       	0.866347       	12.735065      	0.031838       	1.249925       	0.001937       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15584.639843   	170.831154     	169.724400     	0.858946       	0.000000       	0.858946       	12.348515      	0.030871       	1.773440       	0.001963       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15583.780450   	182.886417     	156.445194     	0.859393       	0.000000       	0.859393       	12.087492      	0.030219       	2.051107       	0.002010       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15582.936999   	193.838906     	144.551285     	0.843451       	0.000000       	0.843451       	10.981965      	0.027455       	1.755396       	0.002021       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15582.123957   	203.349855     	134.724744     	0.813042       	0.000000       	0.813042       	9.536790       	0.023842       	1.102793       	0.001998       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15581.345736   	211.623438     	126.046810     	0.778220       	0.000000       	0.778220       	8.296284       	0.020741       	1.159871       	0.001960       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15580.606686   	218.732790     	118.204525     	0.739050       	0.000000       	0.739050       	7.129081       	0.017823       	1.452254       	0.001906       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15579.838264   	227.099816     	109.152608     	0.768422       	0.000000       	0.768422       	8.390024       	0.020975       	1.430316       	0.002023       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15579.055137   	235.513210     	99.929235      	0.783127       	0.000000       	0.783127       	8.436597       	0.021091       	1.569902       	0.002112       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15578.259588   	243.667977     	91.388973      	0.795549       	0.000000       	0.795549       	8.177411       	0.020444       	1.158401       	0.002201       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15577.487519   	250.528759     	84.484586      	0.772069       	0.000000       	0.772069       	6.880180       	0.017200       	0.796275       	0.002197       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15576.740114   	256.501799     	78.356369      	0.747405       	0.000000       	0.747405       	5.990197       	0.014975       	0.885425       	0.002182       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15575.978821   	262.763285     	72.043416      	0.761293       	0.000000       	0.761293       	6.279452       	0.015699       	0.794793       	0.002268       	0.000075       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15575.210591   	268.797337     	65.725279      	0.768230       	0.000000       	0.768230       	6.051526       	0.015129       	1.034841       	0.002345       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15574.466978   	301.546976     	122.277439     	0.743614       	0.000000       	0.743614       	10.277666      	0.025694       	1.413788       	0.002332       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15573.737475   	310.842373     	112.047711     	0.729503       	0.000000       	0.729503       	9.321039       	0.023303       	1.638192       	0.002340       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15573.007282   	319.857751     	102.531445     	0.730192       	0.000000       	0.730192       	9.040369       	0.022601       	1.206090       	0.002390       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15572.271420   	328.583828     	92.952200      	0.735863       	0.000000       	0.735863       	8.750414       	0.021876       	1.564694       	0.002460       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15571.545509   	336.246099     	84.952807      	0.725911       	0.000000       	0.725911       	7.683967       	0.019210       	1.041336       	0.002486       	0.000090       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15570.819880   	343.404671     	77.611616      	0.725629       	0.000000       	0.725629       	7.179053       	0.017948       	0.887767       	0.002534       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15570.039330   	348.243137     	73.145082      	0.780550       	0.000000       	0.780550       	4.866123       	0.012165       	0.380960       	0.015492       	0.007740       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15569.366599   	354.821557     	81.300991      	0.672731       	0.000000       	0.672731       	3.429163       	0.008574       	0.337659       	0.592169       	0.100446       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15568.630618   	358.521812     	77.569389      	0.735981       	0.000000       	0.735981       	4.020602       	0.010052       	0.446981       	0.310296       	0.072383       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15567.875700   	362.604287     	73.732652      	0.754919       	0.000000       	0.754919       	4.317268       	0.010796       	0.274387       	0.223997       	0.053679       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15567.163940   	366.376838     	70.113327      	0.711760       	0.000000       	0.711760       	3.976171       	0.009940       	0.354913       	0.193680       	0.050236       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15566.494416   	369.863104     	66.683428      	0.669524       	0.000000       	0.669524       	3.661156       	0.009153       	0.438268       	0.165738       	0.037823       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15565.850486   	373.146747     	63.419284      	0.643930       	0.000000       	0.643930       	3.439489       	0.008599       	0.468585       	0.147247       	0.032049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15565.198620   	376.575444     	59.925087      	0.651865       	0.000000       	0.651865       	3.578578       	0.008946       	0.567484       	0.140935       	0.029921       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15564.441187   	383.937167     	67.810228      	0.757434       	0.000000       	0.757434       	3.775704       	0.009439       	0.346589       	0.154541       	0.036610       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15563.711120   	387.102915     	64.944619      	0.730066       	0.000000       	0.730066       	3.320760       	0.008302       	0.274916       	0.146711       	0.034211       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15563.017253   	389.745197     	62.430761      	0.693868       	0.000000       	0.693868       	2.888442       	0.007221       	0.319283       	0.238938       	0.067680       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15562.599909   	391.415221     	60.101140      	0.417344       	0.000000       	0.417344       	2.290477       	0.005728       	0.456488       	0.614726       	0.059228       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15562.225736   	392.844217     	58.569937      	0.374173       	0.000000       	0.374173       	1.735294       	0.004368       	0.170082       	0.301930       	0.034703       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15561.810643   	393.938281     	57.447150      	0.415093       	0.000000       	0.415093       	1.407952       	0.003527       	0.129927       	0.310362       	0.056139       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15561.313376   	395.120431     	56.372825      	0.497267       	0.000000       	0.497267       	1.467988       	0.003674       	0.103603       	0.282165       	0.055216       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15560.731162   	405.778872     	75.709503      	0.582214       	0.000000       	0.582214       	3.456968       	0.008648       	0.288568       	0.289879       	0.064951       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15560.180714   	408.613533     	72.808707      	0.550449       	0.000000       	0.550449       	3.102708       	0.007759       	0.348537       	0.260289       	0.059872       	0.000000       	0.000000       	0.000000       	0.000000       
