DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15615.308921   	56.159938      	98.414039      	49.042179      	0.000000       	49.042179      	4.172324       	0.010431       	0.455816       	0.001955       	0.000104       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15614.538073   	60.503958      	94.476869      	0.770849       	0.000000       	0.770849       	4.356760       	0.010892       	0.351259       	0.001848       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15613.766847   	65.005941      	90.366757      	0.771226       	0.000000       	0.771226       	4.515067       	0.011288       	0.366270       	0.001797       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15613.064876   	68.574799      	87.119164      	0.701972       	0.000000       	0.701972       	3.579229       	0.008948       	0.370335       	0.001423       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15612.433691   	71.338347      	84.611571      	0.631184       	0.000000       	0.631184       	2.771760       	0.006929       	0.367016       	0.001283       	0.000036       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15611.827982   	73.388921      	83.035924      	0.605709       	0.000000       	0.605709       	2.063149       	0.005158       	0.118207       	0.007417       	0.002196       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15611.216434   	75.643567      	81.311265      	0.611548       	0.000000       	0.611548       	2.270524       	0.005676       	0.065684       	0.010201       	0.002780       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15610.652423   	77.595435      	79.804580      	0.564011       	0.000000       	0.564011       	1.970499       	0.004926       	0.100197       	0.013705       	0.003478       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15610.055306   	80.048651      	77.658408      	0.597116       	0.000000       	0.597116       	2.469904       	0.006175       	0.273384       	0.010514       	0.002235       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15609.468870   	82.511647      	75.455715      	0.586436       	0.000000       	0.586436       	2.478249       	0.006196       	0.310879       	0.009058       	0.001708       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15608.846063   	85.554219      	72.814712      	0.622808       	0.000000       	0.622808       	3.060939       	0.007652       	0.202872       	0.010714       	0.001997       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15608.192082   	88.666794      	69.968606      	0.653981       	0.000000       	0.653981       	3.126583       	0.007816       	0.373505       	0.006191       	0.001079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15607.731840   	89.785317      	69.020192      	0.460241       	0.000000       	0.460241       	1.267724       	0.003246       	0.140931       	0.145956       	0.013026       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15607.211290   	91.426452      	67.648635      	0.520550       	0.000000       	0.520550       	1.761648       	0.005949       	0.130459       	0.114564       	0.011130       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15606.636649   	105.978141     	98.316076      	0.574641       	0.000000       	0.574641       	3.398533       	0.010133       	0.258667       	0.086711       	0.008846       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15606.000461   	109.978002     	94.546522      	0.636188       	0.000000       	0.636188       	4.090387       	0.010226       	0.315354       	0.080300       	0.009309       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15605.398918   	113.440720     	91.257701      	0.601543       	0.000000       	0.601543       	3.542008       	0.008855       	0.348356       	0.070436       	0.008261       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15604.834823   	116.655410     	88.172145      	0.564095       	0.000000       	0.564095       	3.289203       	0.008223       	0.360448       	0.066289       	0.007532       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15604.321635   	119.341973     	85.535671      	0.513188       	0.000000       	0.513188       	2.749752       	0.006874       	0.399910       	0.056315       	0.005769       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15603.790845   	122.506670     	82.622496      	0.530790       	0.000000       	0.530790       	3.232155       	0.008080       	0.211810       	0.059377       	0.005991       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15603.320275   	124.263629     	81.114156      	0.470570       	0.000000       	0.470570       	1.806501       	0.004516       	0.172409       	0.045026       	0.004227       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15602.794642   	126.984333     	78.533252      	0.525633       	0.000000       	0.525633       	2.782193       	0.006955       	0.324343       	0.054533       	0.005542       	0.000000       	0.000000       	0.000000       	0.000000       
