DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15600.960663   	53.570298      	100.439080     	63.390437      	0.000000       	63.390437      	5.335900       	0.013340       	0.365456       	0.002263       	0.000121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.182565   	57.581928      	96.527888      	0.778098       	0.000000       	0.778098       	4.023526       	0.010059       	0.665764       	0.001836       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.397747   	62.043609      	92.396221      	0.784819       	0.000000       	0.784819       	4.474708       	0.011187       	0.441777       	0.001841       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.663931   	65.873364      	88.653410      	0.733816       	0.000000       	0.733816       	3.840863       	0.009602       	0.635764       	0.001505       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15597.956201   	69.474226      	85.268610      	0.707730       	0.000000       	0.707730       	3.611365       	0.009028       	0.481164       	0.001475       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.279517   	72.776693      	82.346737      	0.676684       	0.000000       	0.676684       	3.312169       	0.008280       	0.286388       	0.001422       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.644176   	75.641072      	79.612860      	0.635341       	0.000000       	0.635341       	2.872909       	0.007182       	0.496310       	0.001347       	0.000037       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15596.064382   	77.920776      	77.508396      	0.579794       	0.000000       	0.579794       	2.286659       	0.005717       	0.397599       	0.001239       	0.000034       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.447094   	81.044367      	74.385062      	0.617289       	0.000000       	0.617289       	3.132769       	0.007832       	0.607854       	0.001346       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.820481   	84.289291      	70.887728      	0.626613       	0.000000       	0.626613       	3.254441       	0.008136       	0.869506       	0.001381       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.165364   	87.857452      	67.287754      	0.655116       	0.000000       	0.655116       	3.578576       	0.008946       	0.676514       	0.001469       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
