DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	44.518838      	83.825756      	67.930922      	0.000000       	67.930922      	3.780318       	0.009451       	0.574848       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	48.466090      	80.446221      	0.836899       	0.000000       	0.836899       	3.959267       	0.009898       	0.257167       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	52.302614      	77.059619      	0.814482       	0.000000       	0.814482       	3.848178       	0.009620       	0.352907       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	55.904905      	73.899500      	0.776384       	0.000000       	0.776384       	3.613207       	0.009033       	0.323295       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	59.549979      	70.756334      	0.767723       	0.000000       	0.767723       	3.655850       	0.009140       	0.255040       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	63.658999      	67.020464      	0.800831       	0.000000       	0.800831       	4.121064       	0.010303       	0.415636       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	67.877104      	63.088882      	0.820015       	0.000000       	0.820015       	4.230491       	0.010576       	0.521106       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	94.828192      	110.812242     	0.844938       	0.000000       	0.844938       	8.223545       	0.020559       	1.148032       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	101.728597     	103.751302     	0.811370       	0.000000       	0.811370       	6.919552       	0.017299       	0.952758       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	107.728714     	97.495524      	0.777453       	0.000000       	0.777453       	6.016966       	0.015042       	1.016265       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	112.058328     	93.167968      	0.697294       	0.000000       	0.697294       	4.342112       	0.010855       	0.682737       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	117.300064     	88.000410      	0.721646       	0.000000       	0.721646       	5.256615       	0.013142       	0.632590       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	122.347641     	82.839972      	0.715250       	0.000000       	0.715250       	5.061979       	0.012655       	0.813708       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	126.986793     	78.226607      	0.699829       	0.000000       	0.699829       	4.652529       	0.011631       	0.660665       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	158.001171     	136.866674     	0.697677       	0.000000       	0.697677       	8.537498       	0.021344       	1.020113       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	165.315786     	129.038945     	0.668913       	0.000000       	0.668913       	7.334690       	0.018337       	1.161951       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	171.257453     	123.025925     	0.627063       	0.000000       	0.627063       	5.958226       	0.014896       	0.681857       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	177.220448     	116.659303     	0.616072       	0.000000       	0.616072       	5.979607       	0.014949       	1.003087       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	182.886420     	110.498030     	0.602324       	0.000000       	0.602324       	5.681833       	0.014205       	1.081764       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	188.249851     	104.895181     	0.590325       	0.000000       	0.590325       	5.378529       	0.013446       	0.814644       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	191.760919     	101.629245     	0.572370       	0.000000       	0.572370       	3.522842       	0.008807       	0.315464       	0.002967       	0.000908       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	193.330227     	100.331762     	0.453936       	0.000000       	0.453936       	1.615955       	0.004040       	0.135464       	0.042607       	0.014045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	195.435671     	98.512199      	0.462767       	0.000000       	0.462767       	2.147734       	0.005369       	0.134597       	0.036921       	0.010328       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	197.730136     	96.543034      	0.467062       	0.000000       	0.467062       	2.341004       	0.005853       	0.095224       	0.040686       	0.011960       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	201.048228     	93.427250      	0.530737       	0.000000       	0.530737       	3.374293       	0.008436       	0.272228       	0.047765       	0.012814       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437530   	205.456735     	89.130496      	0.609287       	0.000000       	0.609287       	4.476571       	0.011191       	0.429469       	0.056873       	0.014588       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974722   	207.394694     	87.365083      	0.462807       	0.000000       	0.462807       	2.033777       	0.005091       	0.194442       	0.090727       	0.019097       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500257   	209.622578     	85.399167      	0.474466       	0.000000       	0.474466       	2.282628       	0.005707       	0.157754       	0.049038       	0.013517       	0.000000       	0.000000       	0.000000       	0.000000       
