DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	44.518838      	83.825756      	67.930922      	0.000000       	67.930922      	3.780318       	0.009451       	0.574848       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	48.466090      	80.446221      	0.836899       	0.000000       	0.836899       	3.959267       	0.009898       	0.257167       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	52.302614      	77.059619      	0.814482       	0.000000       	0.814482       	3.848178       	0.009620       	0.352907       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	55.904905      	73.899500      	0.776384       	0.000000       	0.776384       	3.613207       	0.009033       	0.323295       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	59.549979      	70.756334      	0.767723       	0.000000       	0.767723       	3.655850       	0.009140       	0.255040       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	63.658999      	67.020464      	0.800831       	0.000000       	0.800831       	4.121064       	0.010303       	0.415636       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	67.877104      	63.088882      	0.820015       	0.000000       	0.820015       	4.230491       	0.010576       	0.521106       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	117.450182     	162.592505     	0.844938       	0.000000       	0.844938       	12.105239      	0.030263       	1.736076       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	127.554837     	151.831333     	0.811370       	0.000000       	0.811370       	10.131833      	0.025330       	1.440709       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	136.299580     	142.303641     	0.777453       	0.000000       	0.777453       	8.768470       	0.021921       	1.536675       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	142.539821     	135.711088     	0.697294       	0.000000       	0.697294       	6.257528       	0.015644       	1.032319       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	150.143645     	127.851654     	0.721646       	0.000000       	0.721646       	7.624623       	0.019062       	0.956457       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	157.450200     	120.010080     	0.715250       	0.000000       	0.715250       	7.326618       	0.018317       	1.230206       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	164.139381     	113.003436     	0.699829       	0.000000       	0.699829       	6.707696       	0.016769       	0.998777       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	192.770864     	158.845801     	0.697677       	0.000000       	0.697677       	9.908029       	0.024770       	1.197284       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	201.246722     	149.652127     	0.668913       	0.000000       	0.668913       	8.498844       	0.021247       	1.363743       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	208.116193     	142.590569     	0.627063       	0.000000       	0.627063       	6.888355       	0.017221       	0.800266       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	215.011219     	135.115397     	0.616072       	0.000000       	0.616072       	6.913975       	0.017285       	1.177269       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	221.558767     	127.882506     	0.602324       	0.000000       	0.602324       	6.565617       	0.016414       	1.269598       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	227.752231     	121.306100     	0.590325       	0.000000       	0.590325       	6.210643       	0.015527       	0.956088       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	231.782275     	117.465152     	0.572370       	0.000000       	0.572370       	4.043189       	0.010108       	0.370130       	0.003037       	0.000992       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	233.561634     	115.930015     	0.453936       	0.000000       	0.453936       	1.830120       	0.004575       	0.158952       	0.046185       	0.016432       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	235.973966     	113.776042     	0.462767       	0.000000       	0.462767       	2.458815       	0.006147       	0.157924       	0.040336       	0.012229       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	238.608850     	111.445396     	0.467062       	0.000000       	0.467062       	2.685990       	0.006715       	0.111717       	0.044391       	0.014121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	242.440828     	107.762872     	0.530737       	0.000000       	0.530737       	3.893909       	0.009735       	0.319352       	0.052196       	0.015168       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437530   	247.544308     	102.689803     	0.609287       	0.000000       	0.609287       	5.178602       	0.012947       	0.503754       	0.062175       	0.017285       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974723   	249.766877     	100.596009     	0.462807       	0.000000       	0.462807       	2.328569       	0.005824       	0.228032       	0.100177       	0.023003       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500258   	252.327981     	98.263892      	0.474465       	0.000000       	0.474465       	2.621591       	0.006554       	0.184991       	0.053932       	0.016230       	0.000000       	0.000000       	0.000000       	0.000000       
