DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	48.735547      	94.526574      	67.930922      	0.000000       	67.930922      	4.248196       	0.010620       	0.656152       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	53.171554      	90.620719      	0.836899       	0.000000       	0.836899       	4.449248       	0.011123       	0.293506       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	57.478673      	86.712511      	0.814482       	0.000000       	0.814482       	4.319952       	0.010800       	0.402739       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	61.516799      	83.069836      	0.776384       	0.000000       	0.776384       	4.050134       	0.010125       	0.368924       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	65.601148      	79.450310      	0.767723       	0.000000       	0.767723       	4.096227       	0.010241       	0.291023       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	70.209541      	75.155193      	0.800831       	0.000000       	0.800831       	4.621689       	0.011554       	0.474258       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	74.937472      	70.639034      	0.820015       	0.000000       	0.820015       	4.741594       	0.011854       	0.594580       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	79.786286      	65.982183      	0.844938       	0.000000       	0.844938       	4.862870       	0.012157       	0.638919       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	83.912526      	62.124815      	0.811370       	0.000000       	0.811370       	4.138436       	0.010346       	0.530302       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	87.536410      	58.701785      	0.777453       	0.000000       	0.777453       	3.634776       	0.009087       	0.565708       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	90.211840      	56.335218      	0.697294       	0.000000       	0.697294       	2.683783       	0.006709       	0.380078       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	93.408519      	53.498236      	0.721646       	0.000000       	0.721646       	3.206433       	0.008016       	0.352195       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	96.500297      	50.659094      	0.715250       	0.000000       	0.715250       	3.101278       	0.007753       	0.453115       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	99.364527      	48.117826      	0.699829       	0.000000       	0.699829       	2.873158       	0.007183       	0.367938       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	102.206781     	45.679280      	0.697677       	0.000000       	0.697677       	2.851158       	0.007128       	0.285066       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	104.703223     	43.518991      	0.668913       	0.000000       	0.668913       	2.504442       	0.006261       	0.324759       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	106.795080     	41.856681      	0.627063       	0.000000       	0.627063       	2.098767       	0.005247       	0.190606       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	108.890435     	40.090029      	0.616072       	0.000000       	0.616072       	2.102274       	0.005256       	0.280451       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	110.897678     	38.375910      	0.602324       	0.000000       	0.602324       	2.013934       	0.005035       	0.302508       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	112.815580     	36.814009      	0.590325       	0.000000       	0.590325       	1.924364       	0.004811       	0.227862       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	114.171651     	35.935513      	0.572370       	0.000000       	0.572370       	1.362177       	0.003405       	0.088690       	0.002700       	0.000624       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	114.862483     	35.626057      	0.453936       	0.000000       	0.453936       	0.725367       	0.001813       	0.038025       	0.032721       	0.008052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	115.689935     	35.193105      	0.462768       	0.000000       	0.462768       	0.857897       	0.002145       	0.037823       	0.028301       	0.005897       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577552   	116.565862     	34.724078      	0.467063       	0.000000       	0.467063       	0.909287       	0.002273       	0.026802       	0.031087       	0.006783       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046815   	117.741598     	33.962653      	0.530737       	0.000000       	0.530737       	1.215427       	0.003039       	0.076736       	0.036652       	0.007369       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437527   	119.249321     	32.895292      	0.609287       	0.000000       	0.609287       	1.555341       	0.003888       	0.121308       	0.043729       	0.008451       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974719   	119.993339     	32.490076      	0.462808       	0.000000       	0.462808       	0.812921       	0.002066       	0.055102       	0.066838       	0.010211       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500253   	120.833878     	32.040657      	0.474466       	0.000000       	0.474466       	0.879123       	0.002198       	0.044763       	0.036385       	0.007279       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000341   	134.212477     	63.919794      	0.499912       	0.000000       	0.499912       	2.172520       	0.005431       	0.198255       	0.038489       	0.007591       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500433   	136.470183     	61.865646      	0.499909       	0.000000       	0.499909       	2.303443       	0.005759       	0.250613       	0.039979       	0.007775       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985413   	139.005370     	59.432750      	0.515020       	0.000000       	0.515020       	2.576265       	0.006441       	0.371651       	0.034637       	0.005550       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456332   	141.685174     	56.956576      	0.529080       	0.000000       	0.529080       	2.716862       	0.006792       	0.288393       	0.030266       	0.004522       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911445   	144.442712     	54.343891      	0.544888       	0.000000       	0.544888       	2.792132       	0.006980       	0.365440       	0.027614       	0.004002       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379455   	146.616477     	52.453342      	0.531990       	0.000000       	0.531990       	2.200701       	0.005502       	0.221837       	0.021434       	0.003064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796819   	148.879200     	50.429621      	0.582636       	0.000000       	0.582636       	2.289091       	0.005723       	0.317265       	0.020646       	0.002918       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256657   	154.858889     	59.765353      	0.540163       	0.000000       	0.540163       	2.253989       	0.005635       	0.200442       	0.018664       	0.002851       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774032   	156.439614     	58.490504      	0.482624       	0.000000       	0.482624       	1.629168       	0.004073       	0.128306       	0.044370       	0.011022       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333637   	157.641872     	57.454942      	0.440396       	0.000000       	0.440396       	1.347571       	0.004597       	0.128387       	0.140716       	0.023884       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852730   	159.184574     	56.167521      	0.480907       	0.000000       	0.480907       	1.673086       	0.005306       	0.095241       	0.125078       	0.019335       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492773   	160.508025     	54.914871      	0.359957       	0.000000       	0.359957       	1.493252       	0.003813       	0.119355       	0.165988       	0.018067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125415   	161.870932     	53.434384      	0.367358       	0.000000       	0.367358       	1.657260       	0.004499       	0.190586       	0.289853       	0.021021       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815718   	163.207385     	51.915168      	0.309697       	0.000000       	0.309697       	1.616697       	0.004808       	0.212215       	0.275437       	0.014448       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416166   	169.720101     	60.447139      	0.399553       	0.000000       	0.399553       	2.945896       	0.007372       	0.171686       	0.175809       	0.010309       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922299   	172.196696     	58.108527      	0.493867       	0.000000       	0.493867       	2.680059       	0.006806       	0.152420       	0.196657       	0.019276       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384670   	174.528042     	55.972687      	0.537629       	0.000000       	0.537629       	2.517788       	0.006365       	0.155681       	0.180076       	0.019641       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850154   	176.270847     	54.484192      	0.534516       	0.000000       	0.534516       	1.913955       	0.004877       	0.109056       	0.166273       	0.019535       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354534   	177.749729     	53.170962      	0.495620       	0.000000       	0.495620       	1.626696       	0.004099       	0.182155       	0.143715       	0.017283       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880760   	178.958352     	52.133806      	0.473774       	0.000000       	0.473774       	1.409771       	0.004158       	0.101159       	0.196991       	0.022556       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15568.467993   	179.784024     	51.409683      	0.412767       	0.000000       	0.412767       	1.073952       	0.004844       	0.062938       	0.243436       	0.021617       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15568.073327   	205.234548     	115.808372     	0.394666       	0.000000       	0.394666       	3.237770       	0.010902       	0.258207       	0.276343       	0.018438       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15567.666461   	208.151628     	112.893314     	0.406867       	0.000000       	0.406867       	3.152588       	0.008408       	0.169336       	0.227100       	0.016952       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15567.207263   	212.031090     	108.880210     	0.459198       	0.000000       	0.459198       	4.096221       	0.010859       	0.376081       	0.205901       	0.018258       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15566.714209   	216.718503     	103.838248     	0.493053       	0.000000       	0.493053       	4.886078       	0.012413       	0.648938       	0.186251       	0.019313       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15566.208641   	221.749239     	98.702110      	0.505568       	0.000000       	0.505568       	5.213373       	0.013259       	0.428333       	0.169377       	0.018848       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15565.696950   	226.701716     	93.519350      	0.511691       	0.000000       	0.511691       	5.122944       	0.012928       	0.571508       	0.157539       	0.018443       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15565.180490   	231.493306     	88.250598      	0.516460       	0.000000       	0.516460       	4.954370       	0.012467       	0.830841       	0.150313       	0.017890       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15564.653080   	240.657060     	93.467318      	0.527410       	0.000000       	0.527410       	5.576131       	0.014023       	0.984560       	0.148354       	0.017655       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15564.087229   	246.568145     	87.269410      	0.565851       	0.000000       	0.565851       	6.079147       	0.015266       	0.684612       	0.152796       	0.018145       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15563.516061   	251.951827     	81.796393      	0.571168       	0.000000       	0.571168       	5.550364       	0.013961       	0.493821       	0.152721       	0.017925       	0.000000       	0.000000       	0.000000       	0.000000       
