DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	74.035798      	158.731479     	67.930922      	0.000000       	67.930922      	7.055466       	0.017639       	1.143978       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	81.404340      	151.667708     	0.836899       	0.000000       	0.836899       	7.389132       	0.018473       	0.511538       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	88.535028      	144.629862     	0.814482       	0.000000       	0.814482       	7.150598       	0.017876       	0.701730       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	95.188160      	138.091850     	0.776384       	0.000000       	0.776384       	6.671694       	0.016679       	0.642702       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	101.908163     	131.614165     	0.767723       	0.000000       	0.767723       	6.738486       	0.016846       	0.506922       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	109.512795     	123.963569     	0.800831       	0.000000       	0.800831       	7.625437       	0.019064       	0.825989       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	117.299675     	115.939952     	0.820015       	0.000000       	0.820015       	7.808211       	0.019521       	1.035421       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	125.266789     	107.683406     	0.844938       	0.000000       	0.844938       	7.988985       	0.019972       	1.112500       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	131.973559     	100.846069     	0.811370       	0.000000       	0.811370       	6.725433       	0.016814       	0.923274       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	137.807801     	94.788028      	0.777453       	0.000000       	0.777453       	5.850675       	0.014627       	0.984820       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	142.021922     	90.597378      	0.697294       	0.000000       	0.697294       	4.226330       	0.010566       	0.661615       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	147.120842     	85.592561      	0.721646       	0.000000       	0.721646       	5.113441       	0.012784       	0.613022       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	152.031768     	80.594282      	0.715250       	0.000000       	0.715250       	4.924985       	0.012312       	0.788544       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	156.546789     	76.125783      	0.699829       	0.000000       	0.699829       	4.528087       	0.011320       	0.640240       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	169.824014     	92.864557      	0.697677       	0.000000       	0.697677       	5.793485       	0.014484       	0.665419       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	174.813496     	87.771771      	0.668913       	0.000000       	0.668913       	5.003730       	0.012509       	0.757969       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	178.897252     	83.858367      	0.627063       	0.000000       	0.627063       	4.095659       	0.010239       	0.444808       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	182.993615     	79.711754      	0.616072       	0.000000       	0.616072       	4.108297       	0.010271       	0.654388       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	186.893590     	75.696920      	0.602324       	0.000000       	0.602324       	3.911409       	0.009779       	0.705749       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	190.593634     	72.044759      	0.590325       	0.000000       	0.590325       	3.710974       	0.009277       	0.531511       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	193.063922     	69.931627      	0.572370       	0.000000       	0.572370       	2.479458       	0.006199       	0.206044       	0.002972       	0.000914       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	198.100858     	80.197059      	0.453936       	0.000000       	0.453936       	1.333369       	0.003333       	0.105136       	0.043099       	0.014369       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	199.799229     	78.815253      	0.462767       	0.000000       	0.462767       	1.740097       	0.004350       	0.104475       	0.037375       	0.010575       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	201.641928     	77.319801      	0.467062       	0.000000       	0.467062       	1.888587       	0.004721       	0.073927       	0.041167       	0.012229       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	204.279300     	74.946707      	0.530737       	0.000000       	0.530737       	2.692451       	0.006731       	0.211380       	0.048348       	0.013114       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437530   	207.766869     	71.668405      	0.609287       	0.000000       	0.609287       	3.554035       	0.008885       	0.333553       	0.057581       	0.014942       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974722   	209.322559     	70.328522      	0.462807       	0.000000       	0.462807       	1.651618       	0.004134       	0.151073       	0.091794       	0.019471       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500257   	211.108191     	68.840590      	0.474465       	0.000000       	0.474465       	1.839813       	0.004600       	0.122585       	0.049582       	0.013784       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000346   	213.270371     	66.914766      	0.499911       	0.000000       	0.499911       	2.219953       	0.005550       	0.205782       	0.052223       	0.014162       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500439   	215.561814     	64.802971      	0.499907       	0.000000       	0.499907       	2.351626       	0.005879       	0.260077       	0.054303       	0.014569       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985420   	218.135522     	62.304937      	0.515019       	0.000000       	0.515019       	2.627351       	0.006568       	0.385702       	0.047074       	0.010489       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456341   	220.852947     	59.769366      	0.529079       	0.000000       	0.529079       	2.765331       	0.006913       	0.299318       	0.040993       	0.008557       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911455   	223.643859     	57.099684      	0.544886       	0.000000       	0.544886       	2.835254       	0.007088       	0.379314       	0.037253       	0.007560       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379466   	225.835073     	55.175901      	0.531988       	0.000000       	0.531988       	2.225458       	0.005564       	0.230314       	0.028680       	0.005758       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796832   	228.110897     	53.119864      	0.582635       	0.000000       	0.582635       	2.309154       	0.005773       	0.329518       	0.027556       	0.005470       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256670   	259.143637     	127.111050     	0.540161       	0.000000       	0.540161       	4.819476       	0.012049       	0.479499       	0.024688       	0.005197       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774047   	262.471220     	123.892254     	0.482623       	0.000000       	0.482623       	3.394649       	0.008487       	0.306770       	0.058580       	0.019033       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333653   	265.150280     	121.147859     	0.440394       	0.000000       	0.440394       	2.878000       	0.007524       	0.306789       	0.191416       	0.043875       	0.000000       	0.000000       	0.000000       	0.000000       
