DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15611.626104   	64.935112      	123.149226     	52.724996      	0.000000       	52.724996      	5.450793       	0.013627       	0.624978       	0.002054       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15610.794651   	70.871665      	117.489788     	0.831452       	0.000000       	0.831452       	5.953436       	0.014884       	0.537454       	0.001999       	0.000094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15609.995396   	76.427415      	112.188262     	0.799256       	0.000000       	0.799256       	5.571545       	0.013929       	0.529237       	0.001867       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15609.230032   	81.472489      	107.295955     	0.765364       	0.000000       	0.765364       	5.059299       	0.012648       	0.598372       	0.001577       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15608.460400   	86.761833      	101.936724     	0.769632       	0.000000       	0.769632       	5.304218       	0.013261       	0.824645       	0.001613       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15607.726500   	91.379276      	97.479702      	0.733900       	0.000000       	0.733900       	4.630569       	0.011576       	0.560352       	0.001550       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15606.985222   	96.244944      	92.815590      	0.741278       	0.000000       	0.741278       	4.879462       	0.012199       	0.525928       	0.001595       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15606.237678   	140.319939     	183.486577     	0.747544       	0.000000       	0.747544       	10.352508      	0.025881       	0.974049       	0.001631       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15605.521358   	149.158932     	173.418932     	0.716320       	0.000000       	0.716320       	8.862736       	0.022157       	1.921229       	0.001586       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15604.834653   	156.942878     	164.799732     	0.686705       	0.000000       	0.686705       	7.805005       	0.019513       	1.500899       	0.001547       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15604.105132   	166.667527     	154.057512     	0.729521       	0.000000       	0.729521       	9.750701       	0.024377       	1.721040       	0.001675       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15603.377163   	175.787494     	144.267271     	0.727969       	0.000000       	0.727969       	9.144529       	0.022861       	1.373680       	0.001702       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
