DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15628.995716   	38.561351      	42.603335      	35.355384      	0.000000       	35.355384      	1.567018       	0.003918       	0.185031       	0.001750       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15628.149736   	40.486148      	41.220390      	0.845980       	0.000000       	0.845980       	1.931452       	0.004829       	0.297473       	0.001826       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15627.281925   	42.750603      	39.531786      	0.867811       	0.000000       	0.867811       	2.272049       	0.005680       	0.284367       	0.001914       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15626.364532   	45.365335      	37.651305      	0.917393       	0.000000       	0.917393       	2.623130       	0.006558       	0.174744       	0.001840       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15625.476887   	47.764929      	35.924906      	0.887645       	0.000000       	0.887645       	2.407436       	0.006019       	0.206607       	0.001824       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15624.645051   	49.826193      	34.468368      	0.831836       	0.000000       	0.831836       	2.068183       	0.005170       	0.220191       	0.001749       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15623.898467   	51.462193      	33.396753      	0.746584       	0.000000       	0.746584       	1.641701       	0.004104       	0.176498       	0.001597       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15623.155623   	73.238298      	87.089176      	0.742844       	0.000000       	0.742844       	3.035105       	0.007588       	0.265316       	0.001413       	0.000038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15622.455668   	76.571361      	84.081115      	0.699955       	0.000000       	0.699955       	3.342840       	0.008357       	0.365176       	0.001420       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15621.778018   	80.038232      	80.972820      	0.677650       	0.000000       	0.677650       	3.476989       	0.008692       	0.308956       	0.001426       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15621.093106   	83.577362      	77.455408      	0.684912       	0.000000       	0.684912       	3.549451       	0.008874       	0.652873       	0.001447       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15620.452826   	86.780888      	74.485359      	0.640280       	0.000000       	0.640280       	3.212979       	0.008032       	0.397350       	0.001420       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15619.708928   	91.800983      	69.557633      	0.743897       	0.000000       	0.743897       	5.034368       	0.012586       	0.637256       	0.001687       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15618.954185   	96.660634      	64.912549      	0.754743       	0.000000       	0.754743       	4.873605       	0.012184       	0.526222       	0.001770       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15618.195893   	105.784882     	70.663378      	0.758292       	0.000000       	0.758292       	5.389561       	0.013474       	0.867903       	0.001839       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15617.455746   	110.540038     	66.011585      	0.740147       	0.000000       	0.740147       	4.768928       	0.011922       	0.623012       	0.001850       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15616.730968   	114.876853     	61.964587      	0.724778       	0.000000       	0.724778       	4.349550       	0.010874       	0.422226       	0.001861       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15616.033668   	118.680344     	58.212393      	0.697300       	0.000000       	0.697300       	3.814865       	0.009537       	0.634629       	0.001837       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15615.362388   	122.059408     	55.029073      	0.671280       	0.000000       	0.671280       	3.389350       	0.008473       	0.465251       	0.001811       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15614.673830   	125.753040     	51.545549      	0.688558       	0.000000       	0.688558       	3.704786       	0.009262       	0.467296       	0.001892       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15614.013939   	128.848489     	48.692950      	0.659891       	0.000000       	0.659891       	3.105070       	0.007763       	0.407420       	0.001859       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15613.063242   	131.589102     	46.709462      	0.950697       	0.000000       	0.950697       	2.752662       	0.006882       	0.181524       	0.005167       	0.001322       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15612.154144   	134.278554     	44.717809      	0.909098       	0.000000       	0.909098       	2.698044       	0.006745       	0.202707       	0.001847       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15611.329674   	137.090879     	42.463772      	0.824470       	0.000000       	0.824470       	2.821280       	0.007053       	0.257226       	0.001902       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15610.570108   	139.969171     	40.028645      	0.759566       	0.000000       	0.759566       	2.887486       	0.007219       	0.307208       	0.001975       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15609.857195   	142.721960     	37.543640      	0.712913       	0.000000       	0.712913       	2.761716       	0.006904       	0.436202       	0.002023       	0.000069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15609.164089   	145.373979     	35.222440      	0.693106       	0.000000       	0.693106       	2.660749       	0.006652       	0.353558       	0.002077       	0.000072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15608.473253   	147.983572     	32.862735      	0.690836       	0.000000       	0.690836       	2.618289       	0.006546       	0.432252       	0.002151       	0.000076       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15607.781597   	150.481854     	30.735065      	0.691656       	0.000000       	0.691656       	2.506774       	0.006267       	0.312553       	0.002224       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15607.089295   	152.817466     	28.823499      	0.692301       	0.000000       	0.692301       	2.343762       	0.005859       	0.260105       	0.002290       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15606.402510   	154.916212     	27.142508      	0.686785       	0.000000       	0.686785       	2.106346       	0.005266       	0.261430       	0.002334       	0.000086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15605.726537   	156.734762     	25.780860      	0.675974       	0.000000       	0.675974       	1.825467       	0.004564       	0.212155       	0.002354       	0.000087       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15604.783041   	158.283045     	25.072674      	0.943496       	0.000000       	0.943496       	1.554503       	0.003886       	0.097180       	0.002333       	0.000087       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15603.967568   	159.330240     	24.752438      	0.815473       	0.000000       	0.815473       	1.063479       	0.002659       	0.072230       	0.013625       	0.004970       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15603.095900   	160.466208     	24.396638      	0.871668       	0.000000       	0.871668       	1.150791       	0.002877       	0.076676       	0.011946       	0.004088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15602.264186   	161.522810     	24.094345      	0.831714       	0.000000       	0.831714       	1.067603       	0.002669       	0.066404       	0.008332       	0.002676       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15601.649431   	162.244105     	23.929356      	0.614755       	0.000000       	0.614755       	0.727012       	0.001818       	0.052732       	0.003900       	0.001048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15601.006876   	163.054044     	23.680305      	0.642556       	0.000000       	0.642556       	0.813830       	0.002035       	0.077777       	0.001857       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15600.407086   	163.902147     	23.338762      	0.599790       	0.000000       	0.599790       	0.852134       	0.002130       	0.089198       	0.001900       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15599.861592   	164.713828     	22.922165      	0.545494       	0.000000       	0.545494       	0.815635       	0.002039       	0.146455       	0.001915       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15599.372097   	165.418843     	22.641986      	0.489495       	0.000000       	0.489495       	0.708643       	0.001772       	0.061031       	0.001857       	0.000076       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15598.886217   	166.140097     	22.304028      	0.485880       	0.000000       	0.485880       	0.724948       	0.001812       	0.098890       	0.001881       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15598.408632   	166.837695     	21.936277      	0.477585       	0.000000       	0.477585       	0.701251       	0.001753       	0.144085       	0.001900       	0.000081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15597.911726   	167.571283     	21.583832      	0.496906       	0.000000       	0.496906       	0.737425       	0.001844       	0.111926       	0.001993       	0.000086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15597.444081   	168.206547     	21.306387      	0.467645       	0.000000       	0.467645       	0.638808       	0.001597       	0.106283       	0.001947       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15596.848308   	168.822306     	21.229021      	0.595773       	0.000000       	0.595773       	0.619230       	0.001548       	0.053910       	0.001922       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15596.315944   	169.417402     	21.083793      	0.532364       	0.000000       	0.532364       	0.598495       	0.001496       	0.079096       	0.001903       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15595.814865   	170.017613     	20.827008      	0.501079       	0.000000       	0.501079       	0.603647       	0.001509       	0.154217       	0.001926       	0.000086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15595.302028   	170.661330     	20.567316      	0.512838       	0.000000       	0.512838       	0.647373       	0.001618       	0.125157       	0.002038       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15594.793378   	171.301169     	20.345092      	0.508649       	0.000000       	0.508649       	0.643561       	0.001609       	0.087311       	0.002113       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
