DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15606.257173   	44.964015      	73.695983      	58.093927      	0.000000       	58.093927      	4.226779       	0.010567       	0.421165       	0.002197       	0.000106       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15605.395826   	48.817244      	70.310534      	0.861347       	0.000000       	0.861347       	3.864909       	0.009662       	0.381888       	0.002018       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15604.592047   	52.133575      	67.376232      	0.803779       	0.000000       	0.803779       	3.326294       	0.008316       	0.411786       	0.001648       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15603.778757   	55.703088      	64.189126      	0.813290       	0.000000       	0.813290       	3.580165       	0.008950       	0.420231       	0.001701       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15602.929463   	58.690536      	61.881416      	0.849294       	0.000000       	0.849294       	3.000787       	0.007502       	0.156217       	0.005838       	0.001194       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15602.070639   	61.804596      	59.389681      	0.858824       	0.000000       	0.858824       	3.126030       	0.007815       	0.224529       	0.004155       	0.000759       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15601.193314   	64.762750      	57.050726      	0.877325       	0.000000       	0.877325       	2.977904       	0.007445       	0.238375       	0.012305       	0.002827       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15600.426088   	79.410609      	87.820076      	0.767226       	0.000000       	0.767226       	3.476550       	0.008691       	0.271327       	0.070000       	0.008668       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15599.680508   	82.734879      	84.813601      	0.745580       	0.000000       	0.745580       	3.471851       	0.009189       	0.280204       	0.138392       	0.013968       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15598.996627   	85.499449      	82.372833      	0.683881       	0.000000       	0.683881       	2.928438       	0.008403       	0.196211       	0.155465       	0.014654       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15598.339906   	88.172622      	80.026731      	0.656721       	0.000000       	0.656721       	2.781960       	0.008682       	0.220864       	0.100105       	0.008918       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15597.662623   	91.214605      	77.327513      	0.677284       	0.000000       	0.677284       	3.131906       	0.007908       	0.244595       	0.082015       	0.007892       	0.000000       	0.000000       	0.000000       	0.000000       
