DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.486242   	45.530939      	77.780777      	62.864858      	0.000000       	62.864858      	4.795155       	0.011988       	0.538926       	0.002229       	0.000111       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.550794   	50.727492      	73.033692      	0.935448       	0.000000       	0.935448       	5.211844       	0.013030       	0.470689       	0.002262       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.661500   	55.176787      	68.937906      	0.889294       	0.000000       	0.889294       	4.462292       	0.011156       	0.522788       	0.001841       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.785839   	58.929337      	65.683031      	0.875660       	0.000000       	0.875660       	3.763709       	0.009409       	0.366826       	0.001749       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.020526   	61.669882      	63.442160      	0.765314       	0.000000       	0.765314       	2.748958       	0.006872       	0.257227       	0.001541       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.279635   	63.913090      	61.761502      	0.740891       	0.000000       	0.740891       	2.256946       	0.005642       	0.164604       	0.008095       	0.002007       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.602705   	65.825928      	60.390286      	0.676930       	0.000000       	0.676930       	1.934083       	0.004835       	0.114062       	0.016410       	0.003299       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.952924   	67.775699      	58.882582      	0.649781       	0.000000       	0.649781       	1.966847       	0.004917       	0.190638       	0.012159       	0.002236       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.280288   	70.032871      	57.083837      	0.672636       	0.000000       	0.672636       	2.275244       	0.005688       	0.196137       	0.012384       	0.002144       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.662809   	72.035253      	55.426948      	0.617479       	0.000000       	0.617479       	2.016427       	0.005041       	0.257941       	0.009004       	0.001535       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.028165   	74.338912      	53.526983      	0.634644       	0.000000       	0.634644       	2.314608       	0.005787       	0.220001       	0.005163       	0.000719       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.371192   	76.887517      	51.306969      	0.656973       	0.000000       	0.656973       	2.558861       	0.006397       	0.318126       	0.003859       	0.000424       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.710576   	79.405389      	49.128795      	0.660616       	0.000000       	0.660616       	2.527451       	0.006319       	0.311339       	0.003261       	0.000296       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.048884   	81.509890      	47.464471      	0.661691       	0.000000       	0.661691       	2.112472       	0.005281       	0.213543       	0.002689       	0.000208       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.459216   	107.348587     	111.681531     	0.589669       	0.000000       	0.589669       	3.487352       	0.009114       	0.385257       	0.139541       	0.019773       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15590.810903   	111.591016     	107.663539     	0.648312       	0.000000       	0.648312       	4.327364       	0.010818       	0.338940       	0.074117       	0.011585       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.154717   	116.022511     	103.399155     	0.656186       	0.000000       	0.656186       	4.492182       	0.011230       	0.428388       	0.049456       	0.008678       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15589.549874   	119.718851     	99.924893      	0.604844       	0.000000       	0.604844       	3.748802       	0.009372       	0.330305       	0.043090       	0.007487       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.013550   	122.446797     	97.519709      	0.536324       	0.000000       	0.536324       	2.770141       	0.006925       	0.171367       	0.035270       	0.006160       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.482646   	125.549272     	94.489242      	0.530904       	0.000000       	0.530904       	3.148712       	0.007872       	0.412659       	0.038364       	0.006662       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15587.994084   	128.219349     	91.853764      	0.488563       	0.000000       	0.488563       	2.704222       	0.006761       	0.419818       	0.027385       	0.003957       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.449335   	152.373700     	142.656301     	0.544749       	0.000000       	0.544749       	5.446353       	0.013616       	0.545859       	0.028387       	0.003750       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15586.911416   	157.897923     	136.693513     	0.537918       	0.000000       	0.537918       	5.562985       	0.013907       	0.937721       	0.024855       	0.003190       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.383069   	163.212625     	131.250946     	0.528347       	0.000000       	0.528347       	5.350269       	0.013376       	0.620646       	0.022191       	0.002798       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.833606   	169.147180     	125.173919     	0.549463       	0.000000       	0.549463       	5.971264       	0.014928       	0.655225       	0.021781       	0.002706       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15585.282469   	174.780084     	119.112868     	0.551138       	0.000000       	0.551138       	5.666706       	0.014167       	0.945483       	0.019635       	0.002399       	0.000000       	0.000000       	0.000000       	0.000000       
