DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	61.385673      	126.629026     	67.930922      	0.000000       	67.930922      	5.651831       	0.014130       	0.900065       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	67.287947      	121.144213     	0.836899       	0.000000       	0.836899       	5.919190       	0.014798       	0.402522       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	73.006851      	115.671186     	0.814482       	0.000000       	0.814482       	5.735275       	0.014338       	0.552234       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	78.352479      	110.580843     	0.776384       	0.000000       	0.776384       	5.360914       	0.013402       	0.505813       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	83.754656      	105.532237     	0.767723       	0.000000       	0.767723       	5.417356       	0.013543       	0.398972       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	89.861168      	99.559381      	0.800831       	0.000000       	0.800831       	6.123563       	0.015309       	0.650123       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	96.118574      	93.289493      	0.820015       	0.000000       	0.820015       	6.274902       	0.015687       	0.815001       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	102.526538     	86.832794      	0.844938       	0.000000       	0.844938       	6.425928       	0.016065       	0.875710       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	107.943043     	81.485442      	0.811370       	0.000000       	0.811370       	5.431935       	0.013580       	0.726788       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	112.672107     	76.744905      	0.777453       	0.000000       	0.777453       	4.742726       	0.011857       	0.775264       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	116.116883     	73.466296      	0.697294       	0.000000       	0.697294       	3.455057       	0.008638       	0.520846       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	120.264684     	69.545395      	0.721646       	0.000000       	0.721646       	4.159938       	0.010400       	0.482609       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	124.266039     	65.626681      	0.715250       	0.000000       	0.715250       	4.013134       	0.010033       	0.620829       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	127.955669     	62.121793      	0.699829       	0.000000       	0.699829       	3.700627       	0.009252       	0.504089       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	131.611499     	58.762173      	0.697677       	0.000000       	0.697677       	3.666772       	0.009167       	0.390525       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	134.798901     	55.789076      	0.668913       	0.000000       	0.668913       	3.197134       	0.007993       	0.444876       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	137.442684     	53.502971      	0.627063       	0.000000       	0.627063       	2.652077       	0.006630       	0.261092       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	140.092310     	51.076967      	0.616072       	0.000000       	0.616072       	2.657934       	0.006645       	0.384142       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	142.623547     	48.725716      	0.602324       	0.000000       	0.602324       	2.539241       	0.006348       	0.414334       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	145.034401     	46.585408      	0.590325       	0.000000       	0.590325       	2.418552       	0.006046       	0.312081       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	146.698213     	45.365699      	0.572370       	0.000000       	0.572370       	1.670837       	0.004177       	0.121243       	0.002848       	0.000774       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	178.736220     	133.549859     	0.453936       	0.000000       	0.453936       	2.084273       	0.005211       	0.185503       	0.041055       	0.013038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	181.516226     	131.005766     	0.462767       	0.000000       	0.462767       	2.822566       	0.007056       	0.184294       	0.035504       	0.009563       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	184.559250     	128.252554     	0.467062       	0.000000       	0.467062       	3.089914       	0.007725       	0.130361       	0.039166       	0.011109       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	189.004813     	123.907906     	0.530737       	0.000000       	0.530737       	4.502765       	0.011257       	0.372620       	0.045945       	0.011882       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437529   	194.938341     	117.926257     	0.609287       	0.000000       	0.609287       	6.003215       	0.015008       	0.587721       	0.054678       	0.013501       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974722   	197.509805     	115.457738     	0.462807       	0.000000       	0.462807       	2.665328       	0.006674       	0.265998       	0.087189       	0.017800       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500256   	200.470334     	112.701144     	0.474466       	0.000000       	0.474466       	3.015283       	0.007538       	0.215777       	0.047216       	0.012598       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000345   	204.094455     	109.155956     	0.499911       	0.000000       	0.499911       	3.682978       	0.009207       	0.362121       	0.049649       	0.012872       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500438   	207.944659     	105.286694     	0.499908       	0.000000       	0.499908       	3.911581       	0.009779       	0.457588       	0.051599       	0.013216       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985419   	212.279539     	100.732904     	0.515019       	0.000000       	0.515019       	4.390426       	0.010976       	0.678383       	0.044570       	0.009415       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456339   	216.853698     	96.111182      	0.529079       	0.000000       	0.529079       	4.624511       	0.011561       	0.526291       	0.038791       	0.007649       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911453   	221.545344     	91.250546      	0.544886       	0.000000       	0.544886       	4.738752       	0.011847       	0.666771       	0.035259       	0.006748       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379464   	225.174004     	87.712960      	0.531989       	0.000000       	0.531989       	3.664996       	0.009162       	0.404578       	0.027173       	0.005138       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796829   	228.947690     	83.908219      	0.582635       	0.000000       	0.582635       	3.809326       	0.009523       	0.578050       	0.026116       	0.004880       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256668   	236.075030     	91.961534      	0.540162       	0.000000       	0.540162       	3.409304       	0.008523       	0.327542       	0.023440       	0.004665       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774044   	238.435453     	89.812171      	0.482624       	0.000000       	0.482624       	2.422421       	0.006056       	0.209567       	0.055942       	0.017458       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333650   	240.278915     	88.012214      	0.440394       	0.000000       	0.440394       	2.030744       	0.005520       	0.209606       	0.181763       	0.039799       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852745   	242.672376     	85.774234      	0.480905       	0.000000       	0.480905       	2.563481       	0.006749       	0.155404       	0.163270       	0.032958       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492789   	244.764270     	83.620663      	0.359956       	0.000000       	0.359956       	2.318887       	0.005808       	0.194641       	0.221185       	0.031470       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125432   	246.979496     	81.070532      	0.367358       	0.000000       	0.367358       	2.606897       	0.006628       	0.310592       	0.385042       	0.036920       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815736   	249.172949     	78.462914      	0.309696       	0.000000       	0.309696       	2.571747       	0.006647       	0.345567       	0.371647       	0.026562       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416184   	274.410899     	127.946049     	0.399552       	0.000000       	0.399552       	6.749524       	0.016875       	0.416892       	0.244700       	0.021396       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922318   	280.247541     	121.945358     	0.493866       	0.000000       	0.493866       	6.124748       	0.015323       	0.369808       	0.272783       	0.037605       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384692   	285.711073     	116.377868     	0.537626       	0.000000       	0.537626       	5.727706       	0.014327       	0.377410       	0.249848       	0.038061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850179   	289.769396     	112.346838     	0.534513       	0.000000       	0.534513       	4.301752       	0.010771       	0.263791       	0.232659       	0.039155       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354561   	293.196628     	108.766610     	0.495617       	0.000000       	0.495617       	3.635486       	0.009100       	0.440359       	0.199154       	0.033700       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880790   	296.076760     	105.834386     	0.473772       	0.000000       	0.473772       	3.161821       	0.008194       	0.244176       	0.273494       	0.044485       	0.000000       	0.000000       	0.000000       	0.000000       
