DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	40.302130      	73.124939      	67.930922      	0.000000       	67.930922      	3.312440       	0.008281       	0.493544       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	43.760626      	70.271723      	0.836899       	0.000000       	0.836899       	3.469286       	0.008673       	0.220828       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	47.126555      	67.406727      	0.814482       	0.000000       	0.814482       	3.376404       	0.008441       	0.303075       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	50.293012      	64.729165      	0.776384       	0.000000       	0.776384       	3.176281       	0.007941       	0.277665       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	53.498810      	62.062359      	0.767723       	0.000000       	0.767723       	3.215473       	0.008039       	0.219056       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	57.108457      	58.885735      	0.800831       	0.000000       	0.800831       	3.620440       	0.009051       	0.357014       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	60.816737      	55.538729      	0.820015       	0.000000       	0.820015       	3.719388       	0.009298       	0.447632       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	78.199312      	83.149934      	0.844938       	0.000000       	0.844938       	6.149848       	0.015375       	0.833885       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	83.387926      	78.065750      	0.811370       	0.000000       	0.811370       	5.203472       	0.013009       	0.692083       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	87.921797      	73.557908      	0.777453       	0.000000       	0.777453       	4.547045       	0.011368       	0.738250       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	91.230707      	70.440370      	0.697294       	0.000000       	0.697294       	3.318851       	0.008297       	0.495982       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	95.210560      	66.710875      	0.721646       	0.000000       	0.721646       	3.991569       	0.009979       	0.459573       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	99.051342      	62.982762      	0.715250       	0.000000       	0.715250       	3.852159       	0.009630       	0.591204       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	102.595328     	59.647935      	0.699829       	0.000000       	0.699829       	3.554618       	0.008887       	0.480037       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	106.107715     	56.450750      	0.697677       	0.000000       	0.697677       	3.522969       	0.008807       	0.371893       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	109.173466     	53.620834      	0.668913       	0.000000       	0.668913       	3.075178       	0.007688       	0.423650       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	111.720294     	51.444386      	0.627063       	0.000000       	0.627063       	2.554879       	0.006387       	0.248633       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	114.272834     	49.134048      	0.616072       	0.000000       	0.616072       	2.560605       	0.006402       	0.365805       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	116.712737     	46.894149      	0.602324       	0.000000       	0.602324       	2.447678       	0.006119       	0.394545       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	119.038338     	44.854228      	0.590325       	0.000000       	0.590325       	2.333086       	0.005833       	0.297160       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	120.649626     	43.693062      	0.572370       	0.000000       	0.572370       	1.618068       	0.004045       	0.115469       	0.002735       	0.000657       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	152.674150     	131.896264     	0.453936       	0.000000       	0.453936       	2.067712       	0.005169       	0.183022       	0.038019       	0.011131       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	155.431174     	129.380384     	0.462768       	0.000000       	0.462768       	2.796818       	0.006992       	0.181829       	0.032802       	0.008138       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	158.448422     	126.657718     	0.467062       	0.000000       	0.467062       	3.061109       	0.007653       	0.128619       	0.036208       	0.009474       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	162.853406     	122.362214     	0.530737       	0.000000       	0.530737       	4.458600       	0.011146       	0.367641       	0.042470       	0.010137       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437529   	168.730925     	116.448722     	0.609287       	0.000000       	0.609287       	5.942907       	0.014857       	0.579873       	0.050531       	0.011509       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974721   	171.281970     	114.011455     	0.462807       	0.000000       	0.462807       	2.637625       	0.006615       	0.262449       	0.079965       	0.015081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500255   	174.217652     	111.286438     	0.474466       	0.000000       	0.474466       	2.986585       	0.007466       	0.212899       	0.043436       	0.010685       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000344   	219.129175     	216.042999     	0.499911       	0.000000       	0.499911       	7.475966       	0.018690       	0.767384       	0.045753       	0.010999       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500436   	227.016644     	207.618391     	0.499908       	0.000000       	0.499908       	7.954783       	0.019887       	0.969733       	0.047428       	0.011176       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985417   	235.911691     	197.737892     	0.515019       	0.000000       	0.515019       	8.958306       	0.022396       	1.437213       	0.040863       	0.007893       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456337   	245.290961     	187.713856     	0.529080       	0.000000       	0.529080       	9.438438       	0.023596       	1.114677       	0.035571       	0.006393       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911450   	254.897834     	177.183505     	0.544887       	0.000000       	0.544887       	9.663390       	0.024158       	1.411848       	0.032358       	0.005635       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379461   	262.238732     	169.475081     	0.531989       	0.000000       	0.531989       	7.384348       	0.018461       	0.856065       	0.024989       	0.004294       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796826   	269.876372     	161.155380     	0.582635       	0.000000       	0.582635       	7.680873       	0.019202       	1.221463       	0.024031       	0.004080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256664   	275.773892     	155.166133     	0.540162       	0.000000       	0.540162       	5.934124       	0.014835       	0.595285       	0.021768       	0.004085       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774040   	279.860453     	151.116166     	0.482624       	0.000000       	0.482624       	4.151784       	0.010379       	0.380807       	0.054843       	0.017807       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333646   	283.199934     	147.639357     	0.440394       	0.000000       	0.440394       	3.536408       	0.009377       	0.380795       	0.187551       	0.044614       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852741   	287.523835     	143.335092     	0.480905       	0.000000       	0.480905       	4.503030       	0.011654       	0.282139       	0.167476       	0.036499       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492785   	291.300197     	139.320105     	0.359956       	0.000000       	0.359956       	4.021690       	0.010064       	0.353253       	0.235264       	0.038318       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125428   	295.439020     	134.555802     	0.367357       	0.000000       	0.367357       	4.568185       	0.011511       	0.563475       	0.417850       	0.046168       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815732   	299.531450     	129.720102     	0.309696       	0.000000       	0.309696       	4.518891       	0.011452       	0.626505       	0.415009       	0.035458       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416180   	310.003265     	133.937030     	0.399552       	0.000000       	0.399552       	7.006280       	0.017516       	0.426344       	0.266948       	0.026268       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922315   	316.043237     	127.696776     	0.493865       	0.000000       	0.493865       	6.356045       	0.015897       	0.378074       	0.300177       	0.046471       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384689   	321.691702     	121.909877     	0.537626       	0.000000       	0.537626       	5.938792       	0.014852       	0.385733       	0.275476       	0.047181       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850176   	325.896374     	117.703915     	0.534513       	0.000000       	0.534513       	4.470696       	0.011188       	0.269778       	0.254836       	0.047242       	0.000000       	0.000000       	0.000000       	0.000000       
