DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	40.302130      	73.124939      	67.930922      	0.000000       	67.930922      	3.312440       	0.008281       	0.493544       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	43.760626      	70.271723      	0.836899       	0.000000       	0.836899       	3.469286       	0.008673       	0.220828       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	47.126555      	67.406727      	0.814482       	0.000000       	0.814482       	3.376404       	0.008441       	0.303075       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	50.293012      	64.729165      	0.776384       	0.000000       	0.776384       	3.176281       	0.007941       	0.277665       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	53.498810      	62.062359      	0.767723       	0.000000       	0.767723       	3.215473       	0.008039       	0.219056       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	57.108457      	58.885735      	0.800831       	0.000000       	0.800831       	3.620440       	0.009051       	0.357014       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	60.816737      	55.538729      	0.820015       	0.000000       	0.820015       	3.719388       	0.009298       	0.447632       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	64.626117      	52.081777      	0.844938       	0.000000       	0.844938       	3.820831       	0.009552       	0.481059       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	67.892180      	49.217733      	0.811370       	0.000000       	0.811370       	3.276103       	0.008190       	0.399312       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	70.779275      	46.673041      	0.777453       	0.000000       	0.777453       	2.896141       	0.007240       	0.426004       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	72.941806      	44.914504      	0.697294       	0.000000       	0.697294       	2.169598       	0.005424       	0.286233       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	75.504400      	42.800139      	0.721646       	0.000000       	0.721646       	2.570759       	0.006427       	0.265253       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	77.989787      	40.680717      	0.715250       	0.000000       	0.715250       	2.493367       	0.006233       	0.341305       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	80.303741      	38.781872      	0.699829       	0.000000       	0.699829       	2.321503       	0.005804       	0.277171       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	82.603595      	36.957391      	0.697677       	0.000000       	0.697677       	2.307398       	0.005768       	0.214760       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	84.639373      	35.338998      	0.668913       	0.000000       	0.668913       	2.042624       	0.005107       	0.244681       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	86.363248      	34.092582      	0.627063       	0.000000       	0.627063       	1.729863       	0.004325       	0.143616       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	88.089042      	32.765543      	0.616072       	0.000000       	0.616072       	1.731787       	0.004329       	0.211325       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	89.746889      	31.476246      	0.602324       	0.000000       	0.602324       	1.663662       	0.004159       	0.227959       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	91.336056      	30.300045      	0.590325       	0.000000       	0.590325       	1.594806       	0.003987       	0.171719       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	92.486929      	29.649117      	0.572370       	0.000000       	0.572370       	1.156309       	0.002891       	0.066989       	0.002545       	0.000485       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	112.619840     	84.822239      	0.453936       	0.000000       	0.453936       	1.418682       	0.003547       	0.112132       	0.032223       	0.007783       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	114.445758     	83.315092      	0.462768       	0.000000       	0.462768       	1.858491       	0.004646       	0.111424       	0.027927       	0.005727       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577552   	116.428880     	81.684405      	0.467063       	0.000000       	0.467063       	2.018910       	0.005047       	0.078840       	0.030740       	0.006633       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046815   	119.271482     	79.103699      	0.530738       	0.000000       	0.530738       	2.886028       	0.007215       	0.225415       	0.036211       	0.007185       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437527   	123.032562     	75.543548      	0.609288       	0.000000       	0.609288       	3.813763       	0.009534       	0.355675       	0.043149       	0.008199       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974719   	124.713829     	74.092939      	0.462808       	0.000000       	0.462808       	1.752344       	0.004428       	0.161073       	0.066649       	0.010319       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500253   	126.641716     	72.467577      	0.474466       	0.000000       	0.474466       	1.969135       	0.004923       	0.130693       	0.036325       	0.007327       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000341   	128.977385     	70.368261      	0.499912       	0.000000       	0.499912       	2.379845       	0.005950       	0.219383       	0.038226       	0.007505       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500432   	131.456313     	68.065930      	0.499909       	0.000000       	0.499909       	2.524982       	0.006312       	0.277259       	0.039742       	0.007711       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985413   	134.243020     	65.341649      	0.515020       	0.000000       	0.515020       	2.828144       	0.007070       	0.411156       	0.034366       	0.005475       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456332   	137.189833     	62.567387      	0.529080       	0.000000       	0.529080       	2.984294       	0.007461       	0.319049       	0.030020       	0.004453       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911444   	140.222588     	59.640170      	0.544888       	0.000000       	0.544888       	3.067817       	0.007670       	0.404288       	0.027393       	0.003939       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379455   	142.607183     	57.514827      	0.531990       	0.000000       	0.531990       	2.411894       	0.006030       	0.245438       	0.021269       	0.003015       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796819   	145.090622     	55.236208      	0.582636       	0.000000       	0.582636       	2.510205       	0.006276       	0.351049       	0.020491       	0.002872       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256656   	147.065989     	53.606070      	0.540163       	0.000000       	0.540163       	1.998863       	0.004997       	0.171438       	0.018498       	0.002781       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774032   	148.467656     	52.530086      	0.482624       	0.000000       	0.482624       	1.448868       	0.003622       	0.109741       	0.043579       	0.010511       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333636   	149.526699     	51.660285      	0.440396       	0.000000       	0.440396       	1.200380       	0.004273       	0.109816       	0.137065       	0.022381       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852730   	150.895157     	50.564271      	0.480907       	0.000000       	0.480907       	1.495420       	0.004916       	0.081500       	0.122046       	0.018183       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492773   	152.074113     	49.479037      	0.359957       	0.000000       	0.359957       	1.343044       	0.003450       	0.102147       	0.160638       	0.016590       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125414   	153.255086     	48.218957      	0.367359       	0.000000       	0.367359       	1.464300       	0.004112       	0.163138       	0.279215       	0.019195       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815717   	154.411237     	46.922754      	0.309697       	0.000000       	0.309697       	1.424166       	0.004605       	0.181734       	0.263410       	0.012978       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416165   	156.308592     	45.141092      	0.399553       	0.000000       	0.399553       	2.069054       	0.005181       	0.112161       	0.166518       	0.008872       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922297   	158.000559     	43.650671      	0.493867       	0.000000       	0.493867       	1.884677       	0.004848       	0.099611       	0.187863       	0.017372       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384668   	159.598763     	42.311490      	0.537629       	0.000000       	0.537629       	1.775028       	0.004525       	0.101782       	0.172298       	0.017795       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850152   	160.803640     	41.408387      	0.534516       	0.000000       	0.534516       	1.366118       	0.003526       	0.071501       	0.157715       	0.017320       	0.000000       	0.000000       	0.000000       	0.000000       
