DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	40.302130      	73.124939      	67.930922      	0.000000       	67.930922      	3.312440       	0.008281       	0.493544       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	43.760626      	70.271723      	0.836899       	0.000000       	0.836899       	3.469286       	0.008673       	0.220828       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	47.126555      	67.406727      	0.814482       	0.000000       	0.814482       	3.376404       	0.008441       	0.303075       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	50.293012      	64.729165      	0.776384       	0.000000       	0.776384       	3.176281       	0.007941       	0.277665       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	53.498810      	62.062359      	0.767723       	0.000000       	0.767723       	3.215473       	0.008039       	0.219056       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	57.108457      	58.885735      	0.800831       	0.000000       	0.800831       	3.620440       	0.009051       	0.357014       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	60.816737      	55.538729      	0.820015       	0.000000       	0.820015       	3.719388       	0.009298       	0.447632       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	78.199312      	83.149934      	0.844938       	0.000000       	0.844938       	6.149848       	0.015375       	0.833885       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	83.387926      	78.065750      	0.811370       	0.000000       	0.811370       	5.203472       	0.013009       	0.692083       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	87.921797      	73.557908      	0.777453       	0.000000       	0.777453       	4.547045       	0.011368       	0.738250       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	91.230707      	70.440370      	0.697294       	0.000000       	0.697294       	3.318851       	0.008297       	0.495982       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	95.210560      	66.710875      	0.721646       	0.000000       	0.721646       	3.991569       	0.009979       	0.459573       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	99.051342      	62.982762      	0.715250       	0.000000       	0.715250       	3.852159       	0.009630       	0.591204       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	102.595328     	59.647935      	0.699829       	0.000000       	0.699829       	3.554618       	0.008887       	0.480037       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	110.511475     	66.960632      	0.697677       	0.000000       	0.697677       	4.178368       	0.010446       	0.456611       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	114.132572     	63.477488      	0.668913       	0.000000       	0.668913       	3.631915       	0.009080       	0.520141       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	117.123145     	60.799563      	0.627063       	0.000000       	0.627063       	2.999736       	0.007499       	0.305252       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	120.121503     	57.959003      	0.616072       	0.000000       	0.616072       	3.007540       	0.007519       	0.449092       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	122.983171     	55.206470      	0.602324       	0.000000       	0.602324       	2.870501       	0.007176       	0.484357       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	125.706006     	52.700693      	0.590325       	0.000000       	0.590325       	2.731314       	0.006828       	0.364787       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	127.565780     	51.264248      	0.572370       	0.000000       	0.572370       	1.867210       	0.004668       	0.141605       	0.002768       	0.000690       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	159.691997     	139.353414     	0.453936       	0.000000       	0.453936       	2.170518       	0.005426       	0.194252       	0.038874       	0.011659       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	162.596693     	136.677585     	0.462768       	0.000000       	0.462768       	2.945614       	0.007364       	0.192983       	0.033555       	0.008530       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	165.777891     	133.781839     	0.467062       	0.000000       	0.467062       	3.226305       	0.008066       	0.136504       	0.037040       	0.009930       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	170.430431     	129.214656     	0.530737       	0.000000       	0.530737       	4.707748       	0.011769       	0.390172       	0.043439       	0.010618       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437529   	176.643158     	122.928446     	0.609287       	0.000000       	0.609287       	6.280108       	0.015700       	0.615388       	0.051681       	0.012053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974721   	179.332415     	120.334488     	0.462807       	0.000000       	0.462807       	2.778258       	0.006964       	0.278508       	0.082038       	0.015866       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500256   	182.428462     	117.434585     	0.474466       	0.000000       	0.474466       	3.148447       	0.007871       	0.225921       	0.044529       	0.011236       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000344   	215.144089     	189.489476     	0.499911       	0.000000       	0.499911       	6.528818       	0.016322       	0.666203       	0.046869       	0.011529       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500436   	222.023288     	182.202346     	0.499908       	0.000000       	0.499908       	6.945180       	0.017363       	0.841858       	0.048618       	0.011751       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985417   	229.779610     	173.651846     	0.515019       	0.000000       	0.515019       	7.817769       	0.019544       	1.247749       	0.041903       	0.008312       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456338   	237.959116     	164.976583     	0.529080       	0.000000       	0.529080       	8.236569       	0.020591       	0.967774       	0.036471       	0.006735       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911451   	246.338876     	155.861630     	0.544887       	0.000000       	0.544887       	8.434011       	0.021085       	1.225828       	0.033167       	0.005937       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379462   	252.753162     	149.194241     	0.531989       	0.000000       	0.531989       	6.456022       	0.016140       	0.743355       	0.025597       	0.004522       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796827   	259.426451     	142.001325     	0.582635       	0.000000       	0.582635       	6.714687       	0.016787       	1.060864       	0.024611       	0.004296       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256665   	264.589139     	136.826460     	0.540162       	0.000000       	0.540162       	5.197921       	0.012995       	0.517106       	0.022239       	0.004246       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774041   	268.171877     	133.331209     	0.482624       	0.000000       	0.482624       	3.647071       	0.009118       	0.330804       	0.055214       	0.017755       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333647   	271.074731     	130.343603     	0.440394       	0.000000       	0.440394       	3.097195       	0.008252       	0.330805       	0.186088       	0.043351       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852742   	274.836155     	126.641343     	0.480905       	0.000000       	0.480905       	3.938031       	0.010226       	0.245133       	0.166381       	0.035557       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492786   	278.124821     	123.165323     	0.359956       	0.000000       	0.359956       	3.529039       	0.008833       	0.306937       	0.231541       	0.036477       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125429   	281.704056     	119.044523     	0.367358       	0.000000       	0.367358       	3.998528       	0.010093       	0.489629       	0.409200       	0.043666       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815733   	285.243152     	114.856998     	0.309696       	0.000000       	0.309696       	3.952752       	0.010052       	0.544469       	0.403604       	0.033009       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416181   	299.295318     	130.509716     	0.399552       	0.000000       	0.399552       	6.830104       	0.017076       	0.416730       	0.260862       	0.024861       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922316   	305.183895     	124.437239     	0.493865       	0.000000       	0.493865       	6.196766       	0.015500       	0.369577       	0.292690       	0.043967       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384690   	310.692111     	118.806603     	0.537626       	0.000000       	0.537626       	5.791171       	0.014483       	0.377091       	0.268472       	0.044613       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850177   	314.790333     	114.719577     	0.534513       	0.000000       	0.534513       	4.357833       	0.010907       	0.263706       	0.248704       	0.044909       	0.000000       	0.000000       	0.000000       	0.000000       
