DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	61.385673      	126.629026     	67.930922      	0.000000       	67.930922      	5.651831       	0.014130       	0.900065       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	67.287947      	121.144213     	0.836899       	0.000000       	0.836899       	5.919190       	0.014798       	0.402522       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	73.006851      	115.671186     	0.814482       	0.000000       	0.814482       	5.735275       	0.014338       	0.552234       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	78.352479      	110.580843     	0.776384       	0.000000       	0.776384       	5.360914       	0.013402       	0.505813       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	83.754656      	105.532237     	0.767723       	0.000000       	0.767723       	5.417356       	0.013543       	0.398972       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	89.861168      	99.559381      	0.800831       	0.000000       	0.800831       	6.123563       	0.015309       	0.650123       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	96.118574      	93.289493      	0.820015       	0.000000       	0.820015       	6.274902       	0.015687       	0.815001       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	120.624133     	128.257002     	0.844938       	0.000000       	0.844938       	9.531286       	0.023828       	1.346144       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	128.604044     	119.949458     	0.811370       	0.000000       	0.811370       	8.001765       	0.020004       	1.117149       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	135.528818     	112.591380     	0.777453       	0.000000       	0.777453       	6.943940       	0.017360       	1.191592       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	140.502110     	107.500758     	0.697294       	0.000000       	0.697294       	4.987404       	0.012469       	0.800512       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	146.539610     	101.426330     	0.721646       	0.000000       	0.721646       	6.054373       	0.015136       	0.741701       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	152.348194     	95.362661      	0.715250       	0.000000       	0.715250       	5.824893       	0.014562       	0.954027       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	157.677926     	89.943074      	0.699829       	0.000000       	0.699829       	5.344839       	0.013362       	0.774577       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	162.950564     	84.753084      	0.697677       	0.000000       	0.697677       	5.287633       	0.013219       	0.600034       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	167.511409     	80.164481      	0.668913       	0.000000       	0.668913       	4.574018       	0.011435       	0.683497       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	171.252654     	76.638144      	0.627063       	0.000000       	0.627063       	3.752290       	0.009381       	0.401110       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	175.004895     	72.900796      	0.616072       	0.000000       	0.616072       	3.763312       	0.009408       	0.590108       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	178.579293     	69.281669      	0.602324       	0.000000       	0.602324       	3.585017       	0.008963       	0.636435       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	181.972671     	65.989136      	0.590325       	0.000000       	0.590325       	3.403539       	0.008509       	0.479319       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	184.251095     	64.088538      	0.572370       	0.000000       	0.572370       	2.287095       	0.005718       	0.185874       	0.002953       	0.000892       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	189.209576     	74.442157      	0.453936       	0.000000       	0.453936       	1.253848       	0.003135       	0.096469       	0.042232       	0.013800       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	190.793805     	73.184199      	0.462767       	0.000000       	0.462767       	1.624857       	0.004062       	0.095868       	0.036566       	0.010132       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	192.509878     	71.822663      	0.467062       	0.000000       	0.467062       	1.760757       	0.004402       	0.067842       	0.040282       	0.011720       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	194.956204     	69.659534      	0.530737       	0.000000       	0.530737       	2.499874       	0.006250       	0.193992       	0.047298       	0.012566       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437529   	198.185364     	66.668953      	0.609287       	0.000000       	0.609287       	3.293724       	0.008234       	0.306144       	0.056330       	0.014318       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974722   	199.634704     	65.450352      	0.462807       	0.000000       	0.462807       	1.542729       	0.003862       	0.138679       	0.089527       	0.018554       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500257   	201.296325     	64.097975      	0.474466       	0.000000       	0.474466       	1.714308       	0.004286       	0.112536       	0.048401       	0.013146       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000346   	211.567761     	83.997429      	0.499911       	0.000000       	0.499911       	2.829516       	0.007074       	0.270941       	0.051006       	0.013533       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500438   	214.508623     	81.153531      	0.499908       	0.000000       	0.499908       	3.001379       	0.007503       	0.342426       	0.053013       	0.013899       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985419   	217.815671     	77.799479      	0.515019       	0.000000       	0.515019       	3.361357       	0.008403       	0.507714       	0.045906       	0.009973       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456340   	221.305709     	74.395781      	0.529079       	0.000000       	0.529079       	3.538857       	0.008847       	0.393921       	0.039972       	0.008126       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911454   	224.886948     	70.814926      	0.544886       	0.000000       	0.544886       	3.626636       	0.009067       	0.499105       	0.036330       	0.007175       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379465   	227.675162     	68.220767      	0.531988       	0.000000       	0.531988       	2.823253       	0.007058       	0.302894       	0.027982       	0.005465       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796831   	230.572597     	65.438818      	0.582635       	0.000000       	0.582635       	2.931652       	0.007329       	0.432931       	0.026888       	0.005191       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256669   	232.855874     	63.454536      	0.540161       	0.000000       	0.540161       	2.313135       	0.005783       	0.211309       	0.024075       	0.004911       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774046   	234.467192     	62.129761      	0.482623       	0.000000       	0.482623       	1.672153       	0.004180       	0.135245       	0.056655       	0.017661       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333652   	235.653626     	61.062289      	0.440394       	0.000000       	0.440394       	1.372546       	0.003815       	0.135319       	0.182297       	0.039489       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852747   	237.192780     	59.734988      	0.480905       	0.000000       	0.480905       	1.707815       	0.004565       	0.100391       	0.164095       	0.032833       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492791   	238.480930     	58.456841      	0.359956       	0.000000       	0.359956       	1.512291       	0.003790       	0.125812       	0.220351       	0.030503       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125433   	239.806992     	56.911801      	0.367358       	0.000000       	0.367358       	1.711518       	0.004368       	0.200879       	0.381088       	0.035432       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815737   	241.141497     	55.294590      	0.309696       	0.000000       	0.309696       	1.703241       	0.004392       	0.223666       	0.364343       	0.024901       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416186   	243.299340     	53.159140      	0.399552       	0.000000       	0.399552       	2.397063       	0.005994       	0.137939       	0.233227       	0.017626       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922320   	245.209354     	51.349422      	0.493866       	0.000000       	0.493866       	2.181130       	0.005463       	0.122455       	0.265652       	0.034841       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384693   	246.999191     	49.722923      	0.537626       	0.000000       	0.537626       	2.039052       	0.005106       	0.125073       	0.244110       	0.035705       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850180   	248.321578     	48.620839      	0.534513       	0.000000       	0.534513       	1.548823       	0.003889       	0.087774       	0.222547       	0.034571       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354563   	249.436776     	47.657702      	0.495617       	0.000000       	0.495617       	1.312167       	0.003291       	0.146586       	0.193678       	0.031215       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880791   	250.318636     	46.904077      	0.473772       	0.000000       	0.473772       	1.145906       	0.003080       	0.081492       	0.260966       	0.039262       	0.000000       	0.000000       	0.000000       	0.000000       
