DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	40.302130      	73.124939      	67.930922      	0.000000       	67.930922      	3.312440       	0.008281       	0.493544       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	43.760626      	70.271723      	0.836899       	0.000000       	0.836899       	3.469286       	0.008673       	0.220828       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	47.126555      	67.406727      	0.814482       	0.000000       	0.814482       	3.376404       	0.008441       	0.303075       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	50.293012      	64.729165      	0.776384       	0.000000       	0.776384       	3.176281       	0.007941       	0.277665       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	53.498810      	62.062359      	0.767723       	0.000000       	0.767723       	3.215473       	0.008039       	0.219056       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	57.108457      	58.885735      	0.800831       	0.000000       	0.800831       	3.620440       	0.009051       	0.357014       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	60.816737      	55.538729      	0.820015       	0.000000       	0.820015       	3.719388       	0.009298       	0.447632       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	69.150515      	62.437829      	0.844938       	0.000000       	0.844938       	4.597170       	0.011493       	0.598668       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	73.057429      	58.833738      	0.811370       	0.000000       	0.811370       	3.918559       	0.009796       	0.496902       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	76.493450      	55.634663      	0.777453       	0.000000       	0.777453       	3.446443       	0.008616       	0.530086       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	79.038108      	53.423125      	0.697294       	0.000000       	0.697294       	2.552683       	0.006382       	0.356149       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	82.073123      	50.770381      	0.721646       	0.000000       	0.721646       	3.044363       	0.007611       	0.330026       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	85.010311      	48.114727      	0.715250       	0.000000       	0.715250       	2.946300       	0.007366       	0.424605       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	87.734279      	45.737217      	0.699829       	0.000000       	0.699829       	2.732545       	0.006831       	0.344793       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	116.860744     	106.514592     	0.697677       	0.000000       	0.697677       	6.644853       	0.016612       	0.775450       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	122.571723     	100.573182     	0.668913       	0.000000       	0.668913       	5.727036       	0.014318       	0.883287       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	127.232117     	96.008162      	0.627063       	0.000000       	0.627063       	4.673742       	0.011684       	0.518341       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	131.907987     	91.172428      	0.616072       	0.000000       	0.616072       	4.689256       	0.011723       	0.762550       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	136.356491     	86.491062      	0.602324       	0.000000       	0.602324       	4.461313       	0.011153       	0.822377       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	140.573599     	82.232734      	0.590325       	0.000000       	0.590325       	4.229333       	0.010573       	0.619320       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	143.367934     	79.760952      	0.572370       	0.000000       	0.572370       	2.804178       	0.007010       	0.239975       	0.002831       	0.000756       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	152.458481     	100.945813     	0.453936       	0.000000       	0.453936       	1.632674       	0.004082       	0.136401       	0.038046       	0.011147       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	154.589391     	99.103905      	0.462768       	0.000000       	0.462768       	2.169148       	0.005423       	0.135527       	0.032814       	0.008141       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	156.912040     	97.110334      	0.467062       	0.000000       	0.467062       	2.364752       	0.005912       	0.095882       	0.036191       	0.009453       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	160.270714     	93.957296      	0.530737       	0.000000       	0.530737       	3.409669       	0.008524       	0.274107       	0.042471       	0.010130       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437529   	164.733282     	89.609717      	0.609287       	0.000000       	0.609287       	4.524435       	0.011311       	0.432431       	0.050556       	0.011523       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974721   	166.697063     	87.828170      	0.462807       	0.000000       	0.462807       	2.048574       	0.005139       	0.195781       	0.079653       	0.014873       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500255   	168.952101     	85.839748      	0.474466       	0.000000       	0.474466       	2.304050       	0.005760       	0.158839       	0.043252       	0.010552       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000344   	171.697332     	83.275334      	0.499911       	0.000000       	0.499911       	2.797725       	0.006994       	0.266601       	0.045499       	0.010798       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500436   	174.611456     	80.469491      	0.499908       	0.000000       	0.499908       	2.968839       	0.007422       	0.336912       	0.047292       	0.011091       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985417   	177.889062     	77.158250      	0.515019       	0.000000       	0.515019       	3.326702       	0.008317       	0.499559       	0.040780       	0.007850       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456337   	181.350389     	73.794119      	0.529080       	0.000000       	0.529080       	3.505598       	0.008764       	0.387612       	0.035507       	0.006364       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911450   	184.905753     	70.251216      	0.544887       	0.000000       	0.544887       	3.596658       	0.008992       	0.491133       	0.032302       	0.005611       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379461   	187.679231     	67.679668      	0.531989       	0.000000       	0.531989       	2.805438       	0.007014       	0.298099       	0.024946       	0.004276       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796826   	190.564746     	64.919323      	0.582635       	0.000000       	0.582635       	2.916797       	0.007292       	0.426183       	0.023990       	0.004063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256664   	192.842635     	62.946222      	0.540162       	0.000000       	0.540162       	2.305210       	0.005763       	0.208054       	0.021557       	0.003886       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774040   	194.450315     	61.632733      	0.482624       	0.000000       	0.482624       	1.662958       	0.004157       	0.133155       	0.051120       	0.014505       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333646   	195.654315     	60.568712      	0.440394       	0.000000       	0.440394       	1.371191       	0.004147       	0.133224       	0.163045       	0.031882       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852740   	197.213265     	59.241030      	0.480906       	0.000000       	0.480906       	1.709744       	0.004870       	0.098844       	0.145923       	0.026207       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492784   	198.567501     	57.924267      	0.359956       	0.000000       	0.359956       	1.552862       	0.003908       	0.123858       	0.194718       	0.024320       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125426   	199.950064     	56.368451      	0.367358       	0.000000       	0.367358       	1.725427       	0.004499       	0.197748       	0.338365       	0.028220       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815729   	201.314805     	54.766393      	0.309696       	0.000000       	0.309696       	1.691562       	0.004608       	0.220192       	0.322212       	0.019568       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416177   	207.880336     	63.209478      	0.399552       	0.000000       	0.399552       	3.029855       	0.007577       	0.176612       	0.206748       	0.014064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922311   	210.395830     	60.791255      	0.493866       	0.000000       	0.493866       	2.755341       	0.006920       	0.156748       	0.232928       	0.026938       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384684   	212.757338     	58.587335      	0.537627       	0.000000       	0.537627       	2.581488       	0.006476       	0.160059       	0.213504       	0.027494       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850170   	214.515534     	57.050310      	0.534514       	0.000000       	0.534514       	1.959365       	0.004934       	0.112174       	0.196234       	0.027071       	0.000000       	0.000000       	0.000000       	0.000000       
