DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	40.302130      	73.124939      	67.930922      	0.000000       	67.930922      	3.312440       	0.008281       	0.493544       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	43.760626      	70.271723      	0.836899       	0.000000       	0.836899       	3.469286       	0.008673       	0.220828       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	47.126555      	67.406727      	0.814482       	0.000000       	0.814482       	3.376404       	0.008441       	0.303075       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	50.293012      	64.729165      	0.776384       	0.000000       	0.776384       	3.176281       	0.007941       	0.277665       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	53.498810      	62.062359      	0.767723       	0.000000       	0.767723       	3.215473       	0.008039       	0.219056       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	57.108457      	58.885735      	0.800831       	0.000000       	0.800831       	3.620440       	0.009051       	0.357014       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	60.816737      	55.538729      	0.820015       	0.000000       	0.820015       	3.719388       	0.009298       	0.447632       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	96.296903      	124.574144     	0.844938       	0.000000       	0.844938       	9.255203       	0.023138       	1.304320       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	104.048918     	116.529774     	0.811370       	0.000000       	0.811370       	7.773297       	0.019433       	1.082443       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	110.778490     	109.404402     	0.777453       	0.000000       	0.777453       	6.748248       	0.016871       	1.154577       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	115.615902     	104.474865     	0.697294       	0.000000       	0.697294       	4.851184       	0.012128       	0.775647       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	121.485426     	98.591870      	0.721646       	0.000000       	0.721646       	5.885976       	0.014715       	0.718666       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	127.133390     	92.718847      	0.715250       	0.000000       	0.715250       	5.663871       	0.014160       	0.924402       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	132.317400     	87.469397      	0.699829       	0.000000       	0.699829       	5.198753       	0.012997       	0.750527       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	141.850211     	92.951866      	0.697677       	0.000000       	0.697677       	5.799085       	0.014498       	0.666123       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	146.844538     	87.853424      	0.668913       	0.000000       	0.668913       	5.008587       	0.012521       	0.758768       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	150.932293     	83.935544      	0.627063       	0.000000       	0.627063       	4.099668       	0.010249       	0.445275       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	155.032843     	79.784051      	0.616072       	0.000000       	0.616072       	4.112494       	0.010281       	0.655070       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	158.937054     	75.764243      	0.602324       	0.000000       	0.602324       	3.915655       	0.009789       	0.706477       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	162.641503     	72.107129      	0.590325       	0.000000       	0.590325       	3.715390       	0.009288       	0.532049       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	165.115004     	69.990640      	0.572370       	0.000000       	0.572370       	2.482611       	0.006207       	0.206248       	0.002904       	0.000835       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	177.967388     	102.408458     	0.453936       	0.000000       	0.453936       	1.647522       	0.004119       	0.138596       	0.041019       	0.013015       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	180.118779     	100.541186     	0.462767       	0.000000       	0.462767       	2.192333       	0.005481       	0.137707       	0.035462       	0.009538       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	182.464273     	98.520258      	0.467062       	0.000000       	0.467062       	2.390567       	0.005976       	0.097423       	0.039096       	0.011059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	185.858768     	95.323486      	0.530737       	0.000000       	0.530737       	3.448999       	0.008622       	0.278510       	0.045880       	0.011842       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437529   	190.370568     	90.915536      	0.609287       	0.000000       	0.609287       	4.577864       	0.011445       	0.439373       	0.054620       	0.013474       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974722   	192.352555     	89.105460      	0.462807       	0.000000       	0.462807       	2.073963       	0.005194       	0.198920       	0.086783       	0.017558       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500256   	194.630157     	87.088125      	0.474466       	0.000000       	0.474466       	2.330415       	0.005826       	0.161385       	0.046987       	0.012440       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000345   	201.536119     	95.312699      	0.499911       	0.000000       	0.499911       	3.213457       	0.008034       	0.311881       	0.049461       	0.012757       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500438   	204.887179     	92.007484      	0.499908       	0.000000       	0.499908       	3.410989       	0.008527       	0.394133       	0.051402       	0.013098       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985419   	208.657846     	88.113506      	0.515019       	0.000000       	0.515019       	3.824654       	0.009562       	0.584343       	0.044425       	0.009344       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456339   	212.637083     	84.161250      	0.529079       	0.000000       	0.529079       	4.027980       	0.010070       	0.453355       	0.038672       	0.007596       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911453   	216.719772     	80.003587      	0.544886       	0.000000       	0.544886       	4.128162       	0.010320       	0.574389       	0.035153       	0.006702       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379464   	219.888090     	76.983601      	0.531989       	0.000000       	0.531989       	3.203420       	0.008009       	0.348554       	0.027093       	0.005104       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796829   	223.182303     	73.739563      	0.582635       	0.000000       	0.582635       	3.328574       	0.008321       	0.498100       	0.026039       	0.004848       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256668   	229.943914     	82.198568      	0.540162       	0.000000       	0.540162       	3.042579       	0.007606       	0.288577       	0.023361       	0.004625       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774044   	232.054650     	80.324829      	0.482624       	0.000000       	0.482624       	2.171708       	0.005429       	0.184655       	0.055544       	0.017152       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333650   	233.680245     	78.770255      	0.440394       	0.000000       	0.440394       	1.810259       	0.004982       	0.184708       	0.179681       	0.038775       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852745   	235.787646     	76.839367      	0.480905       	0.000000       	0.480905       	2.274830       	0.006041       	0.136963       	0.161388       	0.032105       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492789   	237.608011     	74.984392      	0.359956       	0.000000       	0.359956       	2.043360       	0.005120       	0.171571       	0.217875       	0.030398       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125431   	239.529309     	72.772023      	0.367358       	0.000000       	0.367358       	2.305908       	0.005875       	0.273819       	0.378736       	0.035545       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815735   	241.435936     	70.500168      	0.309696       	0.000000       	0.309696       	2.276844       	0.005893       	0.304706       	0.364324       	0.025348       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416184   	244.412463     	67.494476      	0.399552       	0.000000       	0.399552       	3.217491       	0.008045       	0.187753       	0.232919       	0.017995       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922318   	247.065270     	64.897154      	0.493866       	0.000000       	0.493866       	2.924595       	0.007324       	0.166592       	0.264464       	0.034814       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384691   	249.550371     	62.529886      	0.537626       	0.000000       	0.537626       	2.734827       	0.006846       	0.170067       	0.242880       	0.035613       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850178   	251.396613     	60.871474      	0.534513       	0.000000       	0.534513       	2.073713       	0.005203       	0.119212       	0.222268       	0.034721       	0.000000       	0.000000       	0.000000       	0.000000       
