DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	69.819090      	148.030661     	67.930922      	0.000000       	67.930922      	6.587588       	0.016469       	1.062673       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	76.698876      	141.493210     	0.836899       	0.000000       	0.836899       	6.899151       	0.017248       	0.475200       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	83.358969      	134.976970     	0.814482       	0.000000       	0.814482       	6.678823       	0.016697       	0.651898       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	89.576266      	128.921514     	0.776384       	0.000000       	0.776384       	6.234768       	0.015587       	0.597072       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	95.856994      	122.920189     	0.767723       	0.000000       	0.767723       	6.298110       	0.015745       	0.470939       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	102.962253     	115.828840     	0.800831       	0.000000       	0.800831       	7.124812       	0.017812       	0.767367       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	110.239308     	108.389799     	0.820015       	0.000000       	0.820015       	7.297108       	0.018243       	0.961948       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	144.833098     	162.869513     	0.844938       	0.000000       	0.844938       	12.126003      	0.030315       	1.739221       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	154.954889     	152.088550     	0.811370       	0.000000       	0.811370       	10.149013      	0.025373       	1.443320       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	163.714305     	142.543364     	0.777453       	0.000000       	0.777453       	8.783180       	0.021958       	1.539459       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	169.964753     	135.938709     	0.697294       	0.000000       	0.697294       	6.267760       	0.015669       	1.034190       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	177.581183     	128.064904     	0.721646       	0.000000       	0.721646       	7.637261       	0.019093       	0.958190       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	184.899766     	120.209043     	0.715250       	0.000000       	0.715250       	7.338676       	0.018347       	1.232435       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	191.599814     	113.189694     	0.699829       	0.000000       	0.699829       	6.718590       	0.016796       	1.000588       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	215.838339     	148.509944     	0.697677       	0.000000       	0.697677       	9.263459       	0.023159       	1.113968       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	223.768008     	139.958721     	0.668913       	0.000000       	0.668913       	7.951286       	0.019878       	1.268850       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	230.201024     	133.390393     	0.627063       	0.000000       	0.627063       	6.450806       	0.016127       	0.744585       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	236.657518     	126.436758     	0.616072       	0.000000       	0.616072       	6.474344       	0.016186       	1.095363       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	242.790128     	119.708165     	0.602324       	0.000000       	0.602324       	6.149640       	0.015374       	1.181276       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	248.592688     	113.590147     	0.590325       	0.000000       	0.590325       	5.818758       	0.014547       	0.889585       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	252.378040     	110.020175     	0.572370       	0.000000       	0.572370       	3.797913       	0.009495       	0.344430       	0.003066       	0.001026       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	257.956311     	119.678479     	0.453936       	0.000000       	0.453936       	1.881035       	0.004703       	0.164596       	0.048061       	0.017712       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	260.440907     	117.444595     	0.462767       	0.000000       	0.462767       	2.533122       	0.006333       	0.163530       	0.042194       	0.013289       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	263.155934     	115.027641     	0.467062       	0.000000       	0.467062       	2.768336       	0.006921       	0.115680       	0.046388       	0.015311       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	267.109112     	111.209869     	0.530737       	0.000000       	0.530737       	4.017833       	0.010045       	0.330676       	0.054611       	0.016485       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437530   	272.376431     	105.951795     	0.609287       	0.000000       	0.609287       	5.345757       	0.013364       	0.521603       	0.065074       	0.018803       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974723   	274.664439     	103.779216     	0.462807       	0.000000       	0.462807       	2.399283       	0.006000       	0.236103       	0.105275       	0.025196       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500258   	277.303398     	101.359873     	0.474465       	0.000000       	0.474465       	2.702273       	0.006756       	0.191535       	0.056558       	0.017748       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000348   	284.661214     	109.070729     	0.499910       	0.000000       	0.499910       	3.676592       	0.009191       	0.362462       	0.059585       	0.018243       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500441   	288.493069     	105.209030     	0.499907       	0.000000       	0.499907       	3.903571       	0.009759       	0.458035       	0.061957       	0.018763       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985423   	292.807366     	100.665599     	0.515018       	0.000000       	0.515018       	4.379412       	0.010949       	0.679038       	0.054165       	0.013845       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456345   	297.358121     	96.058365      	0.529078       	0.000000       	0.529078       	4.609521       	0.011524       	0.526792       	0.047242       	0.011407       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911460   	302.022248     	91.217000      	0.544885       	0.000000       	0.544885       	4.718852       	0.011797       	0.667398       	0.042928       	0.010118       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379472   	305.624218     	87.699979      	0.531988       	0.000000       	0.531988       	3.644066       	0.009110       	0.404942       	0.032985       	0.007715       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796838   	309.365751     	83.921412      	0.582634       	0.000000       	0.582634       	3.782671       	0.009457       	0.578529       	0.031682       	0.007337       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256678   	316.463150     	91.999710      	0.540161       	0.000000       	0.540161       	3.384102       	0.008460       	0.327761       	0.028242       	0.006847       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774055   	318.801834     	89.862541      	0.482623       	0.000000       	0.482623       	2.410081       	0.006025       	0.209712       	0.065372       	0.023131       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333662   	320.597227     	88.078187      	0.440393       	0.000000       	0.440393       	2.014991       	0.005157       	0.209755       	0.214440       	0.053301       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852758   	322.935549     	85.863735      	0.480904       	0.000000       	0.480904       	2.539842       	0.006433       	0.155514       	0.195087       	0.045197       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492802   	324.900601     	83.793505      	0.359956       	0.000000       	0.359956       	2.235383       	0.005590       	0.194803       	0.264740       	0.042185       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125445   	326.995932     	81.294402      	0.367357       	0.000000       	0.367357       	2.555588       	0.006421       	0.310872       	0.453836       	0.049444       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815749   	329.117508     	78.691744      	0.309696       	0.000000       	0.309696       	2.566476       	0.006459       	0.345878       	0.438441       	0.036043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416198   	341.174049     	96.440690      	0.399552       	0.000000       	0.399552       	4.855931       	0.012140       	0.294674       	0.287250       	0.027155       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922333   	345.242541     	92.265749      	0.493865       	0.000000       	0.493865       	4.407406       	0.011021       	0.261401       	0.327894       	0.052759       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384707   	349.044480     	88.422085      	0.537625       	0.000000       	0.537625       	4.114503       	0.010288       	0.266787       	0.302275       	0.054189       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850195   	351.856166     	85.672770      	0.534512       	0.000000       	0.534512       	3.097146       	0.007748       	0.186681       	0.277712       	0.053578       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354579   	354.225270     	83.241152      	0.495616       	0.000000       	0.495616       	2.615611       	0.006543       	0.311624       	0.239964       	0.047693       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880808   	356.180175     	81.258897      	0.473771       	0.000000       	0.473771       	2.283115       	0.005785       	0.172910       	0.322425       	0.060071       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15568.468044   	357.517277     	79.825050      	0.412764       	0.000000       	0.412764       	1.739097       	0.004636       	0.107514       	0.397360       	0.057502       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15568.073381   	359.007552     	78.133748      	0.394663       	0.000000       	0.394663       	1.939059       	0.005381       	0.146906       	0.443402       	0.043701       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15567.666516   	360.511381     	76.565987      	0.406864       	0.000000       	0.406864       	1.878245       	0.004709       	0.096381       	0.369706       	0.041231       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15567.207321   	362.590155     	74.387007      	0.459196       	0.000000       	0.459196       	2.424268       	0.006076       	0.213908       	0.339419       	0.047404       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15566.714270   	365.161667     	71.624858      	0.493050       	0.000000       	0.493050       	2.886505       	0.007224       	0.368694       	0.307768       	0.050987       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15566.208705   	367.965842     	68.793681      	0.505565       	0.000000       	0.505565       	3.093303       	0.007743       	0.243439       	0.281385       	0.050750       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15565.697017   	370.747934     	65.928126      	0.511688       	0.000000       	0.511688       	3.052222       	0.007641       	0.325021       	0.262490       	0.050401       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15565.180561   	373.445601     	63.016063      	0.516456       	0.000000       	0.516456       	2.955824       	0.007400       	0.472695       	0.250756       	0.049158       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15564.653154   	389.490692     	91.341857      	0.527407       	0.000000       	0.527407       	5.055593       	0.012650       	0.896020       	0.247852       	0.048658       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15564.087307   	394.726893     	85.779206      	0.565847       	0.000000       	0.565847       	5.505367       	0.013768       	0.623131       	0.255397       	0.050038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15563.516143   	399.472398     	80.887229      	0.571164       	0.000000       	0.571164       	5.013627       	0.012541       	0.449513       	0.255583       	0.049572       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15562.925587   	404.017599     	76.152675      	0.590556       	0.000000       	0.590556       	4.813587       	0.012042       	0.511523       	0.256343       	0.049396       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15562.336478   	408.011580     	72.054511      	0.589109       	0.000000       	0.589109       	4.257811       	0.010655       	0.429462       	0.253175       	0.048389       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15561.700998   	412.226650     	67.634530      	0.635481       	0.000000       	0.635481       	4.485035       	0.011226       	0.570427       	0.258738       	0.049366       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15561.018272   	416.558408     	62.938540      	0.682725       	0.000000       	0.682725       	4.612403       	0.011548       	0.766313       	0.269097       	0.051127       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15560.287312   	419.973601     	59.612217      	0.730960       	0.000000       	0.730960       	3.690788       	0.009249       	0.366495       	0.266346       	0.050121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15559.589398   	423.143242     	56.585512      	0.697915       	0.000000       	0.697915       	3.443048       	0.008635       	0.281571       	0.264772       	0.049646       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15558.906879   	426.130329     	53.577288      	0.682519       	0.000000       	0.682519       	3.260891       	0.008186       	0.429852       	0.265618       	0.049626       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	15558.231984   	428.851296     	50.967731      	0.674895       	0.000000       	0.674895       	2.994504       	0.007528       	0.289948       	0.266010       	0.049519       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	15557.561219   	431.205894     	48.615604      	0.670765       	0.000000       	0.670765       	2.624732       	0.006613       	0.398160       	0.263521       	0.048854       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	15556.932943   	432.748106     	47.280266      	0.628276       	0.000000       	0.628276       	1.793498       	0.004546       	0.170116       	0.246740       	0.045368       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	15556.299434   	434.465737     	45.625309      	0.633509       	0.000000       	0.633509       	1.966075       	0.004989       	0.322391       	0.243455       	0.044947       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	15555.649119   	450.867535     	73.796039      	0.650315       	0.000000       	0.650315       	5.414630       	0.013625       	0.814954       	0.249207       	0.046063       	0.000000       	0.000000       	0.000000       	0.000000       
