DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15580.506456   	57.896937      	116.097397     	83.844644      	0.000000       	83.844644      	9.674028       	0.024185       	0.823219       	0.002906       	0.000153       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15579.425807   	66.891036      	107.131152     	1.080649       	0.000000       	1.080649       	9.019347       	0.022548       	1.027547       	0.002699       	0.000127       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15578.384615   	73.824265      	100.510340     	1.041192       	0.000000       	1.041192       	6.952983       	0.017382       	0.709021       	0.002372       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15577.361942   	79.310606      	95.580830      	1.022673       	0.000000       	1.022673       	5.532008       	0.013830       	0.420175       	0.031837       	0.007147       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15576.349079   	84.643854      	90.792466      	1.012864       	0.000000       	1.012864       	5.387617       	0.013469       	0.413610       	0.040900       	0.009105       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15575.563974   	87.852202      	87.966888      	0.785105       	0.000000       	0.785105       	3.410703       	0.008951       	0.199980       	0.193404       	0.017597       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15574.740251   	91.419726      	84.936150      	0.823722       	0.000000       	0.823722       	3.714123       	0.009368       	0.140337       	0.137232       	0.015240       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15573.996118   	94.401838      	82.431898      	0.744133       	0.000000       	0.744133       	3.052208       	0.007631       	0.196177       	0.062466       	0.007990       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15573.332477   	96.864505      	80.287324      	0.663641       	0.000000       	0.663641       	2.520856       	0.006302       	0.287359       	0.051887       	0.006459       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15572.693870   	99.507364      	77.847646      	0.638607       	0.000000       	0.638607       	2.700614       	0.006752       	0.377670       	0.051003       	0.006249       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15572.094171   	101.980004     	75.522240      	0.599699       	0.000000       	0.599699       	2.520374       	0.006301       	0.404732       	0.041433       	0.004311       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15571.513164   	104.426666     	73.288380      	0.581007       	0.000000       	0.581007       	2.489377       	0.006223       	0.325490       	0.036491       	0.003624       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15570.949502   	106.786354     	71.135544      	0.563662       	0.000000       	0.563662       	2.398142       	0.005995       	0.318357       	0.032458       	0.003119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15570.429892   	108.676372     	69.456513      	0.519610       	0.000000       	0.519610       	1.921710       	0.004804       	0.276930       	0.026888       	0.002479       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15569.801373   	131.947913     	121.434754     	0.628519       	0.000000       	0.628519       	4.569385       	0.011423       	0.330893       	0.036422       	0.005551       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15569.230529   	135.325455     	118.404544     	0.570844       	0.000000       	0.570844       	3.427160       	0.008568       	0.173893       	0.041049       	0.007699       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15568.661348   	138.717487     	115.338494     	0.569181       	0.000000       	0.569181       	3.445530       	0.008614       	0.189701       	0.044885       	0.008914       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15568.144805   	141.462555     	112.790766     	0.516542       	0.000000       	0.516542       	2.836937       	0.007092       	0.227334       	0.084776       	0.013311       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15567.580747   	145.162792     	109.194837     	0.564059       	0.000000       	0.564059       	3.780998       	0.009452       	0.378990       	0.071309       	0.010815       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15566.981052   	149.534362     	104.708451     	0.599695       	0.000000       	0.599695       	4.455115       	0.011138       	0.630966       	0.072407       	0.010957       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15566.344715   	154.723073     	99.491348      	0.636337       	0.000000       	0.636337       	5.277024       	0.013193       	0.576415       	0.075121       	0.010284       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15565.721013   	159.601496     	94.498283      	0.623702       	0.000000       	0.623702       	4.956632       	0.012392       	0.660135       	0.065817       	0.007603       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15565.101288   	164.114737     	89.950053      	0.619725       	0.000000       	0.619725       	4.583980       	0.011460       	0.583976       	0.059279       	0.006391       	0.000000       	0.000000       	0.000000       	0.000000       
