DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15599.968039   	54.588972      	99.856317      	64.383061      	0.000000       	64.383061      	6.357155       	0.015893       	0.919590       	0.002290       	0.000110       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15599.052276   	60.330196      	94.379263      	0.915763       	0.000000       	0.915763       	5.757735       	0.014394       	0.635081       	0.002116       	0.000091       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15598.173696   	65.542444      	89.613611      	0.878580       	0.000000       	0.878580       	5.227103       	0.013068       	0.417130       	0.001788       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15597.376915   	69.598931      	85.884206      	0.796781       	0.000000       	0.796781       	4.068289       	0.010171       	0.457896       	0.001631       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15596.614731   	73.425484      	82.295619      	0.762184       	0.000000       	0.762184       	3.837736       	0.009594       	0.513035       	0.001589       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15595.862706   	77.326601      	78.499209      	0.752025       	0.000000       	0.752025       	3.912489       	0.009781       	0.635946       	0.001591       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15595.106893   	81.366617      	74.605435      	0.755813       	0.000000       	0.755813       	4.051771       	0.010129       	0.597815       	0.001626       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15594.315260   	85.946854      	70.282082      	0.791633       	0.000000       	0.791633       	4.593457       	0.011484       	0.521529       	0.001736       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15593.514408   	90.452881      	65.874194      	0.800852       	0.000000       	0.800852       	4.519113       	0.011298       	0.689627       	0.001789       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15592.698651   	94.971262      	61.399939      	0.815757       	0.000000       	0.815757       	4.531573       	0.011329       	0.758438       	0.001863       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15591.873595   	99.394355      	57.168761      	0.825056       	0.000000       	0.825056       	4.436111       	0.011090       	0.620123       	0.001927       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15591.055314   	103.490313     	53.205532      	0.818281       	0.000000       	0.818281       	4.108187       	0.010270       	0.673323       	0.001958       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15590.262293   	107.096881     	49.878938      	0.793021       	0.000000       	0.793021       	3.617558       	0.009044       	0.502057       	0.001946       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15589.493764   	110.348973     	46.980263      	0.768529       	0.000000       	0.768529       	3.262179       	0.008155       	0.405025       	0.001932       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15588.737015   	113.462157     	43.964713      	0.756749       	0.000000       	0.756749       	3.122939       	0.007807       	0.649359       	0.001948       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15587.988089   	116.438354     	41.336447      	0.748926       	0.000000       	0.748926       	2.985635       	0.007464       	0.391558       	0.001973       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15587.280989   	118.906977     	38.967308      	0.707099       	0.000000       	0.707099       	2.476726       	0.006192       	0.599513       	0.001911       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15586.550970   	121.659751     	36.476127      	0.730019       	0.000000       	0.730019       	2.761689       	0.006904       	0.459511       	0.002010       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15585.828235   	124.222595     	34.294262      	0.722735       	0.000000       	0.722735       	2.571313       	0.006428       	0.333288       	0.002040       	0.000065       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15585.097984   	126.757563     	31.945504      	0.730251       	0.000000       	0.730251       	2.543433       	0.006359       	0.535575       	0.002108       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15584.388898   	128.964635     	30.091689      	0.709086       	0.000000       	0.709086       	2.214710       	0.005537       	0.348191       	0.002101       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15583.712755   	130.836870     	28.692655      	0.676142       	0.000000       	0.676142       	1.878985       	0.004697       	0.196192       	0.002052       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15583.081554   	132.382041     	27.607145      	0.631201       	0.000000       	0.631201       	1.551008       	0.003878       	0.165704       	0.001960       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15582.486053   	133.741414     	26.709253      	0.595501       	0.000000       	0.595501       	1.364667       	0.003412       	0.128726       	0.001882       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15581.907744   	135.049236     	25.824558      	0.578309       	0.000000       	0.578309       	1.312959       	0.003282       	0.150046       	0.001854       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15581.323664   	136.412086     	24.914187      	0.584080       	0.000000       	0.584080       	1.368168       	0.003420       	0.126283       	0.001897       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15580.742188   	137.705642     	24.071758      	0.581476       	0.000000       	0.581476       	1.298724       	0.003247       	0.125181       	0.001922       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15580.152111   	138.979219     	23.256991      	0.590077       	0.000000       	0.590077       	1.278753       	0.003197       	0.126091       	0.001979       	0.000071       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15579.556635   	140.185376     	22.489938      	0.595476       	0.000000       	0.595476       	1.211217       	0.003028       	0.151313       	0.002032       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15578.938244   	141.352957     	21.764391      	0.618391       	0.000000       	0.618391       	1.172628       	0.002932       	0.171309       	0.002116       	0.000078       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15578.347713   	142.315103     	21.301675      	0.590532       	0.000000       	0.590532       	0.966637       	0.002417       	0.086611       	0.002074       	0.000076       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15577.717726   	143.283675     	20.836998      	0.629986       	0.000000       	0.629986       	0.973139       	0.002433       	0.121525       	0.002135       	0.000081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15577.104391   	144.193205     	20.444874      	0.613335       	0.000000       	0.613335       	0.913985       	0.002285       	0.091475       	0.002169       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15576.512775   	145.028048     	20.081090      	0.591616       	0.000000       	0.591616       	0.839099       	0.002098       	0.116301       	0.002159       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15575.938617   	145.806099     	19.724780      	0.574157       	0.000000       	0.574157       	0.782148       	0.001955       	0.148319       	0.002142       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15575.361894   	151.541357     	29.359420      	0.576723       	0.000000       	0.576723       	1.992420       	0.004981       	0.199664       	0.002180       	0.000086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15574.815919   	153.150761     	28.091555      	0.545976       	0.000000       	0.545976       	1.615563       	0.004039       	0.198278       	0.002120       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15574.257556   	154.850348     	26.749572      	0.558363       	0.000000       	0.558363       	1.706024       	0.004265       	0.194323       	0.002172       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15573.704773   	156.386348     	25.589910      	0.552782       	0.000000       	0.552782       	1.542050       	0.003855       	0.170394       	0.002194       	0.000090       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15573.149466   	157.819223     	24.515147      	0.555307       	0.000000       	0.555307       	1.438700       	0.003597       	0.191370       	0.002228       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.610048   	159.021893     	23.657333      	0.539418       	0.000000       	0.539418       	1.207897       	0.003020       	0.189335       	0.002208       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.954584   	160.114617     	23.085535      	0.655464       	0.000000       	0.655464       	1.114117       	0.002785       	0.113145       	0.018607       	0.007834       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.342795   	173.573650     	54.829078      	0.611789       	0.000000       	0.611789       	2.293352       	0.005733       	0.324894       	0.078586       	0.025265       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.704285   	175.962598     	52.862663      	0.638510       	0.000000       	0.638510       	2.469147       	0.006173       	0.135778       	0.074027       	0.019767       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.059377   	178.581485     	50.524990      	0.644908       	0.000000       	0.644908       	2.689102       	0.006723       	0.293480       	0.063493       	0.015922       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.375730   	181.687059     	47.607098      	0.683647       	0.000000       	0.683647       	3.186270       	0.007966       	0.415269       	0.072729       	0.017608       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15568.683862   	184.938623     	44.518748      	0.691868       	0.000000       	0.691868       	3.310688       	0.008277       	0.469529       	0.050848       	0.010357       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15567.979999   	188.197213     	41.238177      	0.703864       	0.000000       	0.703864       	3.311126       	0.008278       	0.673309       	0.044258       	0.008513       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15567.321694   	190.799299     	38.893280      	0.658304       	0.000000       	0.658304       	2.642689       	0.006607       	0.360513       	0.033995       	0.006481       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15566.641677   	231.113875     	117.221196     	0.680017       	0.000000       	0.680017       	10.373279      	0.025933       	1.978822       	0.032770       	0.006133       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15565.906372   	242.362636     	104.648905     	0.735305       	0.000000       	0.735305       	11.309729      	0.028274       	1.997867       	0.032693       	0.006016       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15565.160711   	252.258830     	93.362048      	0.745662       	0.000000       	0.745662       	9.950219       	0.024876       	2.082300       	0.029149       	0.005331       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15564.447387   	260.002223     	84.935742      	0.713324       	0.000000       	0.713324       	7.786714       	0.019467       	1.352916       	0.023854       	0.004239       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15563.709008   	267.374750     	76.681847      	0.738379       	0.000000       	0.738379       	7.413795       	0.018534       	1.578479       	0.022733       	0.004020       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15562.891395   	272.654539     	71.656681      	0.817613       	0.000000       	0.817613       	5.335336       	0.013338       	0.507443       	0.042209       	0.014712       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15562.075087   	278.023519     	66.640846      	0.816308       	0.000000       	0.816308       	5.404917       	0.013512       	0.427226       	0.022424       	0.004927       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15561.276849   	283.693801     	60.943388      	0.798239       	0.000000       	0.798239       	5.705417       	0.014264       	0.790281       	0.020871       	0.003684       	0.000000       	0.000000       	0.000000       	0.000000       
