DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15580.506456   	44.047046      	85.189902      	83.844644      	0.000000       	83.844644      	7.067620       	0.017669       	0.587121       	0.002906       	0.000153       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15579.425807   	50.644181      	78.921172      	1.080649       	0.000000       	1.080649       	6.616375       	0.016541       	0.733004       	0.002699       	0.000127       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15578.384615   	55.776322      	74.308978      	1.041192       	0.000000       	1.041192       	5.147381       	0.012868       	0.506005       	0.002372       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15577.361942   	59.879162      	70.892236      	1.022673       	0.000000       	1.022673       	4.139380       	0.010348       	0.300035       	0.026191       	0.004578       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15576.349078   	63.882450      	67.562448      	1.012864       	0.000000       	1.012864       	4.047155       	0.010118       	0.295496       	0.033749       	0.005925       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15575.563973   	66.329318      	65.592056      	0.785106       	0.000000       	0.785106       	2.612581       	0.007373       	0.142917       	0.158341       	0.011055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15574.740249   	69.045573      	63.479657      	0.823723       	0.000000       	0.823723       	2.835786       	0.007251       	0.100336       	0.112280       	0.009780       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15573.996115   	79.624565      	83.383842      	0.744135       	0.000000       	0.744135       	3.139086       	0.007848       	0.200864       	0.052246       	0.005344       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15573.332473   	82.166690      	81.161221      	0.663642       	0.000000       	0.663642       	2.592008       	0.006480       	0.294255       	0.043403       	0.004256       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15572.693865   	84.893587      	78.636525      	0.638608       	0.000000       	0.638608       	2.776531       	0.006941       	0.386773       	0.042693       	0.004121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15572.094164   	87.442301      	76.231409      	0.599700       	0.000000       	0.599700       	2.590359       	0.006476       	0.414458       	0.035169       	0.002948       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15571.513156   	89.963147      	73.920728      	0.581008       	0.000000       	0.581008       	2.558395       	0.006396       	0.333293       	0.031153       	0.002512       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15570.949493   	92.393153      	71.694403      	0.563663       	0.000000       	0.563663       	2.464015       	0.006160       	0.325974       	0.027849       	0.002181       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15570.429882   	94.338405      	69.957071      	0.519611       	0.000000       	0.519611       	1.973401       	0.004934       	0.283542       	0.023215       	0.001750       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15569.801362   	96.905894      	67.810321      	0.628520       	0.000000       	0.628520       	2.605122       	0.006513       	0.170149       	0.031121       	0.003830       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15569.230518   	98.854614      	66.303501      	0.570844       	0.000000       	0.570844       	1.988256       	0.004971       	0.089408       	0.034565       	0.005090       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15568.661335   	100.808744     	64.778357      	0.569182       	0.000000       	0.569182       	1.996744       	0.004992       	0.097583       	0.037622       	0.005865       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15568.144792   	102.388248     	63.524400      	0.516543       	0.000000       	0.516543       	1.653509       	0.004134       	0.116991       	0.069871       	0.008633       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15567.580732   	104.478645     	61.738181      	0.564060       	0.000000       	0.564060       	2.155168       	0.005388       	0.195110       	0.059383       	0.007048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15566.981036   	106.929136     	59.495914      	0.599696       	0.000000       	0.599696       	2.517033       	0.006293       	0.324930       	0.060250       	0.007167       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15566.344698   	109.823505     	56.870732      	0.636338       	0.000000       	0.636338       	2.964548       	0.007411       	0.296972       	0.062768       	0.006794       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15565.720995   	129.940170     	96.618113      	0.623703       	0.000000       	0.623703       	5.185152       	0.012963       	0.691170       	0.055524       	0.005119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15565.101268   	134.671066     	91.833319      	0.619726       	0.000000       	0.619726       	4.793185       	0.011983       	0.611336       	0.050306       	0.004351       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15564.450670   	138.303953     	88.559825      	0.650599       	0.000000       	0.650599       	3.703968       	0.009260       	0.220125       	0.061821       	0.009260       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15563.887294   	141.042484     	85.869240      	0.563376       	0.000000       	0.563376       	2.991204       	0.012495       	0.262756       	0.240177       	0.026253       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15563.478835   	143.634048     	83.216893      	0.408459       	0.000000       	0.408459       	2.843038       	0.007483       	0.217768       	0.243991       	0.026897       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15562.919889   	146.768441     	80.085663      	0.558946       	0.000000       	0.558946       	3.372228       	0.012186       	0.317948       	0.225650       	0.019772       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15562.289878   	150.285198     	76.741248      	0.630010       	0.000000       	0.630010       	3.733948       	0.014373       	0.240477       	0.202817       	0.018144       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15561.588529   	154.401691     	72.668065      	0.701349       	0.000000       	0.701349       	4.313819       	0.014419       	0.460714       	0.182908       	0.020215       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15560.894897   	158.032640     	69.211225      	0.693632       	0.000000       	0.693632       	3.798139       	0.011925       	0.352332       	0.155265       	0.018896       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15560.233282   	161.405117     	65.932801      	0.661615       	0.000000       	0.661615       	3.524000       	0.010319       	0.416039       	0.141205       	0.017778       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15559.584816   	164.769983     	62.657030      	0.648466       	0.000000       	0.648466       	3.502164       	0.008899       	0.422073       	0.128399       	0.015477       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15558.948172   	167.982002     	59.685069      	0.636644       	0.000000       	0.636644       	3.341300       	0.008513       	0.267305       	0.120769       	0.013926       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15558.325183   	170.952982     	57.078278      	0.622989       	0.000000       	0.622989       	3.093100       	0.007907       	0.136680       	0.114212       	0.012706       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15557.621862   	173.359533     	54.826683      	0.703321       	0.000000       	0.703321       	2.586315       	0.006652       	0.368601       	0.173112       	0.026733       	0.000000       	0.000000       	0.000000       	0.000000       
