DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15599.657797   	44.846386      	80.525523      	64.693303      	0.000000       	64.693303      	4.108905       	0.010272       	0.308874       	0.002247       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15598.763439   	49.263220      	76.523803      	0.894358       	0.000000       	0.894358       	4.430087       	0.011075       	0.465991       	0.002177       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15597.878372   	53.527185      	72.620358      	0.885067       	0.000000       	0.885067       	4.276723       	0.010692       	0.511789       	0.002066       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15597.047714   	56.412138      	70.335780      	0.830658       	0.000000       	0.830658       	2.901900       	0.007255       	0.213336       	0.009694       	0.001852       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15596.476445   	58.243081      	68.848096      	0.571269       	0.000000       	0.571269       	1.968011       	0.005354       	0.090942       	0.131714       	0.004414       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15595.763833   	60.568126      	66.986415      	0.712612       	0.000000       	0.712612       	2.429821       	0.006453       	0.144472       	0.098323       	0.006832       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15595.214922   	62.765336      	64.996070      	0.548911       	0.000000       	0.548911       	2.331420       	0.006326       	0.207837       	0.127884       	0.006501       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15594.824970   	64.566648      	63.188021      	0.389953       	0.000000       	0.389953       	1.982117       	0.009088       	0.215884       	0.171717       	0.003517       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15594.328760   	66.562669      	61.414586      	0.496209       	0.000000       	0.496209       	2.150461       	0.006382       	0.119184       	0.148058       	0.004480       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15593.749046   	68.610496      	59.708153      	0.579714       	0.000000       	0.579714       	2.190670       	0.008109       	0.095477       	0.134734       	0.004173       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.133630   	70.639504      	57.989506      	0.615416       	0.000000       	0.615416       	2.150603       	0.009188       	0.183460       	0.112407       	0.004656       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15592.529764   	72.575186      	56.309216      	0.603866       	0.000000       	0.603866       	2.036287       	0.007971       	0.247869       	0.092635       	0.004362       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15591.885571   	74.950338      	54.276814      	0.644193       	0.000000       	0.644193       	2.472046       	0.009004       	0.204550       	0.087890       	0.004660       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.254712   	77.199400      	52.312552      	0.630859       	0.000000       	0.630859       	2.336272       	0.007116       	0.258849       	0.080093       	0.004461       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15590.649466   	79.187617      	50.603912      	0.605246       	0.000000       	0.605246       	2.066543       	0.006208       	0.247344       	0.072117       	0.004017       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15589.995921   	81.664609      	48.442844      	0.653544       	0.000000       	0.653544       	2.558204       	0.007119       	0.256409       	0.074093       	0.004179       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15589.342788   	84.004732      	46.518899      	0.653133       	0.000000       	0.653133       	2.419037       	0.006787       	0.158042       	0.072127       	0.003976       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15588.667176   	86.443754      	44.421330      	0.675612       	0.000000       	0.675612       	2.518253       	0.007053       	0.254928       	0.072177       	0.003961       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15588.026083   	88.160462      	43.202048      	0.641093       	0.000000       	0.641093       	1.786469       	0.005237       	0.073906       	0.064524       	0.003396       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15587.408595   	89.904686      	41.824980      	0.617488       	0.000000       	0.617488       	1.811352       	0.005303       	0.183205       	0.061824       	0.003276       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15586.776585   	91.627120      	40.554257      	0.632010       	0.000000       	0.632010       	1.787718       	0.005245       	0.115015       	0.060039       	0.003156       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15586.161524   	101.241744     	61.296637      	0.615061       	0.000000       	0.615061       	2.239888       	0.006387       	0.132792       	0.118878       	0.011326       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15585.687207   	102.656916     	60.017862      	0.474317       	0.000000       	0.474317       	1.667700       	0.012183       	0.085393       	0.240346       	0.010881       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15585.205473   	104.066593     	58.786625      	0.481734       	0.000000       	0.481734       	1.645409       	0.013907       	0.067561       	0.221825       	0.011297       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15584.695098   	105.655064     	57.389916      	0.510375       	0.000000       	0.510375       	1.778719       	0.012474       	0.128366       	0.177774       	0.009386       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15584.194439   	107.185064     	56.086568      	0.500660       	0.000000       	0.500660       	1.684629       	0.012628       	0.119379       	0.142000       	0.007221       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15583.685417   	108.797591     	54.669202      	0.509021       	0.000000       	0.509021       	1.742664       	0.010942       	0.183723       	0.119196       	0.007480       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15583.184143   	110.498811     	53.126505      	0.501274       	0.000000       	0.501274       	1.812986       	0.009217       	0.230986       	0.102549       	0.007228       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15582.634220   	125.689038     	82.951196      	0.549923       	0.000000       	0.549923       	4.053260       	0.013957       	0.421971       	0.099075       	0.007378       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.115842   	128.913567     	79.642516      	0.518378       	0.000000       	0.518378       	3.319891       	0.010236       	0.507167       	0.085125       	0.006248       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15581.580932   	132.353721     	76.246682      	0.534910       	0.000000       	0.534910       	3.534014       	0.010566       	0.396730       	0.083294       	0.006128       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.041793   	135.742453     	72.719888      	0.539139       	0.000000       	0.539139       	3.479691       	0.010087       	0.586243       	0.080872       	0.005858       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15580.411818   	139.273570     	69.478436      	0.629975       	0.000000       	0.629975       	3.622779       	0.010396       	0.248648       	0.081266       	0.005851       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15579.843080   	141.837007     	67.221319      	0.568739       	0.000000       	0.568739       	2.647526       	0.007984       	0.178330       	0.076105       	0.005338       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15579.306223   	144.153001     	65.221205      	0.536857       	0.000000       	0.536857       	2.396392       	0.007371       	0.140579       	0.073027       	0.005160       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15578.799708   	146.405025     	63.170949      	0.506514       	0.000000       	0.506514       	2.328666       	0.007207       	0.228104       	0.069435       	0.004823       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15578.229990   	149.247318     	60.603122      	0.569718       	0.000000       	0.569718       	2.923058       	0.008699       	0.214486       	0.072065       	0.005075       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15577.687282   	151.768141     	58.235315      	0.542709       	0.000000       	0.542709       	2.599081       	0.007903       	0.311436       	0.070355       	0.004831       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15577.156177   	154.264351     	55.923100      	0.531105       	0.000000       	0.531105       	2.573650       	0.007855       	0.269670       	0.069584       	0.004764       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15576.630729   	156.598449     	53.754414      	0.525447       	0.000000       	0.525447       	2.409746       	0.007460       	0.284387       	0.068188       	0.004613       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15576.114904   	158.848999     	51.591332      	0.515825       	0.000000       	0.515825       	2.324899       	0.007261       	0.354008       	0.067089       	0.004514       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15575.612217   	160.968742     	49.498797      	0.502687       	0.000000       	0.502687       	2.192525       	0.006941       	0.402697       	0.065841       	0.004398       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15575.095745   	176.316596     	79.002635      	0.516472       	0.000000       	0.516472       	4.176391       	0.011912       	0.586242       	0.066624       	0.004468       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15574.564346   	180.567465     	74.587364      	0.531399       	0.000000       	0.531399       	4.331289       	0.012316       	0.615381       	0.068104       	0.004561       	0.000000       	0.000000       	0.000000       	0.000000       
