DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.360286   	40.566740      	68.135250      	62.990814      	0.000000       	62.990814      	3.577965       	0.008945       	0.277599       	0.002280       	0.000121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.508443   	43.940588      	65.307131      	0.851843       	0.000000       	0.851843       	3.384366       	0.008461       	0.295596       	0.002057       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.722444   	46.855901      	62.833217      	0.785999       	0.000000       	0.785999       	2.924455       	0.007311       	0.335459       	0.001831       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.942526   	49.891982      	60.128615      	0.779918       	0.000000       	0.779918       	3.045316       	0.007613       	0.439204       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.171529   	52.913100      	57.574023      	0.770997       	0.000000       	0.770997       	3.030315       	0.007576       	0.295275       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.434343   	55.623983      	55.381001      	0.737185       	0.000000       	0.737185       	2.719248       	0.006798       	0.210960       	0.001567       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.700389   	58.387358      	52.953424      	0.733955       	0.000000       	0.733955       	2.771890       	0.006930       	0.389641       	0.001585       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.905788   	74.558843      	82.043202      	0.794601       	0.000000       	0.794601       	4.935492       	0.012339       	0.519331       	0.001668       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.134199   	79.213347      	77.663680      	0.771589       	0.000000       	0.771589       	4.667850       	0.011670       	0.483261       	0.001677       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.369345   	83.775444      	73.449787      	0.764854       	0.000000       	0.764854       	4.575246       	0.011438       	0.403501       	0.001711       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.626445   	86.595650      	71.186166      	0.742900       	0.000000       	0.742900       	2.851666       	0.007129       	0.154854       	0.024331       	0.006062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.031215   	88.295984      	69.902282      	0.595230       	0.000000       	0.595230       	1.764804       	0.004412       	0.114310       	0.060058       	0.010157       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.458911   	90.044983      	68.561970      	0.572304       	0.000000       	0.572304       	1.803723       	0.004509       	0.108893       	0.050215       	0.007548       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.906016   	91.837305      	67.149349      	0.552896       	0.000000       	0.552896       	1.829284       	0.004573       	0.136233       	0.032389       	0.005302       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.324131   	98.136855      	76.176231      	0.581884       	0.000000       	0.581884       	2.591909       	0.006480       	0.213092       	0.035880       	0.005701       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15590.761326   	100.565897     	74.026714      	0.562806       	0.000000       	0.562806       	2.468850       	0.006172       	0.243473       	0.033636       	0.005314       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.195966   	103.232030     	71.538587      	0.565360       	0.000000       	0.565360       	2.705322       	0.006763       	0.348166       	0.032425       	0.004710       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15589.670754   	105.533011     	69.458893      	0.525212       	0.000000       	0.525212       	2.332438       	0.005831       	0.272468       	0.025626       	0.003335       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.097192   	108.547414     	66.768193      	0.573562       	0.000000       	0.573562       	3.050702       	0.007627       	0.213560       	0.028672       	0.003463       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.543636   	111.038514     	64.563565      	0.553556       	0.000000       	0.553556       	2.518887       	0.006297       	0.239298       	0.021490       	0.002581       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15587.973331   	113.237188     	62.759245      	0.570304       	0.000000       	0.570304       	2.223256       	0.005558       	0.151368       	0.019024       	0.002434       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.412614   	148.499997     	147.637970     	0.560718       	0.000000       	0.560718       	5.294197       	0.013235       	0.387795       	0.018153       	0.002172       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15586.874250   	153.317055     	142.880123     	0.538363       	0.000000       	0.538363       	4.846463       	0.012116       	0.449747       	0.017289       	0.002076       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.305860   	158.275719     	138.170037     	0.568390       	0.000000       	0.568390       	4.997673       	0.012494       	0.280803       	0.026515       	0.005873       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.778974   	162.222086     	134.413422     	0.526887       	0.000000       	0.526887       	3.982231       	0.009956       	0.301270       	0.025908       	0.006509       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15585.230167   	166.859844     	129.914698     	0.548807       	0.000000       	0.548807       	4.671188       	0.011678       	0.376344       	0.021752       	0.003839       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15584.633229   	172.594495     	124.172859     	0.596938       	0.000000       	0.596938       	5.770928       	0.014427       	0.567848       	0.021850       	0.002959       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15584.023772   	178.871852     	117.633227     	0.609456       	0.000000       	0.609456       	6.316071       	0.015790       	0.833017       	0.022925       	0.002816       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15583.425158   	214.730348     	185.677526     	0.598614       	0.000000       	0.598614       	9.652381       	0.024131       	1.651934       	0.019754       	0.002392       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.913183   	219.972006     	180.230482     	0.511975       	0.000000       	0.511975       	5.443351       	0.013754       	0.515668       	0.187938       	0.028144       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15582.333257   	227.243625     	172.643915     	0.579926       	0.000000       	0.579926       	7.420848       	0.020154       	0.745646       	0.129074       	0.023269       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.747360   	234.657712     	164.471187     	0.585897       	0.000000       	0.585897       	7.537853       	0.018845       	1.220771       	0.104922       	0.020004       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15581.118590   	243.795209     	154.642771     	0.628770       	0.000000       	0.628770       	9.269376       	0.023173       	1.187809       	0.108706       	0.020865       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15580.528749   	251.580760     	146.196652     	0.589841       	0.000000       	0.589841       	7.898191       	0.019745       	1.137769       	0.092894       	0.015084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15579.901549   	260.540404     	136.171089     	0.627200       	0.000000       	0.627200       	9.074137       	0.022685       	1.578627       	0.091808       	0.013840       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15579.287531   	268.075785     	128.085127     	0.614018       	0.000000       	0.614018       	7.635056       	0.019088       	1.064923       	0.080588       	0.011313       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15578.621993   	274.198652     	121.851740     	0.665539       	0.000000       	0.665539       	6.215190       	0.015538       	0.683736       	0.076785       	0.011954       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15577.959569   	280.375978     	115.467532     	0.662424       	0.000000       	0.662424       	6.265628       	0.015664       	0.781004       	0.072638       	0.009840       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15577.341536   	286.017016     	109.807917     	0.618033       	0.000000       	0.618033       	5.725653       	0.014314       	0.551995       	0.070300       	0.009357       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15576.764371   	289.678065     	106.248795     	0.577165       	0.000000       	0.577165       	3.743652       	0.009359       	0.392634       	0.073245       	0.014797       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15576.170550   	293.911791     	102.064978     	0.593821       	0.000000       	0.593821       	4.310882       	0.010777       	0.466755       	0.066379       	0.010842       	0.000000       	0.000000       	0.000000       	0.000000       
