DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15579.330953   	44.258290      	86.086557      	85.020147      	0.000000       	85.020147      	7.279485       	0.018199       	0.654105       	0.002996       	0.000155       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15578.237933   	50.651152      	80.035719      	1.093020       	0.000000       	1.093020       	6.411585       	0.016029       	0.732273       	0.002695       	0.000123       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15577.181898   	56.473439      	74.459958      	1.056034       	0.000000       	1.056034       	5.839437       	0.014599       	0.792359       	0.002550       	0.000107       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15576.111091   	61.329716      	70.181739      	1.070807       	0.000000       	1.070807       	4.870559       	0.012176       	0.478467       	0.002105       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15575.093917   	65.953878      	65.992341      	1.017175       	0.000000       	1.017175       	4.637847       	0.011595       	0.568725       	0.002091       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15574.139997   	70.208409      	62.391342      	0.953919       	0.000000       	0.953919       	4.267246       	0.010668       	0.287672       	0.002047       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15573.193214   	74.568702      	58.507341      	0.946783       	0.000000       	0.946783       	4.373330       	0.010933       	0.457454       	0.002104       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15572.285522   	109.232333     	128.511041     	0.907693       	0.000000       	0.907693       	8.436735       	0.021092       	1.217258       	0.002012       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15571.432586   	116.770736     	120.499605     	0.852936       	0.000000       	0.852936       	7.559273       	0.018898       	1.305098       	0.001972       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15570.576286   	124.776598     	112.455963     	0.856300       	0.000000       	0.856300       	8.027974       	0.020070       	0.871968       	0.002042       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15569.719778   	132.762200     	104.327221     	0.856508       	0.000000       	0.856508       	8.007722       	0.020019       	0.977529       	0.002100       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15568.877774   	138.466122     	99.009593      	0.842003       	0.000000       	0.842003       	5.720169       	0.014300       	0.439463       	0.001946       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15568.067875   	144.290963     	93.447262      	0.809899       	0.000000       	0.809899       	5.841416       	0.014604       	0.530815       	0.001971       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15567.278370   	150.232784     	87.847042      	0.789505       	0.000000       	0.789505       	5.958729       	0.014897       	0.430996       	0.002012       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15566.525589   	168.856663     	113.921628     	0.752781       	0.000000       	0.752781       	7.394364       	0.018486       	1.033831       	0.001999       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15565.793599   	175.784965     	106.804543     	0.731991       	0.000000       	0.731991       	6.947677       	0.017369       	0.901399       	0.002006       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15565.077079   	182.335836     	100.409142     	0.716520       	0.000000       	0.716520       	6.569311       	0.016423       	0.542610       	0.002017       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15564.392696   	188.009115     	94.793211      	0.684383       	0.000000       	0.684383       	5.689481       	0.014224       	0.610833       	0.001978       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15563.734144   	193.115518     	89.424593      	0.658552       	0.000000       	0.658552       	5.121152       	0.012803       	0.906018       	0.001946       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15563.099555   	197.751742     	84.527795      	0.634589       	0.000000       	0.634589       	4.649763       	0.011624       	0.881624       	0.001914       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15562.481230   	202.113083     	80.172758      	0.618325       	0.000000       	0.618325       	4.374177       	0.010935       	0.599185       	0.001901       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15561.869902   	219.436202     	107.872620     	0.611328       	0.000000       	0.611328       	6.090256       	0.015226       	0.571210       	0.001912       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
