DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15600.960663   	40.649855      	68.490321      	63.390437      	0.000000       	63.390437      	3.661270       	0.009153       	0.238846       	0.002263       	0.000121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.182565   	43.443039      	66.031204      	0.778098       	0.000000       	0.778098       	2.802025       	0.007005       	0.435189       	0.001836       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.397747   	46.537549      	63.423092      	0.784819       	0.000000       	0.784819       	3.104112       	0.007760       	0.288819       	0.001841       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.663931   	49.218157      	61.052388      	0.733816       	0.000000       	0.733816       	2.688835       	0.006722       	0.415684       	0.001505       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15597.956201   	51.749801      	58.906022      	0.707730       	0.000000       	0.707730       	2.539468       	0.006349       	0.314628       	0.001475       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.279517   	54.085052      	57.052897      	0.676684       	0.000000       	0.676684       	2.342529       	0.005856       	0.187280       	0.001422       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.644176   	56.129544      	55.312698      	0.635341       	0.000000       	0.635341       	2.050967       	0.005127       	0.324573       	0.001347       	0.000037       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15596.064382   	69.902682      	86.660694      	0.579794       	0.000000       	0.579794       	2.530703       	0.006327       	0.451096       	0.001239       	0.000034       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.447094   	73.379726      	83.101244      	0.617289       	0.000000       	0.617289       	3.487108       	0.008718       	0.689630       	0.001346       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.820481   	76.992510      	79.118166      	0.626613       	0.000000       	0.626613       	3.623223       	0.009058       	0.986468       	0.001381       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.165364   	80.968153      	75.018708      	0.655116       	0.000000       	0.655116       	3.987080       	0.009968       	0.767494       	0.001469       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.439160   	84.840356      	71.319054      	0.726205       	0.000000       	0.726205       	3.883423       	0.009709       	0.542435       	0.001512       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.757012   	88.344416      	67.857784      	0.682148       	0.000000       	0.682148       	3.514349       	0.008786       	0.629069       	0.001503       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.091906   	91.781117      	64.674025      	0.665106       	0.000000       	0.665106       	3.446845       	0.008617       	0.402020       	0.001527       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.429868   	108.285089     	93.328356      	0.662038       	0.000000       	0.662038       	5.268711       	0.013172       	0.488995       	0.001567       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15590.794428   	112.908918     	88.770593      	0.635440       	0.000000       	0.635440       	4.636968       	0.011592       	0.556235       	0.001547       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.182920   	115.959414     	86.130128      	0.611508       	0.000000       	0.611508       	3.062175       	0.007655       	0.189798       	0.004025       	0.001300       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15589.549728   	119.416636     	83.061918      	0.633193       	0.000000       	0.633193       	3.471471       	0.008679       	0.229931       	0.005570       	0.001995       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15588.957281   	122.499002     	80.189706      	0.592446       	0.000000       	0.592446       	3.092094       	0.007730       	0.372564       	0.001998       	0.000335       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.398984   	125.491174     	77.215034      	0.558298       	0.000000       	0.558298       	3.001062       	0.007503       	0.531907       	0.001387       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15587.857615   	128.565526     	74.146190      	0.541369       	0.000000       	0.541369       	3.083460       	0.007709       	0.526752       	0.001399       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.319863   	148.652188     	113.727594     	0.537752       	0.000000       	0.537752       	5.100846       	0.012752       	0.855503       	0.001432       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15586.786984   	153.662078     	108.433001     	0.532878       	0.000000       	0.532878       	5.023906       	0.012560       	0.803565       	0.001456       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.249327   	158.794723     	102.945589     	0.537658       	0.000000       	0.537658       	5.147011       	0.012868       	0.878058       	0.001499       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
