DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15579.330953   	53.515166      	106.652249     	85.020147      	0.000000       	85.020147      	9.040764       	0.022602       	0.827134       	0.002996       	0.000155       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15578.237933   	61.424642      	98.887425      	1.093020       	0.000000       	1.093020       	7.932001       	0.019830       	0.925844       	0.002695       	0.000123       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15577.181898   	68.602757      	91.743092      	1.056034       	0.000000       	1.056034       	7.198661       	0.017997       	1.001706       	0.002550       	0.000107       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15576.111091   	74.555793      	86.239254      	1.070807       	0.000000       	1.070807       	5.970066       	0.014925       	0.604578       	0.002105       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15575.093917   	80.210142      	80.867340      	1.017175       	0.000000       	1.017175       	5.670616       	0.014177       	0.718473       	0.002091       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15574.139997   	85.395302      	76.257691      	0.953919       	0.000000       	0.953919       	5.200207       	0.013001       	0.363361       	0.002047       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15573.193214   	90.706312      	71.300307      	0.946783       	0.000000       	0.946783       	5.326430       	0.013316       	0.577737       	0.002104       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15572.285522   	112.856243     	109.021004     	0.907693       	0.000000       	0.907693       	7.169869       	0.017925       	1.017128       	0.002012       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15571.432586   	119.273635     	102.347912     	0.852936       	0.000000       	0.852936       	6.435453       	0.016089       	1.090575       	0.001972       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15570.576286   	126.085810     	95.644248      	0.856300       	0.000000       	0.856300       	6.831295       	0.017078       	0.728668       	0.002042       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15569.719778   	132.884620     	88.865890      	0.856508       	0.000000       	0.856508       	6.817955       	0.017045       	0.816911       	0.002100       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15568.877774   	137.768626     	84.442331      	0.842003       	0.000000       	0.842003       	4.898198       	0.012245       	0.367365       	0.001946       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15568.067875   	142.754885     	79.807729      	0.809899       	0.000000       	0.809899       	5.000733       	0.012502       	0.443769       	0.001971       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15567.278370   	147.840904     	75.136105      	0.789505       	0.000000       	0.789505       	5.100782       	0.012752       	0.360347       	0.002012       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15566.525589   	165.703928     	102.091505     	0.752781       	0.000000       	0.752781       	6.631603       	0.016579       	0.915778       	0.001999       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15565.793599   	171.921779     	95.789566      	0.731991       	0.000000       	0.731991       	6.235445       	0.015589       	0.798485       	0.002006       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15565.077079   	177.804880     	90.125550      	0.716520       	0.000000       	0.716520       	5.899867       	0.014750       	0.480669       	0.002017       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15564.392696   	182.907986     	85.150941      	0.684383       	0.000000       	0.684383       	5.117879       	0.012795       	0.541113       	0.001978       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15563.734144   	187.506687     	80.394697      	0.658552       	0.000000       	0.658552       	4.612177       	0.011530       	0.802619       	0.001946       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15563.099555   	191.686581     	76.055974      	0.634589       	0.000000       	0.634589       	4.192289       	0.010481       	0.781024       	0.001914       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15562.481230   	195.621321     	72.196964      	0.618325       	0.000000       	0.618325       	3.946508       	0.009866       	0.530826       	0.001901       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15561.869902   	203.841539     	79.171659      	0.611328       	0.000000       	0.611328       	4.483338       	0.011208       	0.403295       	0.001912       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15561.263076   	208.213455     	74.764513      	0.606827       	0.000000       	0.606827       	4.384810       	0.010962       	0.629162       	0.001932       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15560.655183   	212.562123     	70.412788      	0.607893       	0.000000       	0.607893       	4.361540       	0.010904       	0.598078       	0.001969       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15560.059711   	216.483433     	66.626073      	0.595471       	0.000000       	0.595471       	3.933111       	0.009833       	0.449076       	0.001967       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15559.463786   	220.375460     	62.937452      	0.595926       	0.000000       	0.595926       	3.903784       	0.009759       	0.380763       	0.001998       	0.000071       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15558.854476   	224.451388     	58.963966      	0.609309       	0.000000       	0.609309       	4.088221       	0.010221       	0.494575       	0.002072       	0.000075       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15558.239751   	228.002929     	55.588846      	0.614725       	0.000000       	0.614725       	3.562518       	0.008906       	0.427328       	0.002071       	0.000075       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15557.592085   	259.423902     	129.224533     	0.647666       	0.000000       	0.647666       	5.200859       	0.013002       	0.561120       	0.016884       	0.008419       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15556.875549   	266.140340     	122.687194     	0.716536       	0.000000       	0.716536       	6.751763       	0.016879       	0.502112       	0.018446       	0.008968       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15556.165873   	272.903540     	115.981277     	0.709675       	0.000000       	0.709675       	6.786282       	0.016966       	0.629311       	0.006116       	0.002209       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15555.451986   	279.797260     	109.154136     	0.713887       	0.000000       	0.713887       	6.913984       	0.017285       	0.627044       	0.002980       	0.000385       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15554.775392   	286.292718     	102.629896     	0.676594       	0.000000       	0.676594       	6.514494       	0.016286       	0.686341       	0.002749       	0.000301       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15554.113591   	292.723520     	95.764015      	0.661801       	0.000000       	0.661801       	6.449089       	0.016123       	1.078593       	0.002165       	0.000086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15553.430626   	299.636030     	88.620465      	0.682965       	0.000000       	0.682965       	6.932124       	0.017330       	0.894391       	0.002283       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15552.736654   	311.057583     	91.682280      	0.693971       	0.000000       	0.693971       	7.693169       	0.019233       	1.188988       	0.002384       	0.000097       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15552.045929   	318.040273     	84.659897      	0.690726       	0.000000       	0.690726       	7.002639       	0.017507       	0.710469       	0.002442       	0.000101       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15551.376928   	324.036460     	78.834639      	0.669001       	0.000000       	0.669001       	6.013661       	0.015034       	0.480598       	0.002440       	0.000101       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15550.733413   	329.199908     	73.598716      	0.643515       	0.000000       	0.643515       	5.178804       	0.012947       	0.700634       	0.002409       	0.000101       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15550.086732   	334.302983     	68.363629      	0.646681       	0.000000       	0.646681       	5.118318       	0.012796       	0.763450       	0.002448       	0.000104       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15549.381558   	337.801597     	65.210313      	0.705173       	0.000000       	0.705173       	3.532482       	0.008831       	0.326006       	0.025037       	0.012639       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15548.748253   	340.284122     	62.866191      	0.633306       	0.000000       	0.633306       	2.735405       	0.006839       	0.242023       	0.246041       	0.060837       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15548.146449   	351.133894     	82.175942      	0.601804       	0.000000       	0.601804       	3.454609       	0.008637       	0.337444       	0.096200       	0.032103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15547.494908   	355.400768     	78.151810      	0.651541       	0.000000       	0.651541       	4.377186       	0.010943       	0.298487       	0.099369       	0.033090       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15546.873656   	359.488877     	74.135127      	0.621252       	0.000000       	0.621252       	4.180679       	0.010452       	0.457256       	0.082119       	0.025342       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15546.278429   	363.331082     	70.258301      	0.595227       	0.000000       	0.595227       	3.917697       	0.009794       	0.554357       	0.065697       	0.019178       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15545.673970   	367.371972     	66.261095      	0.604458       	0.000000       	0.604458       	4.111579       	0.010279       	0.490085       	0.060410       	0.017267       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15545.067521   	371.265060     	62.397448      	0.606449       	0.000000       	0.606449       	3.956892       	0.009892       	0.513204       	0.053912       	0.015231       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15544.413618   	375.628415     	57.979003      	0.653904       	0.000000       	0.653904       	4.429169       	0.011073       	0.643180       	0.054741       	0.015228       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15543.598460   	421.037966     	146.825340     	0.815157       	0.000000       	0.815157       	11.883615      	0.029709       	1.335205       	0.194355       	0.068325       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15542.858685   	429.643508     	137.743181     	0.739776       	0.000000       	0.739776       	8.910582       	0.022276       	0.911353       	0.282764       	0.091032       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15542.075809   	439.613869     	127.004983     	0.782876       	0.000000       	0.782876       	10.170760      	0.025427       	1.350314       	0.174972       	0.057672       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15541.298271   	449.850014     	115.348999     	0.777538       	0.000000       	0.777538       	10.401073      	0.026003       	2.032449       	0.138925       	0.041280       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15540.529294   	459.706287     	103.061027     	0.768977       	0.000000       	0.768977       	10.006736      	0.025017       	3.050214       	0.125445       	0.036202       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15539.751360   	469.026100     	92.488146      	0.777934       	0.000000       	0.777934       	9.460512       	0.023651       	1.890302       	0.117048       	0.033107       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15538.998238   	476.693447     	84.297065      	0.753122       	0.000000       	0.753122       	7.788692       	0.019472       	1.155510       	0.101873       	0.028276       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15538.258186   	507.589217     	126.994111     	0.740052       	0.000000       	0.740052       	12.268556      	0.030671       	2.024450       	0.092116       	0.025182       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15537.508628   	519.049162     	114.363323     	0.749559       	0.000000       	0.749559       	11.576041      	0.028940       	1.804305       	0.087156       	0.023427       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15536.749989   	529.597833     	103.046630     	0.758638       	0.000000       	0.758638       	10.656932      	0.026642       	1.418399       	0.081618       	0.021258       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15535.994315   	538.820257     	93.044571      	0.755674       	0.000000       	0.755674       	9.321891       	0.023305       	1.435843       	0.076162       	0.019418       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15535.231108   	547.254341     	83.583188      	0.763207       	0.000000       	0.763207       	8.528470       	0.021321       	1.696120       	0.073065       	0.018283       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15534.456330   	554.921894     	75.580257      	0.774778       	0.000000       	0.774778       	7.757694       	0.019394       	1.020016       	0.070747       	0.017329       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15533.659054   	562.064537     	67.473093      	0.797276       	0.000000       	0.797276       	7.230765       	0.018077       	1.673674       	0.070045       	0.016803       	0.000000       	0.000000       	0.000000       	0.000000       
