DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15617.543570   	43.729090      	63.733316      	46.807530      	0.000000       	46.807530      	2.988652       	0.007472       	0.335563       	0.002090       	0.000110       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15616.695680   	47.016495      	60.960569      	0.847890       	0.000000       	0.847890       	3.297698       	0.008244       	0.322939       	0.002049       	0.000097       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15615.873068   	49.855890      	58.655127      	0.822612       	0.000000       	0.822612       	2.848348       	0.007121       	0.279706       	0.001832       	0.000078       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15614.926141   	53.035706      	56.170247      	0.946926       	0.000000       	0.946926       	3.194983       	0.007987       	0.236824       	0.007180       	0.001265       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15614.375041   	54.971652      	54.392091      	0.551100       	0.000000       	0.551100       	2.151751       	0.007444       	0.177505       	0.208361       	0.006433       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15613.713425   	57.298243      	52.463637      	0.661616       	0.000000       	0.661616       	2.439302       	0.006440       	0.150769       	0.106270       	0.004107       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15612.860101   	59.714836      	50.688677      	0.853324       	0.000000       	0.853324       	2.530792       	0.008611       	0.097492       	0.105587       	0.005283       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15612.036473   	74.730912      	81.227051      	0.823628       	0.000000       	0.823628       	3.859732       	0.009791       	0.175522       	0.083867       	0.005240       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15611.240428   	78.327757      	78.049618      	0.796045       	0.000000       	0.796045       	3.678890       	0.009197       	0.294588       	0.072847       	0.004729       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15610.447631   	82.152211      	74.560362      	0.792798       	0.000000       	0.792798       	3.908442       	0.009771       	0.373612       	0.074217       	0.004799       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15609.710694   	85.649984      	71.224001      	0.736936       	0.000000       	0.736936       	3.573915       	0.008935       	0.499382       	0.067208       	0.004055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15609.024521   	88.742321      	68.195346      	0.686173       	0.000000       	0.686173       	3.158967       	0.007897       	0.555862       	0.058732       	0.003354       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15608.371441   	91.585250      	65.430977      	0.653080       	0.000000       	0.653080       	2.903494       	0.007259       	0.513956       	0.053306       	0.002956       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15607.718940   	94.533699      	62.614669      	0.652501       	0.000000       	0.652501       	3.007139       	0.007518       	0.461670       	0.051173       	0.002799       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15607.027853   	102.387543     	69.987981      	0.691087       	0.000000       	0.691087       	4.166630       	0.010417       	0.401145       	0.052369       	0.002847       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15606.370898   	105.750677     	66.661858      	0.656955       	0.000000       	0.656955       	3.420204       	0.008551       	0.562875       	0.048519       	0.002522       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15605.728968   	108.878512     	63.612426      	0.641930       	0.000000       	0.641930       	3.181723       	0.007954       	0.509639       	0.045934       	0.002343       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15605.086843   	112.028265     	60.727982      	0.642125       	0.000000       	0.642125       	3.202601       	0.008007       	0.323967       	0.044841       	0.002262       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15604.426625   	115.386247     	57.497905      	0.660218       	0.000000       	0.660218       	3.411621       	0.008529       	0.478675       	0.045110       	0.002262       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15603.772767   	118.499674     	54.326123      	0.653857       	0.000000       	0.653857       	3.165535       	0.007914       	0.660104       	0.044194       	0.002171       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15603.140574   	121.220687     	51.649638      	0.632193       	0.000000       	0.632193       	2.770272       	0.006926       	0.538406       	0.042334       	0.002045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15602.523585   	128.048777     	59.842723      	0.616989       	0.000000       	0.616989       	3.126627       	0.007817       	0.547277       	0.040721       	0.001949       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15601.830040   	130.826056     	57.426072      	0.693545       	0.000000       	0.693545       	2.823425       	0.007059       	0.286771       	0.039087       	0.001852       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15601.207151   	133.223606     	55.375710      	0.622889       	0.000000       	0.622889       	2.441062       	0.006103       	0.232189       	0.037409       	0.001770       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15600.620980   	135.571971     	53.311340      	0.586171       	0.000000       	0.586171       	2.390410       	0.005976       	0.260132       	0.036069       	0.001711       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15600.033221   	138.154821     	51.040196      	0.587758       	0.000000       	0.587758       	2.625810       	0.006565       	0.233091       	0.036395       	0.001737       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15599.481879   	140.355084     	49.066437      	0.551343       	0.000000       	0.551343       	2.240897       	0.005602       	0.284205       	0.035032       	0.001641       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15598.924799   	142.696300     	47.015475      	0.557080       	0.000000       	0.557080       	2.382182       	0.005955       	0.225860       	0.035010       	0.001657       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15598.385230   	174.826963     	119.489802     	0.539569       	0.000000       	0.539569       	5.929800       	0.014824       	0.885442       	0.034313       	0.001605       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15597.862964   	180.098041     	113.645471     	0.522266       	0.000000       	0.522266       	5.317595       	0.013294       	1.049002       	0.033224       	0.001550       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15597.317561   	186.282142     	107.168549     	0.545403       	0.000000       	0.545403       	6.233782       	0.015584       	0.788542       	0.034096       	0.001613       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15596.769704   	192.223907     	100.720631     	0.547858       	0.000000       	0.547858       	5.991317       	0.014978       	1.004459       	0.034574       	0.001626       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15596.216236   	197.999608     	94.595215      	0.553468       	0.000000       	0.553468       	5.825160       	0.014563       	0.853724       	0.034896       	0.001643       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15595.661698   	203.421322     	88.866622      	0.554538       	0.000000       	0.554538       	5.470390       	0.013676       	0.812741       	0.034999       	0.001645       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15595.125840   	208.001839     	84.193047      	0.535859       	0.000000       	0.535859       	4.626201       	0.011566       	0.583233       	0.034119       	0.001596       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15594.610664   	211.967872     	80.200795      	0.515176       	0.000000       	0.515176       	4.008931       	0.010022       	0.498497       	0.032876       	0.001538       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15594.107618   	215.685758     	76.328789      	0.503046       	0.000000       	0.503046       	3.759270       	0.009398       	0.615782       	0.031986       	0.001503       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15593.594651   	219.710238     	72.134154      	0.512967       	0.000000       	0.512967       	4.066901       	0.010167       	0.640702       	0.032254       	0.001532       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15593.506438   	219.667204     	72.038349      	0.088213       	0.000000       	0.088213       	0.023846       	0.000060       	0.160172       	0.066820       	0.000075       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15593.082892   	223.003942     	68.582993      	0.423546       	0.000000       	0.423546       	3.710082       	0.009476       	0.168819       	0.363868       	0.008859       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15592.495191   	226.860154     	64.527110      	0.587702       	0.000000       	0.587702       	4.230613       	0.010657       	0.412972       	0.363745       	0.018789       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15591.802685   	230.808351     	60.505181      	0.692506       	0.000000       	0.692506       	4.347047       	0.011272       	0.367388       	0.387578       	0.022998       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15591.124152   	243.511893     	77.250116      	0.678533       	0.000000       	0.678533       	5.762745       	0.014900       	0.670328       	0.341704       	0.027164       	0.202598       	0.000525       	0.000000       	0.000000       
2005-02-13	15590.430077   	248.153576     	71.610411      	0.694075       	0.000000       	0.694075       	5.738768       	0.014474       	0.593228       	0.293877       	0.026586       	0.788736       	0.001785       	0.000000       	0.000000       
2005-02-14	15589.755003   	251.822525     	66.791952      	0.675074       	0.000000       	0.675074       	4.905640       	0.012450       	0.585887       	0.260160       	0.025977       	0.964080       	0.002007       	0.000000       	0.000000       
2005-02-15	15589.076899   	255.435360     	62.519471      	0.678104       	0.000000       	0.678104       	4.508404       	0.011323       	0.440899       	0.235147       	0.025211       	0.649099       	0.001281       	0.000000       	0.000000       
2005-02-16	15588.393998   	258.829921     	58.411166      	0.682900       	0.000000       	0.682900       	4.181961       	0.010456       	0.608193       	0.223665       	0.024524       	0.553280       	0.001051       	0.000000       	0.000000       
2005-02-17	15587.716834   	261.798238     	54.882849      	0.677165       	0.000000       	0.677165       	3.704647       	0.009263       	0.499883       	0.214629       	0.023825       	0.512438       	0.000952       	0.000000       	0.000000       
2005-02-18	15587.050164   	264.391816     	51.854245      	0.666669       	0.000000       	0.666669       	3.275593       	0.008192       	0.418820       	0.205507       	0.023002       	0.468317       	0.000859       	0.000000       	0.000000       
2005-02-19	15586.382311   	266.885133     	49.001149      	0.667854       	0.000000       	0.667854       	3.115944       	0.007793       	0.404245       	0.199728       	0.022522       	0.415107       	0.000761       	0.000000       	0.000000       
2005-02-20	15585.699568   	269.404865     	46.269135      	0.682742       	0.000000       	0.682742       	3.105094       	0.007767       	0.308961       	0.198452       	0.022460       	0.379142       	0.000702       	0.000000       	0.000000       
2005-02-21	15585.008133   	271.852595     	43.547433      	0.691436       	0.000000       	0.691436       	2.961000       	0.007408       	0.451555       	0.197630       	0.022389       	0.308233       	0.000582       	0.000000       	0.000000       
2005-02-22	15584.302788   	274.227292     	41.080584      	0.705344       	0.000000       	0.705344       	2.823482       	0.007063       	0.348239       	0.197710       	0.022420       	0.244011       	0.000473       	0.000000       	0.000000       
2005-02-23	15583.605276   	276.341778     	39.062661      	0.697512       	0.000000       	0.697512       	2.434480       	0.006091       	0.280718       	0.194520       	0.021995       	0.119382       	0.000238       	0.000000       	0.000000       
2005-02-24	15582.904203   	278.467732     	37.169437      	0.701073       	0.000000       	0.701073       	2.325047       	0.005819       	0.269250       	0.193274       	0.021843       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15582.198085   	280.371981     	35.519859      	0.706118       	0.000000       	0.706118       	2.100995       	0.005261       	0.254701       	0.191485       	0.021600       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15581.319998   	299.916846     	75.868766      	0.878088       	0.000000       	0.878088       	4.995447       	0.012499       	0.533727       	0.435003       	0.068103       	0.003079       	0.000007       	0.000000       	0.000000       
2005-02-27	15580.489569   	303.952241     	71.852121      	0.830429       	0.000000       	0.830429       	4.515794       	0.011302       	0.330944       	0.320959       	0.045762       	0.148138       	0.000335       	0.000000       	0.000000       
2005-02-28	15579.675932   	308.034509     	67.666829      	0.813637       	0.000000       	0.813637       	4.519482       	0.011332       	0.479102       	0.275320       	0.039670       	0.150562       	0.000346       	0.000000       	0.000000       
2005-03-01	15578.919235   	311.938291     	63.584245      	0.756696       	0.000000       	0.756696       	4.230872       	0.010594       	0.608236       	0.243235       	0.032371       	0.073261       	0.000172       	0.000000       	0.000000       
2005-03-02	15578.218854   	315.439971     	59.917643      	0.700381       	0.000000       	0.700381       	3.739665       	0.009369       	0.627318       	0.228616       	0.029568       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15577.506883   	319.130567     	56.170675      	0.711971       	0.000000       	0.711971       	3.927937       	0.009844       	0.531002       	0.227498       	0.029195       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15576.795903   	322.574682     	52.630069      	0.710980       	0.000000       	0.710980       	3.678277       	0.009225       	0.573309       	0.224937       	0.028502       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15576.097875   	344.882162     	89.013030      	0.698029       	0.000000       	0.698029       	7.545671       	0.018899       	1.769397       	0.219292       	0.027472       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15575.443601   	350.363556     	82.846541      	0.654273       	0.000000       	0.654273       	5.702055       	0.014297       	1.118708       	0.206364       	0.025484       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15574.780516   	355.751622     	76.935507      	0.663086       	0.000000       	0.663086       	5.603382       	0.014058       	0.970738       	0.201258       	0.024741       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	15573.956574   	361.387593     	71.069679      	0.823941       	0.000000       	0.823941       	5.855416       	0.014696       	0.834353       	0.204749       	0.025186       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	15573.189786   	366.431439     	65.977332      	0.766788       	0.000000       	0.766788       	5.261631       	0.013222       	0.597505       	0.204563       	0.024994       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	15572.451960   	370.956699     	61.171981      	0.737826       	0.000000       	0.737826       	4.740113       	0.011930       	0.803064       	0.202922       	0.024690       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	15571.568941   	374.254093     	58.169554      	0.883019       	0.000000       	0.883019       	3.572294       	0.009024       	0.313153       	0.265876       	0.050716       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	15570.717723   	400.155228     	106.367875     	0.851218       	0.000000       	0.851218       	7.609882       	0.019133       	1.292926       	0.410414       	0.077781       	0.029201       	0.000089       	0.000000       	0.000000       
2005-03-13	15569.860666   	407.156334     	98.962221      	0.857057       	0.000000       	0.857057       	7.497812       	0.018860       	0.764426       	0.324204       	0.057811       	0.153641       	0.000472       	0.000000       	0.000000       
2005-03-14	15569.019312   	413.316353     	92.681342      	0.841354       	0.000000       	0.841354       	6.588297       	0.016595       	0.533611       	0.306598       	0.056529       	0.105084       	0.000325       	0.000000       	0.000000       
2005-03-15	15568.175321   	419.707862     	85.942107      	0.843991       	0.000000       	0.843991       	6.711233       	0.016919       	0.871993       	0.302805       	0.053928       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-16	15567.360325   	425.877102     	79.345543      	0.814996       	0.000000       	0.814996       	6.469427       	0.016334       	0.942132       	0.283853       	0.044995       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-17	15566.592367   	431.436167     	73.312412      	0.767958       	0.000000       	0.767958       	5.844588       	0.014793       	0.956502       	0.270729       	0.041209       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-18	15565.842801   	436.510408     	67.710896      	0.749566       	0.000000       	0.749566       	5.350803       	0.013583       	1.000279       	0.262980       	0.039104       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-19	15565.097483   	451.149902     	81.913974      	0.745318       	0.000000       	0.745318       	7.415913       	0.018772       	1.626328       	0.257648       	0.037599       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-20	15564.338161   	457.777573     	74.625819      	0.759322       	0.000000       	0.759322       	6.901788       	0.017515       	1.145689       	0.256601       	0.036928       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-21	15563.550837   	460.614266     	71.485924      	0.787343       	0.000000       	0.787343       	3.535908       	0.012521       	0.389458       	0.684823       	0.125026       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-22	15562.901908   	462.656651     	68.832830      	0.648964       	0.000000       	0.648964       	3.002721       	0.011044       	0.296737       	0.852102       	0.088605       	0.094958       	0.000327       	0.000000       	0.000000       
2005-03-23	15562.436424   	464.282211     	66.411717      	0.465537       	0.000000       	0.465537       	2.526298       	0.007054       	0.356529       	0.729309       	0.055710       	0.161142       	0.000552       	0.000000       	0.000000       
2005-03-24	15561.854903   	466.399140     	63.859395      	0.581613       	0.000000       	0.581613       	2.953780       	0.007811       	0.175825       	0.660601       	0.070291       	0.164722       	0.000555       	0.000000       	0.000000       
2005-03-25	15561.199649   	468.760962     	60.899140      	0.655449       	0.000000       	0.655449       	3.178933       	0.008552       	0.425018       	0.628242       	0.065166       	0.169197       	0.000562       	0.000000       	0.000000       
2005-03-26	15560.517585   	471.231058     	57.772904      	0.682503       	0.000000       	0.682503       	3.255136       	0.008952       	0.524565       	0.571788       	0.076374       	0.175909       	0.000576       	0.000000       	0.000000       
2005-03-27	15559.804004   	473.826979     	54.323710      	0.714377       	0.000000       	0.714377       	3.340669       	0.008875       	0.782393       	0.508023       	0.078932       	0.188173       	0.000608       	0.000000       	0.000000       
2005-03-28	15558.883868   	475.909136     	51.949695      	0.921701       	0.000000       	0.921701       	2.810190       	0.007755       	0.433275       	0.453041       	0.076501       	0.210735       	0.000669       	0.000000       	0.000000       
2005-03-29	15558.008735   	477.700348     	49.762061      	0.877241       	0.000000       	0.877241       	2.522260       	0.006849       	0.472808       	0.408346       	0.074020       	0.243724       	0.000758       	0.000000       	0.000000       
2005-03-30	15557.126986   	478.813608     	48.350153      	0.884605       	0.000000       	0.884605       	1.908967       	0.004906       	0.313347       	0.371009       	0.069071       	0.312955       	0.000950       	0.000000       	0.000000       
2005-03-31	15556.406923   	479.419563     	47.176739      	0.723028       	0.000000       	0.723028       	1.457291       	0.003776       	0.347486       	0.333071       	0.061428       	0.382248       	0.001132       	0.000000       	0.000000       
2005-04-01	15555.748834   	479.742078     	46.026826      	0.661628       	0.000000       	0.661628       	1.290713       	0.003379       	0.429778       	0.310634       	0.057695       	0.462756       	0.001340       	0.000000       	0.000000       
2005-04-02	15555.148938   	484.380637     	55.415459      	0.603735       	0.000000       	0.603735       	1.874258       	0.004824       	0.513221       	0.287029       	0.053361       	0.496713       	0.001413       	0.000000       	0.000000       
2005-04-03	15554.522243   	485.528097     	53.386269      	0.631765       	0.000000       	0.631765       	2.171053       	0.005573       	0.420054       	0.285565       	0.053748       	0.499476       	0.001403       	0.000000       	0.000000       
