DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15579.330953   	48.886728      	96.369403      	85.020147      	0.000000       	85.020147      	8.160124       	0.020400       	0.740620       	0.002996       	0.000155       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15578.237933   	56.037897      	89.461572      	1.093020       	0.000000       	1.093020       	7.171793       	0.017929       	0.829058       	0.002695       	0.000123       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15577.181898   	62.538098      	83.101525      	1.056034       	0.000000       	1.056034       	6.519049       	0.016298       	0.897032       	0.002550       	0.000107       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15576.111091   	67.942755      	78.210497      	1.070807       	0.000000       	1.070807       	5.420313       	0.013551       	0.541523       	0.002105       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15575.093917   	73.082010      	73.429840      	1.017175       	0.000000       	1.017175       	5.154232       	0.012886       	0.643599       	0.002091       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15574.139997   	77.801855      	69.324517      	0.953919       	0.000000       	0.953919       	4.733726       	0.011834       	0.325517       	0.002047       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15573.193214   	82.637507      	64.903824      	0.946783       	0.000000       	0.946783       	4.849880       	0.012125       	0.517596       	0.002104       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15572.285522   	91.116625      	71.684780      	0.907693       	0.000000       	0.907693       	4.742988       	0.011857       	0.633748       	0.002012       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15571.432586   	95.386550      	67.575492      	0.852936       	0.000000       	0.852936       	4.282604       	0.010707       	0.679621       	0.001972       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15570.576286   	99.912042      	63.438755      	0.856300       	0.000000       	0.856300       	4.538881       	0.011347       	0.454156       	0.002042       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15569.719778   	104.437391     	59.247245      	0.856508       	0.000000       	0.856508       	4.538796       	0.011347       	0.509222       	0.002100       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15568.877774   	107.750762     	56.536372      	0.842003       	0.000000       	0.842003       	3.323627       	0.008309       	0.229250       	0.001946       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15568.067875   	111.130671     	53.678898      	0.809899       	0.000000       	0.809899       	3.390355       	0.008476       	0.277017       	0.001971       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15567.278370   	114.577425     	50.785987      	0.789505       	0.000000       	0.789505       	3.457410       	0.008644       	0.225007       	0.002012       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15566.525589   	126.559572     	68.958241      	0.752781       	0.000000       	0.752781       	4.495385       	0.011238       	0.585142       	0.001999       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15565.793599   	130.787776     	64.939173      	0.731991       	0.000000       	0.731991       	4.240811       	0.010602       	0.510247       	0.002006       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15565.077079   	134.800883     	61.323322      	0.716520       	0.000000       	0.716520       	4.025187       	0.010063       	0.307184       	0.002017       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15564.392696   	138.307489     	58.144492      	0.684383       	0.000000       	0.684383       	3.517377       	0.008793       	0.345837       	0.001978       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15563.734144   	141.484873     	55.102738      	0.658552       	0.000000       	0.658552       	3.187299       	0.007968       	0.513006       	0.001946       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15563.099555   	144.387666     	52.326100      	0.634589       	0.000000       	0.634589       	2.911987       	0.007280       	0.499241       	0.001914       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15562.481230   	147.129104     	49.854872      	0.618325       	0.000000       	0.618325       	2.750214       	0.006876       	0.339338       	0.001901       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15561.869902   	158.517323     	68.724148      	0.611328       	0.000000       	0.611328       	3.899881       	0.009750       	0.342172       	0.001912       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15561.263076   	162.322356     	64.980664      	0.606827       	0.000000       	0.606827       	3.816507       	0.009541       	0.533804       	0.001932       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15560.655183   	166.109067     	61.282960      	0.607893       	0.000000       	0.607893       	3.798175       	0.009495       	0.507421       	0.001969       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15560.059711   	169.532593     	58.063366      	0.595471       	0.000000       	0.595471       	3.434078       	0.008585       	0.380987       	0.001967       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15559.463786   	172.933484     	54.924868      	0.595926       	0.000000       	0.595926       	3.411417       	0.008529       	0.323006       	0.001998       	0.000071       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15558.854476   	176.496420     	51.540756      	0.609309       	0.000000       	0.609309       	3.573942       	0.008935       	0.419480       	0.002072       	0.000075       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15558.239751   	179.616739     	48.662866      	0.614725       	0.000000       	0.614725       	3.130216       	0.007826       	0.362400       	0.002071       	0.000075       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15557.592085   	198.267782     	90.256749      	0.647666       	0.000000       	0.647666       	3.676031       	0.009190       	0.377752       	0.015799       	0.007267       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15556.875549   	202.970829     	85.902959      	0.716536       	0.000000       	0.716536       	4.732146       	0.011830       	0.338180       	0.017268       	0.007755       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15556.165873   	207.707666     	81.434115      	0.709675       	0.000000       	0.709675       	4.754520       	0.011886       	0.423999       	0.005797       	0.001903       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15555.451986   	212.537712     	76.880366      	0.713887       	0.000000       	0.713887       	4.845035       	0.012113       	0.422602       	0.002876       	0.000318       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15554.775392   	217.099652     	72.518213      	0.676594       	0.000000       	0.676594       	4.576055       	0.011440       	0.462692       	0.002675       	0.000253       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15554.113591   	221.621475     	67.917389      	0.661801       	0.000000       	0.661801       	4.535326       	0.011338       	0.727299       	0.002165       	0.000086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15553.430625   	226.477549     	63.126584      	0.682965       	0.000000       	0.682965       	4.870533       	0.012176       	0.603238       	0.002283       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15552.736654   	249.819917     	99.154654      	0.693971       	0.000000       	0.693971       	8.365666       	0.020914       	1.300235       	0.002384       	0.000097       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15552.045929   	257.414290     	91.452739      	0.690726       	0.000000       	0.690726       	7.615854       	0.019040       	0.776786       	0.002442       	0.000101       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15551.376928   	263.939203     	85.052747      	0.669001       	0.000000       	0.669001       	6.543712       	0.016359       	0.525281       	0.002440       	0.000101       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15550.733412   	269.566541     	79.287045      	0.643515       	0.000000       	0.643515       	5.643857       	0.014110       	0.765360       	0.002409       	0.000101       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15550.086731   	275.152322     	73.498358      	0.646681       	0.000000       	0.646681       	5.602234       	0.014006       	0.833134       	0.002448       	0.000104       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15549.381558   	278.958823     	70.008006      	0.705173       	0.000000       	0.705173       	3.840168       	0.009600       	0.355357       	0.024067       	0.011614       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15548.748252   	281.675533     	67.428842      	0.633306       	0.000000       	0.633306       	2.948653       	0.007373       	0.263817       	0.224569       	0.051407       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15548.146448   	305.434422     	118.657309     	0.601804       	0.000000       	0.601804       	5.109726       	0.012774       	0.513611       	0.088063       	0.027142       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15547.494906   	311.846539     	112.335377     	0.651542       	0.000000       	0.651542       	6.519263       	0.016298       	0.454211       	0.090848       	0.027855       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15546.873653   	317.969266     	106.048024     	0.621253       	0.000000       	0.621253       	6.212997       	0.015532       	0.695610       	0.074737       	0.021061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15546.278424   	323.703634     	99.991693      	0.595228       	0.000000       	0.595228       	5.808526       	0.014521       	0.843033       	0.059636       	0.015764       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15545.673965   	329.731998     	93.752685      	0.604459       	0.000000       	0.604459       	6.098419       	0.015246       	0.745049       	0.054809       	0.014140       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15545.067515   	335.526176     	87.721440      	0.606450       	0.000000       	0.606450       	5.857755       	0.014644       	0.779940       	0.048933       	0.012454       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15544.413610   	342.029817     	80.828616      	0.653905       	0.000000       	0.653905       	6.569753       	0.016424       	0.976976       	0.049688       	0.012440       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15543.598452   	370.724337     	126.609275     	0.815158       	0.000000       	0.815158       	10.151072      	0.025378       	1.133426       	0.181175       	0.060292       	0.000000       	0.000000       	0.000000       	0.000000       
