DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15606.257173   	40.615018      	63.114558      	58.093927      	0.000000       	58.093927      	3.626281       	0.009066       	0.353089       	0.002197       	0.000106       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15605.395826   	43.930690      	60.329705      	0.861347       	0.000000       	0.861347       	3.326004       	0.008315       	0.320195       	0.002018       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15604.592047   	46.797198      	57.912851      	0.803779       	0.000000       	0.803779       	2.875345       	0.007188       	0.345288       	0.001648       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15603.778757   	49.880032      	55.281481      	0.813290       	0.000000       	0.813290       	3.092266       	0.007731       	0.352393       	0.001701       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15602.929463   	52.476131      	53.391845      	0.849294       	0.000000       	0.849294       	2.607843       	0.006520       	0.131088       	0.005224       	0.000883       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15602.070639   	55.181982      	51.345742      	0.858824       	0.000000       	0.858824       	2.716457       	0.006791       	0.188470       	0.003815       	0.000576       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15601.193314   	57.761775      	49.425637      	0.877325       	0.000000       	0.877325       	2.597269       	0.006493       	0.200160       	0.010983       	0.002157       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15600.426088   	76.308840      	91.285294      	0.767226       	0.000000       	0.767226       	3.624058       	0.009060       	0.283511       	0.067933       	0.008101       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15599.680508   	79.782770      	88.120583      	0.745580       	0.000000       	0.745580       	3.617519       	0.009663       	0.292772       	0.133926       	0.013038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15598.996627   	82.670594      	85.552248      	0.683881       	0.000000       	0.683881       	3.047215       	0.008742       	0.205002       	0.150648       	0.013713       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15598.339906   	85.460449      	83.082212      	0.656721       	0.000000       	0.656721       	2.896006       	0.009008       	0.230751       	0.097144       	0.008355       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15597.662622   	88.634518      	80.242070      	0.677284       	0.000000       	0.677284       	3.261887       	0.008235       	0.255538       	0.079584       	0.007393       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15597.005210   	91.779359      	77.276385      	0.657411       	0.000000       	0.657411       	3.222929       	0.008057       	0.400168       	0.070031       	0.007058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15596.333365   	95.359387      	73.774596      	0.671845       	0.000000       	0.671845       	3.657272       	0.009143       	0.516362       	0.068101       	0.006213       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15595.635163   	99.356253      	69.827971      	0.698202       	0.000000       	0.698202       	4.072943       	0.010182       	0.571884       	0.065895       	0.005675       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15594.911465   	102.650156     	66.907806      	0.723698       	0.000000       	0.723698       	3.363798       	0.008409       	0.280065       	0.061485       	0.005104       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15594.293754   	104.913715     	64.880768      	0.617711       	0.000000       	0.617711       	2.492311       	0.010069       	0.152438       	0.218684       	0.012940       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15593.669604   	107.026032     	63.101570      	0.624149       	0.000000       	0.624149       	2.269408       	0.009116       	0.133940       	0.147975       	0.013423       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15593.053200   	109.200941     	61.268987      	0.616405       	0.000000       	0.616405       	2.292688       	0.008493       	0.156300       	0.109287       	0.009685       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15592.499457   	110.954112     	59.791244      	0.553742       	0.000000       	0.553742       	1.840965       	0.005095       	0.190519       	0.082699       	0.008006       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15592.010559   	112.389828     	58.602055      	0.488898       	0.000000       	0.488898       	1.505089       	0.003763       	0.172999       	0.065610       	0.006495       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15591.506231   	114.216813     	57.040238      	0.504328       	0.000000       	0.504328       	1.898615       	0.004747       	0.167530       	0.066884       	0.006334       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15591.039228   	115.750104     	55.710420      	0.467003       	0.000000       	0.467003       	1.594408       	0.003986       	0.202412       	0.057131       	0.004940       	0.000000       	0.000000       	0.000000       	0.000000       
