DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.360286   	44.861739      	78.789515      	62.990814      	0.000000       	62.990814      	4.124330       	0.010311       	0.326969       	0.002280       	0.000121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.508443   	48.743341      	75.399836      	0.851843       	0.000000       	0.851843       	3.893392       	0.009733       	0.348131       	0.002057       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.722444   	52.084631      	72.439280      	0.785999       	0.000000       	0.785999       	3.351501       	0.008379       	0.395054       	0.001831       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.942526   	55.565235      	69.211043      	0.779918       	0.000000       	0.779918       	3.490953       	0.008727       	0.517203       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.171529   	59.025668      	66.163613      	0.770997       	0.000000       	0.770997       	3.470730       	0.008677       	0.347696       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.434343   	62.120751      	63.547984      	0.737185       	0.000000       	0.737185       	3.104411       	0.007761       	0.248403       	0.001567       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.700389   	65.275278      	60.659135      	0.733955       	0.000000       	0.733955       	3.164023       	0.007910       	0.458781       	0.001585       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.905788   	77.497954      	78.722047      	0.794601       	0.000000       	0.794601       	4.736184       	0.011840       	0.495505       	0.001668       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.134199   	81.966556      	74.551056      	0.771589       	0.000000       	0.771589       	4.481482       	0.011204       	0.461098       	0.001677       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.369345   	86.347825      	70.536943      	0.764854       	0.000000       	0.764854       	4.393965       	0.010985       	0.385002       	0.001711       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.626445   	89.060521      	68.387701      	0.742900       	0.000000       	0.742900       	2.744375       	0.006861       	0.147767       	0.024818       	0.006333       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.031215   	90.694984      	67.173922      	0.595230       	0.000000       	0.595230       	1.699927       	0.004250       	0.109082       	0.061214       	0.010588       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.458911   	92.373848      	65.907951      	0.572304       	0.000000       	0.572304       	1.734357       	0.004336       	0.103919       	0.051156       	0.007859       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.906016   	94.094328      	64.572975      	0.552896       	0.000000       	0.552896       	1.757857       	0.004395       	0.130014       	0.032983       	0.005517       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.324132   	116.775051     	117.079077     	0.581884       	0.000000       	0.581884       	3.977331       	0.009943       	0.348452       	0.036664       	0.006023       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15590.761326   	120.507224     	113.467943     	0.562806       	0.000000       	0.562806       	3.775857       	0.009440       	0.398082       	0.034244       	0.005526       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.195966   	124.617061     	109.310917     	0.565360       	0.000000       	0.565360       	4.153211       	0.010383       	0.569174       	0.032991       	0.004892       	0.000000       	0.000000       	0.000000       	0.000000       
