DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15599.968039   	41.346097      	68.419782      	64.383061      	0.000000       	64.383061      	4.359285       	0.010898       	0.603994       	0.002290       	0.000110       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15599.052276   	45.308275      	64.944090      	0.915763       	0.000000       	0.915763       	3.974230       	0.009936       	0.417225       	0.002116       	0.000091       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15598.173696   	48.929663      	61.916328      	0.878580       	0.000000       	0.878580       	3.632257       	0.009081       	0.274084       	0.001788       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15597.376915   	51.787948      	59.545118      	0.796781       	0.000000       	0.796781       	2.867084       	0.007168       	0.300908       	0.001631       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15596.614731   	54.495305      	57.254394      	0.762184       	0.000000       	0.762184       	2.715736       	0.006789       	0.337173       	0.001589       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15595.862706   	57.254783      	54.820441      	0.752025       	0.000000       	0.752025       	2.767988       	0.006920       	0.417989       	0.001591       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15595.106893   	60.111361      	52.317924      	0.755813       	0.000000       	0.755813       	2.865367       	0.007163       	0.392963       	0.001626       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15594.315260   	72.204522      	70.479911      	0.791633       	0.000000       	0.791633       	4.606413       	0.011516       	0.523232       	0.001736       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15593.514408   	76.723148      	66.057140      	0.800852       	0.000000       	0.800852       	4.531745       	0.011329       	0.691879       	0.001789       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15592.698651   	81.254077      	61.567830      	0.815757       	0.000000       	0.815757       	4.544153       	0.011360       	0.760914       	0.001863       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15591.873595   	85.689335      	57.322433      	0.825056       	0.000000       	0.825056       	4.448306       	0.011121       	0.622147       	0.001927       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15591.055314   	89.796380      	53.345895      	0.818281       	0.000000       	0.818281       	4.119300       	0.010298       	0.675519       	0.001958       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15590.262293   	93.412511      	50.008079      	0.793021       	0.000000       	0.793021       	3.627145       	0.009068       	0.503692       	0.001946       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15589.493764   	96.673134      	47.099534      	0.768529       	0.000000       	0.768529       	3.270732       	0.008177       	0.406341       	0.001932       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15588.737015   	99.794579      	44.073604      	0.756749       	0.000000       	0.756749       	3.131221       	0.007828       	0.651459       	0.001948       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15587.988089   	102.778954     	41.435884      	0.748926       	0.000000       	0.748926       	2.993832       	0.007485       	0.392813       	0.001973       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15587.280989   	105.254600     	39.057810      	0.707099       	0.000000       	0.707099       	2.483767       	0.006209       	0.601407       	0.001911       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15586.550970   	108.016534     	36.556043      	0.730019       	0.000000       	0.730019       	2.770871       	0.006927       	0.460915       	0.002010       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15585.828235   	110.589895     	34.362683      	0.722735       	0.000000       	0.722735       	2.581857       	0.006455       	0.334238       	0.002040       	0.000065       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15585.097984   	113.139028     	31.998415      	0.730251       	0.000000       	0.730251       	2.557635       	0.006394       	0.536884       	0.002108       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15584.388898   	115.365118     	30.124951      	0.709086       	0.000000       	0.709086       	2.233775       	0.005584       	0.348776       	0.002101       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15583.712755   	117.261924     	28.701193      	0.676142       	0.000000       	0.676142       	1.903618       	0.004759       	0.196283       	0.002052       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15583.081554   	118.835512     	27.587383      	0.631201       	0.000000       	0.631201       	1.579496       	0.003949       	0.165515       	0.001960       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15582.486053   	120.228451     	26.656255      	0.595501       	0.000000       	0.595501       	1.398317       	0.003496       	0.128312       	0.001882       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15581.907744   	121.579520     	25.729119      	0.578309       	0.000000       	0.578309       	1.356314       	0.003391       	0.149131       	0.001854       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15581.323664   	123.004978     	24.757324      	0.584080       	0.000000       	0.584080       	1.430932       	0.003577       	0.124942       	0.001897       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15580.742188   	124.376446     	23.838874      	0.581476       	0.000000       	0.581476       	1.376833       	0.003442       	0.123093       	0.001922       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15580.152111   	125.747970     	22.929051      	0.590077       	0.000000       	0.590077       	1.376945       	0.003442       	0.122955       	0.001979       	0.000071       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15579.556635   	127.063694     	22.057408      	0.595476       	0.000000       	0.595476       	1.321059       	0.003303       	0.146060       	0.002032       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15578.938244   	128.347875     	21.222826      	0.618391       	0.000000       	0.618391       	1.289520       	0.003224       	0.163453       	0.002116       	0.000078       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15578.347713   	129.394647     	20.680000      	0.590532       	0.000000       	0.590532       	1.051474       	0.002629       	0.081883       	0.002074       	0.000076       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15577.717726   	130.443793     	20.142230      	0.629986       	0.000000       	0.629986       	1.053916       	0.002635       	0.113840       	0.002135       	0.000081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15577.104391   	131.416652     	19.693086      	0.613335       	0.000000       	0.613335       	0.977472       	0.002444       	0.085008       	0.002169       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15576.512775   	132.296603     	19.292974      	0.591616       	0.000000       	0.591616       	0.884320       	0.002211       	0.107408       	0.002159       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15575.938617   	133.107671     	18.915579      	0.574157       	0.000000       	0.574157       	0.815248       	0.002038       	0.136304       	0.002142       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15575.361894   	133.903083     	18.602265      	0.576723       	0.000000       	0.576723       	0.799591       	0.001999       	0.090445       	0.002180       	0.000086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15574.815919   	134.610739     	18.343262      	0.545976       	0.000000       	0.545976       	0.711554       	0.001779       	0.093425       	0.002120       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15574.257556   	135.337383     	18.075052      	0.558363       	0.000000       	0.558363       	0.730643       	0.001827       	0.095930       	0.002172       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15573.704773   	136.036936     	17.836447      	0.552782       	0.000000       	0.552782       	0.703506       	0.001759       	0.087882       	0.002194       	0.000090       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15573.149466   	136.728426     	17.593372      	0.555307       	0.000000       	0.555307       	0.695457       	0.001739       	0.102925       	0.002228       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.610048   	137.378881     	17.373202      	0.539418       	0.000000       	0.539418       	0.654299       	0.001636       	0.105289       	0.002208       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.954584   	138.020363     	17.302370      	0.655464       	0.000000       	0.655464       	0.660637       	0.001652       	0.065658       	0.017503       	0.006825       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.342795   	138.658672     	17.149931      	0.611789       	0.000000       	0.611789       	0.709565       	0.001774       	0.054663       	0.069483       	0.019574       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.704285   	139.310235     	17.046959      	0.638510       	0.000000       	0.638510       	0.718306       	0.001796       	0.023176       	0.064947       	0.014963       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.059376   	140.005610     	16.887809      	0.644909       	0.000000       	0.644909       	0.753331       	0.001883       	0.050727       	0.056073       	0.012241       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.375729   	140.777852     	16.659942      	0.683647       	0.000000       	0.683647       	0.838638       	0.002097       	0.072876       	0.064300       	0.013593       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15568.683861   	141.589886     	16.408203      	0.691868       	0.000000       	0.691868       	0.859413       	0.002149       	0.084194       	0.045230       	0.008088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15567.979997   	142.396037     	16.140169      	0.703864       	0.000000       	0.703864       	0.847734       	0.002119       	0.124163       	0.039464       	0.006680       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15567.321693   	143.081242     	16.012435      	0.658305       	0.000000       	0.658305       	0.717396       	0.001793       	0.068643       	0.030397       	0.005102       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15566.641675   	143.762524     	15.888615      	0.680017       	0.000000       	0.680017       	0.712398       	0.001781       	0.091440       	0.029335       	0.004838       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15565.906370   	144.468542     	15.788070      	0.735305       	0.000000       	0.735305       	0.737164       	0.001843       	0.098686       	0.029303       	0.004755       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15565.160708   	145.143738     	15.719444      	0.745662       	0.000000       	0.745662       	0.703144       	0.001758       	0.111143       	0.026191       	0.004225       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15564.447384   	145.766895     	15.708689      	0.713324       	0.000000       	0.713324       	0.646290       	0.001616       	0.077789       	0.021517       	0.003378       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15563.709005   	146.393490     	15.698842      	0.738379       	0.000000       	0.738379       	0.648756       	0.001622       	0.099469       	0.020539       	0.003211       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15562.891392   	146.978890     	15.860751      	0.817613       	0.000000       	0.817613       	0.618892       	0.001547       	0.036812       	0.031945       	0.007239       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15562.075084   	147.589223     	16.011886      	0.816308       	0.000000       	0.816308       	0.631450       	0.001579       	0.033724       	0.019539       	0.003356       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15561.276845   	148.232872     	16.078018      	0.798239       	0.000000       	0.798239       	0.664244       	0.001661       	0.067863       	0.018934       	0.002961       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15560.487647   	148.904465     	16.108874      	0.789198       	0.000000       	0.789198       	0.691824       	0.001730       	0.066517       	0.018501       	0.002869       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15559.691631   	149.604826     	16.104416      	0.796015       	0.000000       	0.796015       	0.720347       	0.001801       	0.080127       	0.018186       	0.002793       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15558.782016   	150.322403     	16.197340      	0.909616       	0.000000       	0.909616       	0.787234       	0.001968       	0.029457       	0.067689       	0.018208       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15557.910952   	150.952743     	16.300158      	0.871064       	0.000000       	0.871064       	0.731111       	0.001828       	0.037135       	0.098943       	0.023537       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15557.065088   	151.490549     	16.401864      	0.845864       	0.000000       	0.845864       	0.715029       	0.001788       	0.029128       	0.175436       	0.037867       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15556.230487   	152.079282     	16.517422      	0.834601       	0.000000       	0.834601       	0.683741       	0.001709       	0.035303       	0.093298       	0.020808       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15555.432122   	152.681300     	16.584646      	0.798364       	0.000000       	0.798364       	0.682842       	0.001707       	0.048298       	0.079116       	0.016732       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15554.657332   	153.270671     	16.639010      	0.774790       	0.000000       	0.774790       	0.650483       	0.001626       	0.069943       	0.059486       	0.011966       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15553.891789   	153.869526     	16.699040      	0.765543       	0.000000       	0.765543       	0.654539       	0.001636       	0.050975       	0.054048       	0.010664       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	15553.133007   	154.470728     	16.753768      	0.758782       	0.000000       	0.758782       	0.650910       	0.001627       	0.053143       	0.048080       	0.009417       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	15552.368518   	155.079110     	16.821614      	0.764489       	0.000000       	0.764489       	0.653968       	0.001635       	0.042676       	0.043951       	0.008552       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	15551.610740   	155.690627     	16.848295      	0.757778       	0.000000       	0.757778       	0.652552       	0.001631       	0.078545       	0.039403       	0.007628       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	15550.844816   	156.314649     	16.881558      	0.765924       	0.000000       	0.765924       	0.661828       	0.001655       	0.070834       	0.036151       	0.006847       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	15550.059560   	156.963237     	16.912058      	0.785256       	0.000000       	0.785256       	0.684758       	0.001712       	0.069998       	0.034459       	0.006474       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-13	15549.105417   	157.666964     	17.040294      	0.954143       	0.000000       	0.954143       	0.739366       	0.001848       	0.086541       	0.033790       	0.006278       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-14	15548.163248   	158.337505     	17.209263      	0.942169       	0.000000       	0.942169       	0.723879       	0.001810       	0.049321       	0.051529       	0.011134       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-15	15547.243460   	159.031725     	17.347673      	0.919788       	0.000000       	0.919788       	0.732447       	0.001831       	0.048931       	0.036395       	0.008129       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-16	15546.383920   	159.721020     	17.438848      	0.859540       	0.000000       	0.859540       	0.720396       	0.001801       	0.047969       	0.029300       	0.006023       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-17	15545.591433   	160.389688     	17.472908      	0.792487       	0.000000       	0.792487       	0.695807       	0.001740       	0.062620       	0.025400       	0.005001       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-18	15544.804562   	161.072438     	17.495042      	0.786871       	0.000000       	0.786871       	0.708943       	0.001772       	0.055793       	0.024421       	0.004676       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-19	15544.003792   	161.779702     	17.489957      	0.800771       	0.000000       	0.800771       	0.732977       	0.001832       	0.072879       	0.023880       	0.004465       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-20	15543.194226   	162.495578     	17.501342      	0.809566       	0.000000       	0.809566       	0.740594       	0.001851       	0.057588       	0.022866       	0.004186       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-21	15542.412500   	163.184789     	17.499512      	0.781758       	0.000000       	0.781758       	0.714531       	0.001786       	0.065679       	0.020157       	0.003513       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-22	15541.645041   	163.855360     	17.518705      	0.767579       	0.000000       	0.767579       	0.701639       	0.001754       	0.037029       	0.019083       	0.003294       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-23	15540.880094   	164.511994     	17.510109      	0.765253       	0.000000       	0.765253       	0.703229       	0.001758       	0.052986       	0.018387       	0.003138       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-24	15540.102652   	165.166249     	17.459975      	0.778034       	0.000000       	0.778034       	0.719455       	0.001799       	0.087489       	0.018177       	0.003065       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-25	15539.309472   	165.823848     	17.383878      	0.794117       	0.000000       	0.794117       	0.737551       	0.001844       	0.112543       	0.018015       	0.002993       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-26	15538.491749   	166.507896     	17.333167      	0.819015       	0.000000       	0.819015       	0.764857       	0.001912       	0.086011       	0.018136       	0.002969       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-27	15537.663235   	167.208526     	17.311124      	0.830096       	0.000000       	0.830096       	0.778322       	0.001946       	0.054940       	0.017839       	0.002871       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-28	15536.837938   	167.858425     	17.248243      	0.827353       	0.000000       	0.827353       	0.778266       	0.001946       	0.090716       	0.017215       	0.002723       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-29	15536.012926   	168.471049     	17.127732      	0.827697       	0.000000       	0.827697       	0.781193       	0.001953       	0.146703       	0.016723       	0.002603       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-30	15535.155293   	169.117719     	16.974350      	0.861119       	0.000000       	0.861119       	0.820972       	0.002052       	0.176204       	0.017066       	0.002621       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-31	15534.290005   	169.775946     	16.900711      	0.869343       	0.000000       	0.869343       	0.829599       	0.002074       	0.096546       	0.016710       	0.002511       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-01	15533.451393   	170.372914     	16.859098      	0.843091       	0.000000       	0.843091       	0.800307       	0.002001       	0.065088       	0.015636       	0.002300       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-02	15532.613459   	170.960047     	16.823626      	0.843105       	0.000000       	0.843105       	0.802943       	0.002007       	0.055823       	0.015270       	0.002223       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-03	15531.538812   	171.497664     	17.038002      	1.083647       	0.000000       	1.083647       	0.803493       	0.002009       	0.044045       	0.019043       	0.002936       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-04	15530.567080   	171.959343     	17.099893      	0.980801       	0.000000       	0.980801       	0.811718       	0.002029       	0.084277       	0.014529       	0.002049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-05	15529.629330   	172.397167     	17.156492      	0.947715       	0.000000       	0.947715       	0.809497       	0.002024       	0.058765       	0.014037       	0.001944       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-06	15528.606891   	172.758620     	17.286384      	1.035640       	0.000000       	1.035640       	0.810772       	0.002027       	0.071926       	0.013497       	0.001836       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-07	15527.644198   	173.075909     	17.345441      	0.976722       	0.000000       	0.976722       	0.827220       	0.002068       	0.069332       	0.013192       	0.001767       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-08	15526.563692   	173.645924     	17.483611      	1.097404       	0.000000       	1.097404       	0.838936       	0.002097       	0.112658       	0.014793       	0.002066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-09	15525.429150   	173.673388     	17.709292      	1.157710       	0.000000       	1.157710       	0.851321       	0.002128       	0.062603       	0.033809       	0.005421       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-10	15524.343733   	173.601211     	17.883774      	1.111403       	-0.000007      	1.111396       	0.848559       	0.002121       	0.049072       	0.028298       	0.004343       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-11	15523.324232   	173.253548     	17.980366      	1.048771       	-0.000025      	1.048746       	0.850690       	0.002127       	0.061294       	0.032504       	0.005910       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-12	15522.347623   	172.711171     	18.014811      	1.010508       	-0.000030      	1.010478       	0.868944       	0.002172       	0.072134       	0.014807       	0.002970       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-13	15521.438795   	171.943250     	17.932545      	0.947003       	-0.000031      	0.946972       	0.879398       	0.002198       	0.119943       	0.012042       	0.002084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-14	15520.576783   	170.896583     	17.790149      	0.905741       	-0.000050      	0.905691       	0.879054       	0.002198       	0.139799       	0.010495       	0.001627       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-15	15519.723524   	169.700902     	17.589987      	0.904555       	-0.000097      	0.904458       	0.898654       	0.002247       	0.179240       	0.009442       	0.001340       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-16	15518.723186   	168.614438     	17.653787      	1.066708       	-0.000239      	1.066468       	0.877984       	0.002195       	0.097399       	0.015222       	0.002027       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-17	15517.752849   	166.819834     	17.661447      	1.044905       	-0.000614      	1.044291       	0.921146       	0.002303       	0.081935       	0.006937       	0.000740       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-18	15516.778476   	164.866603     	17.618320      	1.059448       	-0.000878      	1.058570       	0.972961       	0.002432       	0.100008       	0.010784       	0.001313       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-19	15515.904902   	162.251070     	17.377711      	0.962914       	-0.001163      	0.961751       	1.020225       	0.002551       	0.155566       	0.005745       	0.000565       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-20	15515.074322   	161.120845     	17.452297      	0.915517       	-0.001119      	0.914399       	0.770544       	0.002295       	0.047519       	0.481631       	0.059733       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-21	15514.249475   	157.085168     	17.425120      	0.925375       	-0.002365      	0.923009       	0.838694       	0.002097       	0.057355       	0.247695       	0.045458       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-22	15513.476665   	152.449603     	17.241847      	0.887110       	-0.003488      	0.883622       	0.909917       	0.002275       	0.114511       	0.192567       	0.035835       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-23	15512.740862   	147.205901     	16.874351      	0.867815       	-0.004459      	0.863356       	1.026770       	0.002567       	0.172243       	0.138424       	0.025552       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-24	15512.001477   	142.420581     	16.477127      	0.891335       	-0.005171      	0.886163       	1.120720       	0.002802       	0.139076       	0.103575       	0.018475       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-25	15511.246526   	137.358413     	16.038695      	0.928526       	-0.006184      	0.922342       	1.216903       	0.003042       	0.122399       	0.076072       	0.012859       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-26	15510.504287   	131.278247     	15.538636      	0.933230       	-0.007571      	0.925660       	1.280211       	0.003201       	0.125342       	0.051120       	0.008042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-27	15509.780986   	125.260569     	15.034301      	0.926343       	-0.008772      	0.917571       	1.318751       	0.003297       	0.086585       	0.034321       	0.004988       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-28	15509.087141   	121.511824     	14.546319      	0.903753       	-0.009013      	0.894739       	1.295092       	0.003238       	0.080746       	0.023070       	0.003099       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-29	15508.431105   	117.578380     	14.034393      	0.869238       	-0.009229      	0.860009       	1.270351       	0.003176       	0.096487       	0.014959       	0.001834       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-30	15507.800368   	114.192280     	13.559283      	0.845972       	-0.009304      	0.836669       	1.242982       	0.003107       	0.065981       	0.009672       	0.001077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-01	15507.202451   	111.134877     	13.092136      	0.809390       	-0.009161      	0.800229       	1.205123       	0.003013       	0.060475       	0.004851       	0.000326       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-02	15506.469233   	107.692506     	12.785832      	0.989108       	-0.008923      	0.980185       	1.216648       	0.003042       	0.067530       	0.003253       	0.000197       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-03	15505.907766   	104.103579     	12.337622      	0.772880       	-0.008711      	0.764169       	1.151605       	0.002879       	0.059190       	0.002241       	0.000120       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-04	15505.478624   	100.368234     	11.809660      	0.605015       	-0.008336      	0.596678       	1.071138       	0.002678       	0.051137       	0.001489       	0.000069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-05	15504.974070   	97.865878      	11.420132      	0.701902       	-0.007688      	0.694214       	1.031447       	0.002579       	0.051625       	0.001018       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-06	15504.366774   	94.623597      	11.262083      	0.869719       	-0.008470      	0.861248       	0.982389       	0.002456       	0.035110       	0.008045       	0.000188       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-07	15503.796659   	91.365733      	11.097782      	0.820602       	-0.008728      	0.811874       	0.955535       	0.002389       	0.024146       	0.007630       	0.000276       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-08	15503.278848   	87.566564      	10.835148      	0.746638       	-0.008573      	0.738065       	0.973517       	0.002434       	0.023915       	0.001561       	0.000031       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-09	15502.811952   	83.889631      	10.449305      	0.669502       	-0.008100      	0.661402       	0.993981       	0.002485       	0.049918       	0.000256       	0.000004       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-10	15502.510091   	80.637236      	9.837064       	0.439346       	-0.006959      	0.432386       	0.951627       	0.002379       	0.090132       	0.000234       	0.000003       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-11	15502.341297   	78.251830      	9.148061       	0.258438       	-0.006074      	0.252365       	0.862191       	0.002155       	0.077091       	0.000212       	0.000003       	0.000000       	0.000000       	0.000000       	0.000000       
