DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15599.657797   	40.566085      	69.852743      	64.693303      	0.000000       	64.693303      	3.577276       	0.008943       	0.263284       	0.002247       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15598.763439   	44.409948      	66.494167      	0.894358       	0.000000       	0.894358       	3.855679       	0.009639       	0.397255       	0.002177       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15597.878372   	48.127121      	63.214318      	0.885067       	0.000000       	0.885067       	3.728560       	0.009321       	0.436356       	0.002066       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15597.047714   	50.667539      	61.307522      	0.830658       	0.000000       	0.830658       	2.555497       	0.006389       	0.181956       	0.008691       	0.001411       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15596.476445   	52.287810      	60.055062      	0.571269       	0.000000       	0.571269       	1.746158       	0.004872       	0.077572       	0.121014       	0.003494       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15595.763832   	54.335275      	58.500231      	0.712613       	0.000000       	0.712613       	2.144187       	0.005742       	0.123257       	0.090979       	0.005674       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15595.214920   	56.264386      	56.820586      	0.548912       	0.000000       	0.548912       	2.051205       	0.005694       	0.177353       	0.116400       	0.005098       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15594.824967   	66.017987      	77.002576      	0.389953       	0.000000       	0.389953       	2.432267       	0.010299       	0.275695       	0.168367       	0.003952       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15594.328758   	68.505757      	74.709175      	0.496209       	0.000000       	0.496209       	2.637465       	0.007801       	0.152147       	0.141895       	0.004445       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15593.749043   	71.053374      	72.481091      	0.579715       	0.000000       	0.579715       	2.685936       	0.009714       	0.121862       	0.128604       	0.004069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.133626   	73.569079      	70.228547      	0.615417       	0.000000       	0.615417       	2.633822       	0.010629       	0.234139       	0.107489       	0.004444       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15592.529760   	75.956562      	68.030555      	0.603866       	0.000000       	0.603866       	2.485516       	0.009213       	0.316343       	0.088820       	0.004156       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15591.885566   	78.884779      	65.391007      	0.644194       	0.000000       	0.644194       	3.022723       	0.010466       	0.261019       	0.084038       	0.004366       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.254707   	81.643121      	62.848721      	0.630859       	0.000000       	0.630859       	2.842896       	0.008417       	0.330249       	0.076137       	0.004088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15590.649460   	84.066715      	60.639129      	0.605247       	0.000000       	0.605247       	2.499308       	0.007312       	0.315531       	0.068403       	0.003652       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15589.995915   	87.094644      	57.858917      	0.653545       	0.000000       	0.653545       	3.106700       	0.008503       	0.327057       	0.070268       	0.003794       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15589.342781   	89.943692      	55.385030      	0.653134       	0.000000       	0.653134       	2.925460       	0.008065       	0.201560       	0.068347       	0.003600       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15588.667169   	92.908656      	52.693843      	0.675612       	0.000000       	0.675612       	3.041729       	0.008373       	0.325070       	0.068392       	0.003584       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15588.026075   	94.970159      	51.112107      	0.641093       	0.000000       	0.641093       	2.128670       	0.006104       	0.094159       	0.061064       	0.003056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15587.408586   	97.063329      	49.338320      	0.617489       	0.000000       	0.617489       	2.157891       	0.006180       	0.233385       	0.058541       	0.002951       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15586.776576   	99.126404      	47.697881      	0.632011       	0.000000       	0.632011       	2.126032       	0.006100       	0.146417       	0.056857       	0.002842       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15586.161514   	108.984633     	68.174125      	0.615061       	0.000000       	0.615061       	2.486446       	0.007013       	0.152371       	0.121204       	0.013081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15585.687197   	110.583118     	66.686649      	0.474317       	0.000000       	0.474317       	1.863831       	0.012367       	0.097963       	0.252979       	0.013402       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15585.205463   	112.174715     	65.253510      	0.481734       	0.000000       	0.481734       	1.837380       	0.014033       	0.077492       	0.231750       	0.013697       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15584.695088   	113.961137     	63.634932      	0.510375       	0.000000       	0.510375       	1.981751       	0.013041       	0.147202       	0.182288       	0.011014       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15584.194428   	115.677099     	62.125722      	0.500660       	0.000000       	0.500660       	1.872984       	0.013153       	0.136886       	0.143869       	0.008223       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15583.685407   	117.480280     	60.488366      	0.509021       	0.000000       	0.509021       	1.935725       	0.011511       	0.210653       	0.121032       	0.008440       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15583.184133   	119.378072     	58.712729      	0.501274       	0.000000       	0.501274       	2.012068       	0.009819       	0.264843       	0.104457       	0.008167       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15582.634210   	121.886644     	56.389722      	0.549923       	0.000000       	0.549923       	2.620059       	0.010457       	0.252871       	0.101030       	0.008195       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.115832   	123.971974     	54.425015      	0.518378       	0.000000       	0.518378       	2.179070       	0.007445       	0.304015       	0.086295       	0.006790       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15581.580922   	126.199827     	52.402285      	0.534909       	0.000000       	0.534909       	2.319758       	0.007567       	0.237881       	0.084337       	0.006621       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.041783   	128.404496     	50.296372      	0.539139       	0.000000       	0.539139       	2.293463       	0.007152       	0.351589       	0.081642       	0.006275       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15580.411808   	130.708308     	48.383779      	0.629975       	0.000000       	0.629975       	2.393095       	0.007350       	0.149473       	0.081933       	0.006241       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15579.843070   	132.409921     	47.061221      	0.568739       	0.000000       	0.568739       	1.783936       	0.005852       	0.107361       	0.076472       	0.005647       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15579.306213   	133.955044     	45.889458      	0.536857       	0.000000       	0.536857       	1.623969       	0.005465       	0.084651       	0.073380       	0.005461       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15578.799699   	135.460654     	44.678015      	0.506514       	0.000000       	0.506514       	1.580585       	0.005360       	0.137372       	0.069616       	0.005066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15578.229981   	137.341470     	43.158946      	0.569718       	0.000000       	0.569718       	1.959446       	0.006312       	0.129341       	0.072318       	0.005338       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15577.687272   	139.025002     	41.753958      	0.542709       	0.000000       	0.542709       	1.759766       	0.005825       	0.187930       	0.070409       	0.005039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15577.156167   	140.697005     	40.374880      	0.531105       	0.000000       	0.531105       	1.747399       	0.005809       	0.162784       	0.069587       	0.004957       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15576.630720   	142.269821     	39.082050      	0.525447       	0.000000       	0.525447       	1.646477       	0.005570       	0.171800       	0.068092       	0.004776       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15576.114894   	143.792827     	37.788526      	0.515825       	0.000000       	0.515825       	1.595397       	0.005453       	0.213953       	0.066937       	0.004660       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15575.612207   	145.235649     	36.534055      	0.502687       	0.000000       	0.502687       	1.513707       	0.005259       	0.243451       	0.065626       	0.004524       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15575.095735   	146.783346     	35.253923      	0.516472       	0.000000       	0.516472       	1.619635       	0.005535       	0.176968       	0.066404       	0.004591       	0.000000       	0.000000       	0.000000       	0.000000       
