DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	40.302130      	73.124939      	67.930922      	0.000000       	67.930922      	3.312440       	0.008281       	0.493544       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	43.760626      	70.271723      	0.836899       	0.000000       	0.836899       	3.469286       	0.008673       	0.220828       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	47.126555      	67.406727      	0.814482       	0.000000       	0.814482       	3.376404       	0.008441       	0.303075       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	50.293012      	64.729165      	0.776384       	0.000000       	0.776384       	3.176281       	0.007941       	0.277665       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	53.498810      	62.062359      	0.767723       	0.000000       	0.767723       	3.215473       	0.008039       	0.219056       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	57.108457      	58.885735      	0.800831       	0.000000       	0.800831       	3.620440       	0.009051       	0.357014       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	60.816737      	55.538729      	0.820015       	0.000000       	0.820015       	3.719388       	0.009298       	0.447632       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	82.723710      	93.505987      	0.844938       	0.000000       	0.844938       	6.926187       	0.017315       	0.951494       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	88.553174      	87.681756      	0.811370       	0.000000       	0.811370       	5.845928       	0.014615       	0.789673       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	93.635971      	82.519532      	0.777453       	0.000000       	0.777453       	5.097346       	0.012743       	0.842332       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	97.327006      	78.948994      	0.697294       	0.000000       	0.697294       	3.701934       	0.009255       	0.565898       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	101.779277     	74.681123      	0.721646       	0.000000       	0.721646       	4.465171       	0.011163       	0.524346       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	106.071855     	70.416782      	0.715250       	0.000000       	0.715250       	4.305088       	0.010763       	0.674503       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	110.025848     	66.603298      	0.699829       	0.000000       	0.699829       	3.965653       	0.009914       	0.547660       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	113.942405     	62.948552      	0.697677       	0.000000       	0.697677       	3.928153       	0.009820       	0.424271       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	117.351470     	59.714806      	0.668913       	0.000000       	0.668913       	3.419352       	0.008548       	0.483307       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	120.172602     	57.228360      	0.627063       	0.000000       	0.627063       	2.829871       	0.007075       	0.283638       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	123.000703     	54.590277      	0.616072       	0.000000       	0.616072       	2.836856       	0.007092       	0.417299       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	125.701260     	52.033541      	0.602324       	0.000000       	0.602324       	2.708986       	0.006772       	0.450074       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	128.272294     	49.705758      	0.590325       	0.000000       	0.590325       	2.579133       	0.006448       	0.338974       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	130.037028     	48.374554      	0.572370       	0.000000       	0.572370       	1.771945       	0.004430       	0.131629       	0.002780       	0.000703       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	134.796095     	58.957892      	0.453936       	0.000000       	0.453936       	1.047437       	0.002619       	0.073161       	0.035751       	0.009770       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	136.085608     	58.024292      	0.462768       	0.000000       	0.462768       	1.323648       	0.003309       	0.072720       	0.030826       	0.007126       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	137.474569     	57.013407      	0.467062       	0.000000       	0.467062       	1.426472       	0.003566       	0.051475       	0.033945       	0.008241       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046815   	139.425270     	55.401326      	0.530737       	0.000000       	0.530737       	1.995589       	0.004989       	0.147230       	0.039898       	0.008876       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437528   	141.982721     	53.166666      	0.609287       	0.000000       	0.609287       	2.611517       	0.006529       	0.232429       	0.047538       	0.010131       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974720   	143.158603     	52.271245      	0.462808       	0.000000       	0.462808       	1.252882       	0.003154       	0.105347       	0.073846       	0.012661       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500254   	144.499829     	51.275364      	0.474466       	0.000000       	0.474466       	1.384841       	0.003462       	0.085507       	0.040153       	0.009008       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000343   	150.238907     	60.804186      	0.499912       	0.000000       	0.499912       	2.036501       	0.005091       	0.184588       	0.042331       	0.009286       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500435   	152.347445     	58.912843      	0.499908       	0.000000       	0.499908       	2.157935       	0.005395       	0.233317       	0.044002       	0.009541       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985415   	154.714676     	56.670580      	0.515020       	0.000000       	0.515020       	2.411245       	0.006028       	0.346038       	0.037986       	0.006762       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456335   	157.217129     	54.389189      	0.529080       	0.000000       	0.529080       	2.541922       	0.006355       	0.268548       	0.033114       	0.005488       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911448   	159.792532     	51.981658      	0.544887       	0.000000       	0.544887       	2.612089       	0.006530       	0.340329       	0.030157       	0.004844       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379459   	161.827336     	50.243692      	0.531989       	0.000000       	0.531989       	2.063299       	0.005158       	0.206656       	0.023336       	0.003697       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796823   	163.944838     	48.385292      	0.582636       	0.000000       	0.582636       	2.145320       	0.005363       	0.295716       	0.022455       	0.003515       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256661   	165.638331     	47.062997      	0.540162       	0.000000       	0.540162       	1.717979       	0.004295       	0.144479       	0.020191       	0.003358       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774037   	166.848272     	46.192620      	0.482624       	0.000000       	0.482624       	1.260494       	0.003151       	0.092507       	0.047401       	0.012364       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333642   	167.717791     	45.518231      	0.440395       	0.000000       	0.440395       	1.022189       	0.003523       	0.092595       	0.149147       	0.026424       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852736   	168.835048     	44.675867      	0.480906       	0.000000       	0.480906       	1.254518       	0.003986       	0.068753       	0.133275       	0.021641       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492779   	169.787615     	43.818540      	0.359957       	0.000000       	0.359957       	1.131079       	0.002876       	0.086205       	0.175636       	0.019568       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125421   	170.728428     	42.799793      	0.367358       	0.000000       	0.367358       	1.248379       	0.003389       	0.137727       	0.304176       	0.022522       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815724   	171.654172     	41.740117      	0.309696       	0.000000       	0.309696       	1.215872       	0.003612       	0.153500       	0.286516       	0.015187       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416172   	173.215170     	40.297752      	0.399553       	0.000000       	0.399553       	1.747113       	0.004372       	0.094805       	0.181742       	0.010442       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922305   	174.599043     	39.113648      	0.493867       	0.000000       	0.493867       	1.593734       	0.004052       	0.084236       	0.205809       	0.020789       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384677   	175.905955     	38.065678      	0.537628       	0.000000       	0.537628       	1.499486       	0.003796       	0.086112       	0.188779       	0.021298       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850161   	176.883941     	37.386606      	0.534515       	0.000000       	0.534515       	1.153040       	0.002948       	0.060548       	0.172105       	0.020590       	0.000000       	0.000000       	0.000000       	0.000000       
