DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15584.908860   	40.874508      	84.285503      	79.442240      	0.000000       	79.442240      	3.953471       	0.009884       	0.203266       	0.069079       	0.000116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15584.089811   	44.183235      	81.535532      	0.819049       	0.000000       	0.819049       	3.363548       	0.008409       	0.205472       	0.046412       	0.004116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15583.277911   	47.639220      	78.479150      	0.811900       	0.000000       	0.811900       	3.494936       	0.008737       	0.373347       	0.030214       	0.002663       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15582.566579   	50.096555      	76.423342      	0.711332       	0.000000       	0.711332       	2.506193       	0.006265       	0.260946       	0.042593       	0.003868       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15581.837815   	52.810271      	74.097278      	0.728764       	0.000000       	0.728764       	2.770673       	0.006927       	0.284155       	0.050030       	0.004531       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15581.098033   	55.778412      	71.556203      	0.739782       	0.000000       	0.739782       	3.006748       	0.007517       	0.274108       	0.031090       	0.002867       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15580.407693   	58.384294      	69.391816      	0.690340       	0.000000       	0.690340       	2.639654       	0.006599       	0.215073       	0.027173       	0.002461       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15579.693307   	65.601128      	77.548628      	0.714386       	0.000000       	0.714386       	3.505710       	0.008764       	0.301864       	0.030112       	0.002673       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15578.983187   	69.221829      	74.026216      	0.710120       	0.000000       	0.710120       	3.655981       	0.009140       	0.576551       	0.026140       	0.002087       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15578.291391   	72.464750      	71.044816      	0.691797       	0.000000       	0.691797       	3.273160       	0.008183       	0.400037       	0.022055       	0.001632       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15577.653038   	74.869334      	69.036024      	0.638352       	0.000000       	0.638352       	2.428641       	0.006072       	0.218503       	0.017986       	0.001316       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15576.967317   	77.522681      	66.844468      	0.685721       	0.000000       	0.685721       	2.690088       	0.006725       	0.187188       	0.030016       	0.004115       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15576.354391   	79.657375      	65.159948      	0.612927       	0.000000       	0.612927       	2.160651       	0.005402       	0.136796       	0.020556       	0.002281       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15575.750470   	81.893037      	63.151868      	0.603920       	0.000000       	0.603920       	2.260152       	0.005650       	0.351848       	0.018839       	0.001509       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15575.094185   	89.152785      	71.087050      	0.656285       	0.000000       	0.656285       	3.540839       	0.008852       	0.430264       	0.022240       	0.001706       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15574.374440   	93.517244      	67.034536      	0.719745       	0.000000       	0.719745       	4.398262       	0.010996       	0.373998       	0.022806       	0.001701       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15573.711399   	96.869456      	63.781556      	0.663041       	0.000000       	0.663041       	3.378072       	0.008445       	0.537948       	0.017416       	0.001295       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15573.101355   	99.539860      	61.448945      	0.610043       	0.000000       	0.610043       	2.691318       	0.006728       	0.251337       	0.014185       	0.001053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15572.454233   	102.716820     	58.600609      	0.647123       	0.000000       	0.647123       	3.199501       	0.007999       	0.295959       	0.014542       	0.001076       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15571.773784   	105.182389     	56.625720      	0.680449       	0.000000       	0.680449       	2.495063       	0.006238       	0.160274       	0.023256       	0.005205       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15571.195032   	106.735994     	55.412681      	0.578752       	0.000000       	0.578752       	1.709964       	0.006402       	0.081827       	0.149957       	0.020334       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15570.665813   	108.187738     	54.126548      	0.529219       	0.000000       	0.529219       	1.643169       	0.007755       	0.172184       	0.183670       	0.015631       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15570.118614   	109.799579     	52.854565      	0.547199       	0.000000       	0.547199       	1.740171       	0.007624       	0.079010       	0.120706       	0.010665       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15569.583502   	111.303424     	51.686172      	0.535112       	0.000000       	0.535112       	1.602083       	0.006516       	0.101422       	0.091723       	0.009070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15569.038604   	112.921282     	50.422985      	0.544898       	0.000000       	0.544898       	1.701616       	0.004254       	0.106469       	0.079503       	0.009135       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15568.535663   	114.349912     	49.281736      	0.502941       	0.000000       	0.502941       	1.502668       	0.003757       	0.141522       	0.070281       	0.008233       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15568.056030   	115.751221     	48.098464      	0.479634       	0.000000       	0.479634       	1.468602       	0.003672       	0.194304       	0.063622       	0.006711       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15567.591523   	117.135430     	46.854382      	0.464506       	0.000000       	0.464506       	1.444841       	0.003612       	0.263747       	0.057019       	0.005591       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15567.120054   	131.101896     	77.806116      	0.471469       	0.000000       	0.471469       	2.778529       	0.006946       	0.491207       	0.055117       	0.005251       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15566.569995   	134.023205     	75.180975      	0.550059       	0.000000       	0.550059       	2.984659       	0.007462       	0.190541       	0.055889       	0.005405       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15566.125916   	135.722104     	73.631427      	0.444078       	0.000000       	0.444078       	1.874224       	0.005912       	0.119402       	0.169413       	0.014219       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15565.623461   	138.004795     	71.538630      	0.502455       	0.000000       	0.502455       	2.414770       	0.010344       	0.180482       	0.121736       	0.012665       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15565.066082   	140.857955     	68.835066      	0.557379       	0.000000       	0.557379       	2.975003       	0.010090       	0.285939       	0.111753       	0.013286       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15564.500521   	143.925189     	65.822143      	0.565561       	0.000000       	0.565561       	3.179355       	0.009750       	0.399130       	0.102372       	0.013003       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15563.954273   	146.766815     	63.139474      	0.546247       	0.000000       	0.546247       	2.940206       	0.007351       	0.288710       	0.091230       	0.010785       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15563.340104   	172.421627     	112.226371     	0.614169       	0.000000       	0.614169       	7.014676       	0.017537       	0.762597       	0.092327       	0.010349       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15562.760772   	176.520825     	108.229799     	0.579332       	0.000000       	0.579332       	4.209058       	0.010523       	0.366846       	0.099336       	0.015613       	0.000000       	0.000000       	0.000000       	0.000000       
