DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15628.995716   	59.038898      	96.830319      	35.355384      	0.000000       	35.355384      	3.298895       	0.008247       	0.476170       	0.001750       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15628.149736   	63.224867      	92.713882      	0.845980       	0.000000       	0.845980       	4.198290       	0.010496       	0.764127       	0.001826       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15627.281925   	68.225198      	87.837530      	0.867811       	0.000000       	0.867811       	5.014783       	0.012537       	0.729380       	0.001914       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15626.364532   	74.035459      	82.480618      	0.917393       	0.000000       	0.917393       	5.826667       	0.014567       	0.447638       	0.001840       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15625.476887   	79.252992      	77.607048      	0.887645       	0.000000       	0.887645       	5.232438       	0.013081       	0.528777       	0.001824       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15624.645051   	83.598197      	73.517865      	0.831836       	0.000000       	0.831836       	4.357849       	0.010895       	0.563169       	0.001749       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15623.898467   	86.892816      	70.508753      	0.746584       	0.000000       	0.746584       	3.304477       	0.008261       	0.451220       	0.001597       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15623.155623   	89.322888      	68.611991      	0.742844       	0.000000       	0.742844       	2.437579       	0.006094       	0.202026       	0.001413       	0.000038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15622.455668   	91.987603      	66.360995      	0.699955       	0.000000       	0.699955       	2.672817       	0.006682       	0.278135       	0.001420       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15621.778018   	94.755525      	64.026992      	0.677650       	0.000000       	0.677650       	2.776289       	0.006941       	0.235365       	0.001426       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15621.093106   	97.580767      	61.380628      	0.684912       	0.000000       	0.684912       	2.833773       	0.007084       	0.497503       	0.001447       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15620.452826   	100.148848     	59.142131      	0.640280       	0.000000       	0.640280       	2.575942       	0.006440       	0.302835       	0.001420       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15619.708928   	104.122495     	55.414959      	0.743897       	0.000000       	0.743897       	3.985297       	0.009963       	0.485772       	0.001687       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15618.954185   	107.981608     	51.897942      	0.754743       	0.000000       	0.754743       	3.870560       	0.009676       	0.401201       	0.001770       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15618.195893   	116.179192     	58.748756      	0.758292       	0.000000       	0.758292       	4.460575       	0.011151       	0.696903       	0.001839       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15617.455746   	120.130172     	55.025862      	0.740147       	0.000000       	0.740147       	3.962736       	0.009907       	0.500306       	0.001850       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15616.730968   	123.745377     	51.785414      	0.724778       	0.000000       	0.724778       	3.626131       	0.009065       	0.339094       	0.001861       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15616.033668   	126.929640     	48.778910      	0.697300       	0.000000       	0.697300       	3.194086       	0.007985       	0.509718       	0.001837       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15615.362388   	129.769907     	46.227276      	0.671280       	0.000000       	0.671280       	2.849201       	0.007123       	0.373713       	0.001811       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15614.673830   	132.866835     	43.433842      	0.688558       	0.000000       	0.688558       	3.106586       	0.007766       	0.375406       	0.001892       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15614.013939   	135.478171     	41.146622      	0.659891       	0.000000       	0.659891       	2.619744       	0.006549       	0.327368       	0.001859       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15613.063242   	150.898500     	71.357177      	0.950697       	0.000000       	0.950697       	4.186147       	0.010465       	0.303995       	0.005353       	0.001467       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15612.154144   	154.975146     	67.839111      	0.909098       	0.000000       	0.909098       	4.088714       	0.010222       	0.338450       	0.001847       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15611.329674   	159.241727     	63.955854      	0.824470       	0.000000       	0.824470       	4.279181       	0.010698       	0.428545       	0.001902       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15610.570108   	163.604593     	59.828638      	0.759566       	0.000000       	0.759566       	4.375781       	0.010939       	0.511001       	0.001975       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15609.857195   	167.756287     	55.652765      	0.712913       	0.000000       	0.712913       	4.164127       	0.010410       	0.724659       	0.002023       	0.000069       	0.000000       	0.000000       	0.000000       	0.000000       
