DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15580.506456   	44.047046      	85.189902      	83.844644      	0.000000       	83.844644      	7.067620       	0.017669       	0.587121       	0.002906       	0.000153       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15579.425807   	50.644181      	78.921172      	1.080649       	0.000000       	1.080649       	6.616375       	0.016541       	0.733004       	0.002699       	0.000127       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15578.384615   	55.776322      	74.308978      	1.041192       	0.000000       	1.041192       	5.147381       	0.012868       	0.506005       	0.002372       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15577.361942   	59.879162      	70.892236      	1.022673       	0.000000       	1.022673       	4.139380       	0.010348       	0.300035       	0.026191       	0.004578       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15576.349078   	63.882450      	67.562448      	1.012864       	0.000000       	1.012864       	4.047155       	0.010118       	0.295496       	0.033749       	0.005925       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15575.563973   	66.329318      	65.592056      	0.785106       	0.000000       	0.785106       	2.612581       	0.007373       	0.142917       	0.158341       	0.011055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15574.740249   	69.045573      	63.479657      	0.823723       	0.000000       	0.823723       	2.835786       	0.007251       	0.100336       	0.112280       	0.009780       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15573.996115   	83.763942      	94.213047      	0.744135       	0.000000       	0.744135       	3.529598       	0.008824       	0.231147       	0.052405       	0.005430       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15573.332473   	86.618903      	91.632424      	0.663642       	0.000000       	0.663642       	2.905651       	0.007264       	0.338614       	0.043425       	0.004270       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15572.693865   	89.687009      	88.707357      	0.638608       	0.000000       	0.638608       	3.118595       	0.007796       	0.445080       	0.042693       	0.004121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15572.094164   	92.549915      	85.924808      	0.599700       	0.000000       	0.599700       	2.905340       	0.007263       	0.476910       	0.035169       	0.002948       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15571.513156   	95.380505      	83.253402      	0.581008       	0.000000       	0.581008       	2.868915       	0.007172       	0.383499       	0.031153       	0.002512       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15570.949493   	98.106802      	80.680949      	0.563663       	0.000000       	0.563663       	2.761049       	0.006903       	0.375066       	0.027849       	0.002181       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15570.429882   	100.278952     	78.673458      	0.519611       	0.000000       	0.519611       	2.200867       	0.005502       	0.326235       	0.023215       	0.001750       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15569.801362   	128.093833     	141.047865     	0.628520       	0.000000       	0.628520       	5.361019       	0.013403       	0.393095       	0.032736       	0.005083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15569.230518   	132.051521     	137.407114     	0.570844       	0.000000       	0.570844       	4.004966       	0.010012       	0.206629       	0.037265       	0.006931       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15568.661335   	136.026871     	133.724695     	0.569182       	0.000000       	0.569182       	4.026207       	0.010066       	0.225394       	0.040792       	0.007996       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15568.144792   	139.245913     	130.667837     	0.516543       	0.000000       	0.516543       	3.303314       	0.008258       	0.270087       	0.076013       	0.011497       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15567.580733   	143.597526     	126.355013     	0.564060       	0.000000       	0.564060       	4.426616       	0.011067       	0.450268       	0.063937       	0.009172       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15566.981037   	148.742271     	120.982551     	0.599696       	0.000000       	0.599696       	5.222464       	0.013056       	0.749693       	0.064663       	0.009070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15566.344699   	154.851293     	114.742929     	0.636338       	0.000000       	0.636338       	6.191112       	0.015478       	0.684848       	0.066612       	0.008309       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15565.720996   	160.583424     	108.777788     	0.623703       	0.000000       	0.623703       	5.804622       	0.014512       	0.784221       	0.057980       	0.005918       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15565.101270   	165.877062     	103.344613     	0.619726       	0.000000       	0.619726       	5.359254       	0.013398       	0.693648       	0.052217       	0.004921       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15564.450671   	169.927597     	99.619182      	0.650599       	0.000000       	0.650599       	4.126221       	0.010316       	0.249808       	0.065372       	0.011194       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15563.887296   	172.978522     	96.551595      	0.563375       	0.000000       	0.563375       	3.332828       	0.012924       	0.298134       	0.268979       	0.034415       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15563.478837   	175.877430     	93.525001      	0.408459       	0.000000       	0.408459       	3.187995       	0.008152       	0.247058       	0.280935       	0.036560       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15562.919892   	179.384966     	89.945652      	0.558945       	0.000000       	0.558945       	3.777624       	0.012344       	0.360671       	0.257745       	0.026757       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15562.289883   	183.302300     	86.140368      	0.630009       	0.000000       	0.630009       	4.162559       	0.014005       	0.272735       	0.231220       	0.024429       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15561.588535   	187.871289     	81.526768      	0.701348       	0.000000       	0.701348       	4.792568       	0.014816       	0.522380       	0.208763       	0.027187       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15560.894904   	191.877229     	77.625297      	0.693630       	0.000000       	0.693630       	4.195679       	0.012566       	0.399422       	0.177173       	0.025382       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15560.233292   	195.584503     	73.935838      	0.661613       	0.000000       	0.661613       	3.879512       	0.011051       	0.471560       	0.161187       	0.023808       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15559.584827   	199.276857     	70.257421      	0.648464       	0.000000       	0.648464       	3.848493       	0.009749       	0.478388       	0.146390       	0.020629       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15558.948184   	202.792667     	66.928640      	0.636643       	0.000000       	0.636643       	3.662452       	0.009301       	0.302971       	0.137342       	0.018486       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15558.325197   	206.035418     	64.015755      	0.622987       	0.000000       	0.622987       	3.380951       	0.008613       	0.154921       	0.129587       	0.016802       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15557.621877   	208.652176     	61.480646      	0.703320       	0.000000       	0.703320       	2.820598       	0.007226       	0.417832       	0.196613       	0.034851       	0.000000       	0.000000       	0.000000       	0.000000       
