DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15628.995716   	50.847879      	75.139526      	35.355384      	0.000000       	35.355384      	2.606145       	0.006515       	0.359714       	0.001750       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15628.149736   	54.129379      	72.116485      	0.845980       	0.000000       	0.845980       	3.291555       	0.008229       	0.577466       	0.001826       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15627.281925   	58.035360      	68.515233      	0.867811       	0.000000       	0.867811       	3.917689       	0.009794       	0.551375       	0.001914       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15626.364532   	62.567410      	64.548893      	0.917393       	0.000000       	0.917393       	4.545253       	0.011363       	0.338480       	0.001840       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15625.476887   	66.657767      	60.934191      	0.887645       	0.000000       	0.887645       	4.102437       	0.010256       	0.399909       	0.001824       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15624.645051   	70.089395      	57.898066      	0.831836       	0.000000       	0.831836       	3.441983       	0.008605       	0.425978       	0.001749       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15623.898467   	72.720567      	55.663953      	0.746584       	0.000000       	0.746584       	2.639367       	0.006598       	0.341331       	0.001597       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15623.155623   	74.688318      	54.279763      	0.742844       	0.000000       	0.742844       	1.974099       	0.004935       	0.152935       	0.001413       	0.000038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15622.455668   	76.834621      	52.615992      	0.699955       	0.000000       	0.699955       	2.153106       	0.005383       	0.210620       	0.001420       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15621.778018   	79.060401      	50.882573      	0.677650       	0.000000       	0.677650       	2.232787       	0.005582       	0.178282       	0.001426       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15621.093106   	81.331919      	48.911837      	0.684912       	0.000000       	0.684912       	2.278663       	0.005697       	0.376986       	0.001447       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15620.452826   	83.407135      	47.240754      	0.640280       	0.000000       	0.640280       	2.081840       	0.005205       	0.229522       	0.001420       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15619.708928   	86.569158      	44.444743      	0.743897       	0.000000       	0.743897       	3.171639       	0.007929       	0.368269       	0.001687       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15618.954185   	89.652340      	41.802580      	0.754743       	0.000000       	0.754743       	3.092684       	0.007732       	0.304223       	0.001770       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15618.195893   	92.580190      	39.207397      	0.758292       	0.000000       	0.758292       	2.937032       	0.007343       	0.416444       	0.001839       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15617.455746   	95.212424      	37.007807      	0.740147       	0.000000       	0.740147       	2.640686       	0.006602       	0.299052       	0.001850       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15616.730968   	97.644476      	35.089829      	0.724778       	0.000000       	0.724778       	2.440012       	0.006100       	0.202744       	0.001861       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15616.033668   	99.813759      	33.305730      	0.697300       	0.000000       	0.697300       	2.176562       	0.005441       	0.304836       	0.001837       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15615.362388   	101.771367     	31.789124      	0.671280       	0.000000       	0.671280       	1.964330       	0.004911       	0.223557       	0.001811       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15614.673830   	103.891652     	30.125538      	0.688558       	0.000000       	0.688558       	2.127495       	0.005319       	0.224648       	0.001892       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15614.013939   	105.712143     	28.762517      	0.659891       	0.000000       	0.659891       	1.826917       	0.004567       	0.195996       	0.001859       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15613.063242   	107.359816     	27.968165      	0.950697       	0.000000       	0.950697       	1.656648       	0.004142       	0.088401       	0.004834       	0.001083       	0.000000       	0.000000       	0.000000       	0.000000       
