DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15584.908860   	40.874508      	84.285503      	79.442240      	0.000000       	79.442240      	3.953471       	0.009884       	0.203266       	0.069079       	0.000116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15584.089811   	44.183235      	81.535532      	0.819049       	0.000000       	0.819049       	3.363548       	0.008409       	0.205472       	0.046412       	0.004116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15583.277911   	47.639220      	78.479150      	0.811900       	0.000000       	0.811900       	3.494936       	0.008737       	0.373347       	0.030214       	0.002663       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15582.566579   	50.096555      	76.423342      	0.711332       	0.000000       	0.711332       	2.506193       	0.006265       	0.260946       	0.042593       	0.003868       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15581.837815   	52.810271      	74.097278      	0.728764       	0.000000       	0.728764       	2.770673       	0.006927       	0.284155       	0.050030       	0.004531       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15581.098033   	55.778412      	71.556203      	0.739782       	0.000000       	0.739782       	3.006748       	0.007517       	0.274108       	0.031090       	0.002867       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15580.407693   	58.384294      	69.391816      	0.690340       	0.000000       	0.690340       	2.639654       	0.006599       	0.215073       	0.027173       	0.002461       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15579.693307   	61.373595      	66.825834      	0.714386       	0.000000       	0.714386       	3.026981       	0.007567       	0.253388       	0.030112       	0.002673       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15578.983187   	64.496966      	63.894532      	0.710120       	0.000000       	0.710120       	3.157405       	0.007894       	0.484017       	0.026140       	0.002087       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15578.291391   	67.304300      	61.413953      	0.691797       	0.000000       	0.691797       	2.836480       	0.007091       	0.335895       	0.022055       	0.001632       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15577.653038   	69.402281      	59.747508      	0.638352       	0.000000       	0.638352       	2.121270       	0.005303       	0.183528       	0.017986       	0.001316       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15576.967317   	71.712643      	57.930456      	0.685721       	0.000000       	0.685721       	2.345473       	0.005864       	0.157300       	0.029247       	0.003672       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15576.354391   	73.582432      	56.533589      	0.612927       	0.000000       	0.612927       	1.894826       	0.004737       	0.114968       	0.020300       	0.002123       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15575.750470   	75.536529      	54.863943      	0.603920       	0.000000       	0.603920       	1.977860       	0.004945       	0.295706       	0.018818       	0.001501       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15575.094185   	78.120720      	52.610057      	0.656285       	0.000000       	0.656285       	2.612946       	0.006532       	0.297226       	0.022222       	0.001700       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15574.374440   	81.318671      	49.842544      	0.719745       	0.000000       	0.719745       	3.228817       	0.008072       	0.258441       	0.022794       	0.001697       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15573.711399   	83.811971      	47.616768      	0.663041       	0.000000       	0.663041       	2.517002       	0.006293       	0.371816       	0.017409       	0.001293       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15573.101355   	85.825419      	46.020356      	0.610043       	0.000000       	0.610043       	2.032711       	0.005082       	0.173744       	0.014181       	0.001051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15572.454233   	88.200522      	44.067198      	0.647123       	0.000000       	0.647123       	2.395632       	0.005989       	0.204649       	0.014539       	0.001074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15571.773784   	90.078693      	42.731785      	0.680449       	0.000000       	0.680449       	1.904781       	0.004762       	0.111080       	0.021849       	0.004173       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15571.195032   	91.244734      	41.946368      	0.578752       	0.000000       	0.578752       	1.307481       	0.005395       	0.056689       	0.136044       	0.015890       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15570.665812   	104.617382     	73.667012      	0.529220       	0.000000       	0.529220       	2.303494       	0.009717       	0.255081       	0.171129       	0.013615       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15570.118613   	106.943246     	71.648891      	0.547199       	0.000000       	0.547199       	2.448329       	0.009532       	0.116992       	0.112933       	0.009237       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15569.583500   	109.087670     	69.795616      	0.535112       	0.000000       	0.535112       	2.238248       	0.008184       	0.150139       	0.085640       	0.007771       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15569.038602   	111.386296     	67.804323      	0.544899       	0.000000       	0.544899       	2.378621       	0.005947       	0.157571       	0.074048       	0.007767       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15568.535660   	113.399158     	66.014270      	0.502942       	0.000000       	0.502942       	2.083549       	0.005209       	0.209445       	0.065478       	0.006979       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15568.056026   	115.366326     	64.174862      	0.479634       	0.000000       	0.479634       	2.031562       	0.005079       	0.287481       	0.059315       	0.005679       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15567.591519   	117.302048     	62.255274      	0.464507       	0.000000       	0.464507       	1.993982       	0.004985       	0.390113       	0.053275       	0.004740       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15567.120049   	119.391298     	60.222624      	0.471470       	0.000000       	0.471470       	2.146174       	0.005365       	0.357945       	0.051559       	0.004459       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15566.569989   	121.638137     	58.328724      	0.550060       	0.000000       	0.550060       	2.304951       	0.005762       	0.139010       	0.052349       	0.004612       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15566.125910   	122.924803     	57.237037      	0.444079       	0.000000       	0.444079       	1.448640       	0.005045       	0.087127       	0.156929       	0.012183       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15565.623454   	124.655263     	55.754718      	0.502456       	0.000000       	0.502456       	1.853040       	0.009157       	0.131735       	0.113422       	0.010827       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15565.066074   	126.819381     	53.826669      	0.557380       	0.000000       	0.557380       	2.276661       	0.008388       	0.208767       	0.104155       	0.011374       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15564.500512   	129.154182     	51.662693      	0.565562       	0.000000       	0.565562       	2.438088       	0.007904       	0.291450       	0.095382       	0.011127       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15563.954264   	131.332743     	49.728906      	0.546248       	0.000000       	0.546248       	2.269156       	0.005673       	0.210879       	0.084922       	0.009206       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15563.340094   	133.902342     	47.425342      	0.614170       	0.000000       	0.614170       	2.662235       	0.006656       	0.255500       	0.085981       	0.008828       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15562.760761   	135.490411     	46.198934      	0.579333       	0.000000       	0.579333       	1.682291       	0.004206       	0.123449       	0.090017       	0.011750       	0.000000       	0.000000       	0.000000       	0.000000       
