DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15599.657797   	40.566085      	69.852743      	64.693303      	0.000000       	64.693303      	3.577276       	0.008943       	0.263284       	0.002247       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15598.763439   	44.409948      	66.494167      	0.894358       	0.000000       	0.894358       	3.855679       	0.009639       	0.397255       	0.002177       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15597.878372   	48.127121      	63.214318      	0.885067       	0.000000       	0.885067       	3.728560       	0.009321       	0.436356       	0.002066       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15597.047714   	50.667539      	61.307522      	0.830658       	0.000000       	0.830658       	2.555497       	0.006389       	0.181956       	0.008691       	0.001411       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15596.476445   	52.287810      	60.055062      	0.571269       	0.000000       	0.571269       	1.746158       	0.004872       	0.077572       	0.121014       	0.003494       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15595.763832   	54.335275      	58.500231      	0.712613       	0.000000       	0.712613       	2.144187       	0.005742       	0.123257       	0.090979       	0.005674       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15595.214920   	56.264386      	56.820586      	0.548912       	0.000000       	0.548912       	2.051205       	0.005694       	0.177353       	0.116400       	0.005098       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15594.824967   	61.928182      	66.146540      	0.389953       	0.000000       	0.389953       	2.084022       	0.009379       	0.229977       	0.160848       	0.003278       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15594.328757   	64.043259      	64.255993      	0.496210       	0.000000       	0.496210       	2.259808       	0.006861       	0.126948       	0.137870       	0.003942       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15593.749042   	66.212474      	62.430517      	0.579715       	0.000000       	0.579715       	2.303496       	0.008769       	0.101695       	0.125512       	0.003673       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.133624   	68.359868      	60.588552      	0.615417       	0.000000       	0.615417       	2.261970       	0.009706       	0.195413       	0.104870       	0.004069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15592.529758   	70.404818      	58.788526      	0.603867       	0.000000       	0.603867       	2.139861       	0.008358       	0.264031       	0.086553       	0.003812       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15591.885563   	72.911265      	56.617036      	0.644195       	0.000000       	0.644195       	2.597803       	0.009410       	0.217882       	0.081946       	0.004044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.254703   	75.280385      	54.521158      	0.630860       	0.000000       	0.630860       	2.451035       	0.007440       	0.275703       	0.074474       	0.003840       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15590.649456   	89.984260      	84.865274      	0.605248       	0.000000       	0.605248       	3.530821       	0.009893       	0.480311       	0.067053       	0.003453       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15589.995910   	94.321762      	80.602855      	0.653545       	0.000000       	0.653545       	4.418184       	0.011783       	0.497780       	0.068899       	0.003592       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15589.342776   	98.380090      	76.812732      	0.653135       	0.000000       	0.653135       	4.136534       	0.011094       	0.306723       	0.067113       	0.003421       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15588.667162   	102.596246     	72.698917      	0.675613       	0.000000       	0.675613       	4.294859       	0.011507       	0.494569       	0.067196       	0.003411       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15588.026069   	105.474039     	70.250846      	0.641094       	0.000000       	0.641094       	2.946066       	0.008148       	0.143099       	0.060125       	0.002927       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15587.408579   	108.394794     	67.527040      	0.617490       	0.000000       	0.617490       	2.986658       	0.008253       	0.354638       	0.057650       	0.002827       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15586.776568   	111.266394     	65.001007      	0.632011       	0.000000       	0.632011       	2.935748       	0.008125       	0.222295       	0.056023       	0.002727       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15586.161506   	113.425930     	63.189776      	0.615061       	0.000000       	0.615061       	2.287534       	0.006516       	0.138759       	0.121482       	0.013672       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15585.687189   	114.865826     	61.865566      	0.474318       	0.000000       	0.474318       	1.709302       	0.011737       	0.089226       	0.257669       	0.014742       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15585.205455   	116.301653     	60.591967      	0.481734       	0.000000       	0.481734       	1.684743       	0.013346       	0.070590       	0.235569       	0.014808       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15584.695080   	117.921861     	59.151321      	0.510375       	0.000000       	0.510375       	1.816907       	0.012608       	0.134113       	0.184092       	0.011688       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15584.194420   	119.483869     	57.807722      	0.500660       	0.000000       	0.500660       	1.719534       	0.012744       	0.124724       	0.144782       	0.008647       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15583.685399   	121.129787     	56.345842      	0.509021       	0.000000       	0.509021       	1.778950       	0.011116       	0.191951       	0.121916       	0.008838       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15583.184125   	122.865723     	54.755072      	0.501274       	0.000000       	0.501274       	1.850707       	0.009428       	0.241338       	0.105342       	0.008554       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15582.634202   	125.161718     	52.666836      	0.549923       	0.000000       	0.549923       	2.407708       	0.009936       	0.230451       	0.101777       	0.008488       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.115824   	127.075083     	50.901013      	0.518378       	0.000000       	0.518378       	2.007118       	0.007023       	0.277083       	0.086730       	0.006972       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15581.580914   	129.119737     	49.082615      	0.534909       	0.000000       	0.534909       	2.136483       	0.007114       	0.216825       	0.084714       	0.006780       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.041776   	131.144636     	47.187727      	0.539139       	0.000000       	0.539139       	2.113535       	0.006707       	0.320491       	0.081930       	0.006406       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15580.411801   	133.261451     	45.475492      	0.629975       	0.000000       	0.629975       	2.205886       	0.006886       	0.136323       	0.082186       	0.006362       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15579.843062   	134.829514     	44.296056      	0.568738       	0.000000       	0.568738       	1.650223       	0.005521       	0.097952       	0.076639       	0.005742       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15579.306205   	136.255178     	43.251299      	0.536857       	0.000000       	0.536857       	1.504373       	0.005169       	0.077242       	0.073540       	0.005552       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15578.799691   	137.645456     	42.167383      	0.506514       	0.000000       	0.506514       	1.465072       	0.005074       	0.125358       	0.069720       	0.005137       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15578.229973   	139.379669     	40.806430      	0.569718       	0.000000       	0.569718       	1.812599       	0.005947       	0.118072       	0.072438       	0.005414       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15577.687264   	140.935152     	39.546082      	0.542709       	0.000000       	0.542709       	1.631464       	0.005507       	0.171593       	0.070475       	0.005100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15577.156159   	142.481656     	38.306894      	0.531105       	0.000000       	0.531105       	1.621639       	0.005497       	0.148653       	0.069638       	0.005013       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15576.630712   	143.938893     	37.144783      	0.525447       	0.000000       	0.525447       	1.530634       	0.005282       	0.156924       	0.068115       	0.004823       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15576.114887   	145.352014     	35.979904      	0.515825       	0.000000       	0.515825       	1.485246       	0.005180       	0.195458       	0.066945       	0.004702       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15575.612199   	146.693064     	34.848485      	0.502687       	0.000000       	0.502687       	1.411673       	0.005006       	0.222433       	0.065616       	0.004560       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15575.095728   	148.131794     	33.692859      	0.516472       	0.000000       	0.516472       	1.510385       	0.005264       	0.161713       	0.066392       	0.004626       	0.000000       	0.000000       	0.000000       	0.000000       
