DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15599.968039   	41.346097      	68.419782      	64.383061      	0.000000       	64.383061      	4.359285       	0.010898       	0.603994       	0.002290       	0.000110       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15599.052276   	45.308275      	64.944090      	0.915763       	0.000000       	0.915763       	3.974230       	0.009936       	0.417225       	0.002116       	0.000091       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15598.173696   	48.929663      	61.916328      	0.878580       	0.000000       	0.878580       	3.632257       	0.009081       	0.274084       	0.001788       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15597.376915   	51.787948      	59.545118      	0.796781       	0.000000       	0.796781       	2.867084       	0.007168       	0.300908       	0.001631       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15596.614731   	54.495305      	57.254394      	0.762184       	0.000000       	0.762184       	2.715736       	0.006789       	0.337173       	0.001589       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15595.862706   	57.254783      	54.820441      	0.752025       	0.000000       	0.752025       	2.767988       	0.006920       	0.417989       	0.001591       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15595.106893   	60.111361      	52.317924      	0.755813       	0.000000       	0.755813       	2.865367       	0.007163       	0.392963       	0.001626       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15594.315260   	63.336382      	49.531859      	0.791633       	0.000000       	0.791633       	3.234845       	0.008087       	0.342853       	0.001736       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15593.514408   	66.521461      	46.684446      	0.800852       	0.000000       	0.800852       	3.194855       	0.007987       	0.453410       	0.001789       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15592.698651   	69.725250      	43.787806      	0.815757       	0.000000       	0.815757       	3.213686       	0.008034       	0.498710       	0.001863       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15591.873595   	72.875866      	41.044603      	0.825056       	0.000000       	0.825056       	3.160445       	0.007901       	0.407815       	0.001927       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15591.055314   	75.816325      	38.470234      	0.818281       	0.000000       	0.818281       	2.949792       	0.007374       	0.442859       	0.001958       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15590.262293   	78.433807      	36.307006      	0.793021       	0.000000       	0.793021       	2.625992       	0.006565       	0.330257       	0.001946       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15589.493764   	80.816163      	34.418808      	0.768529       	0.000000       	0.768529       	2.390264       	0.005976       	0.266462       	0.001932       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15588.737015   	83.108186      	32.448576      	0.756749       	0.000000       	0.756749       	2.299720       	0.005749       	0.427261       	0.001948       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15587.988089   	85.311853      	30.728662      	0.748926       	0.000000       	0.748926       	2.211169       	0.005528       	0.257672       	0.001973       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15587.280989   	87.171725      	29.174745      	0.707099       	0.000000       	0.707099       	1.866449       	0.004666       	0.394567       	0.001911       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15586.550970   	89.229688      	27.537161      	0.730019       	0.000000       	0.730019       	2.065136       	0.005163       	0.302467       	0.002010       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15585.828235   	91.163844      	26.099446      	0.722735       	0.000000       	0.722735       	1.941049       	0.004853       	0.219401       	0.002040       	0.000065       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15585.097984   	93.086324      	24.547723      	0.730251       	0.000000       	0.730251       	1.929411       	0.004824       	0.352564       	0.002108       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15584.388898   	94.789945      	23.317639      	0.709086       	0.000000       	0.709086       	1.709997       	0.004275       	0.229173       	0.002101       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15583.712755   	96.265693      	22.383203      	0.676142       	0.000000       	0.676142       	1.481504       	0.003704       	0.129074       	0.002052       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15583.081554   	97.513231      	21.652832      	0.631201       	0.000000       	0.631201       	1.252628       	0.003132       	0.108944       	0.001960       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15582.486053   	98.628635      	21.043689      	0.595501       	0.000000       	0.595501       	1.120086       	0.002800       	0.084557       	0.001882       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15581.907744   	99.707952      	20.439685      	0.578309       	0.000000       	0.578309       	1.083881       	0.002710       	0.098433       	0.001854       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15581.323664   	100.832487     	19.811837      	0.584080       	0.000000       	0.584080       	1.129255       	0.002823       	0.082673       	0.001897       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15580.742188   	101.915564     	19.223869      	0.581476       	0.000000       	0.581476       	1.087719       	0.002719       	0.081725       	0.001922       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15580.152111   	102.994722     	18.648080      	0.590077       	0.000000       	0.590077       	1.083846       	0.002710       	0.082020       	0.001979       	0.000071       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15579.556635   	104.034329     	18.101286      	0.595476       	0.000000       	0.595476       	1.044249       	0.002611       	0.098021       	0.002032       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15578.938244   	105.056199     	17.582480      	0.618391       	0.000000       	0.618391       	1.026552       	0.002566       	0.110645       	0.002116       	0.000078       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15578.347713   	105.923050     	17.246137      	0.590532       	0.000000       	0.590532       	0.871103       	0.002178       	0.055771       	0.002074       	0.000076       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15577.717726   	106.799977     	16.916696      	0.629986       	0.000000       	0.629986       	0.881264       	0.002203       	0.078163       	0.002135       	0.000081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15577.104391   	107.633350     	16.633707      	0.613335       	0.000000       	0.613335       	0.837636       	0.002094       	0.058688       	0.002169       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15576.512775   	108.407767     	16.372348      	0.591616       	0.000000       	0.591616       	0.778522       	0.001946       	0.074454       	0.002159       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15575.938617   	109.136558     	16.118958      	0.574157       	0.000000       	0.574157       	0.732765       	0.001832       	0.094782       	0.002142       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15575.361894   	123.712540     	46.733118      	0.576723       	0.000000       	0.576723       	3.336503       	0.008341       	0.376060       	0.002180       	0.000086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15574.815919   	126.382375     	44.228592      	0.545976       	0.000000       	0.545976       	2.678652       	0.006697       	0.371850       	0.002120       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15574.257556   	129.296631     	41.501566      	0.558363       	0.000000       	0.558363       	2.923738       	0.007309       	0.361650       	0.002172       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15573.704773   	131.993314     	39.035230      	0.552782       	0.000000       	0.552782       	2.705641       	0.006764       	0.313478       	0.002194       	0.000090       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15573.149466   	134.609304     	36.619719      	0.555307       	0.000000       	0.555307       	2.624780       	0.006562       	0.346039       	0.002228       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.610048   	136.868061     	34.557387      	0.539418       	0.000000       	0.539418       	2.266632       	0.005667       	0.335118       	0.002208       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.954584   	138.976309     	32.888168      	0.655464       	0.000000       	0.655464       	2.131048       	0.005328       	0.193635       	0.017473       	0.006798       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.342795   	140.268984     	31.973081      	0.611789       	0.000000       	0.611789       	1.365876       	0.003415       	0.161000       	0.069786       	0.019752       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.704285   	141.619707     	31.124519      	0.638510       	0.000000       	0.638510       	1.419623       	0.003549       	0.067450       	0.065350       	0.015177       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.059376   	143.091647     	30.091230      	0.644909       	0.000000       	0.644909       	1.532139       	0.003830       	0.146058       	0.056370       	0.012387       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.375729   	144.812798     	28.777602      	0.683647       	0.000000       	0.683647       	1.790243       	0.004476       	0.207033       	0.064616       	0.013739       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15568.683861   	146.629965     	27.367632      	0.691868       	0.000000       	0.691868       	1.867264       	0.004668       	0.234573       	0.045429       	0.008166       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15567.979997   	148.468625     	25.851532      	0.703864       	0.000000       	0.703864       	1.882999       	0.004707       	0.336965       	0.039632       	0.006741       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15567.321693   	149.985753     	24.777625      	0.658305       	0.000000       	0.658305       	1.551531       	0.003879       	0.180681       	0.030523       	0.005148       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15566.641675   	151.563182     	23.616010      	0.680017       	0.000000       	0.680017       	1.610912       	0.004027       	0.230721       	0.029456       	0.004881       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15565.906370   	153.281444     	22.365263      	0.735305       	0.000000       	0.735305       	1.752065       	0.004380       	0.233987       	0.029423       	0.004797       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15565.160708   	154.858399     	21.258086      	0.745662       	0.000000       	0.745662       	1.607270       	0.004018       	0.245569       	0.026297       	0.004263       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15564.447384   	156.168629     	20.475097      	0.713324       	0.000000       	0.713324       	1.335170       	0.003338       	0.161143       	0.021602       	0.003407       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15563.709006   	157.412840     	19.753390      	0.738379       	0.000000       	0.738379       	1.268001       	0.003170       	0.192085       	0.020620       	0.003239       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15562.891392   	158.387843     	19.494067      	0.817613       	0.000000       	0.817613       	1.011259       	0.002528       	0.065676       	0.033729       	0.008393       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15562.075084   	159.361140     	19.257486      	0.816308       	0.000000       	0.816308       	0.995611       	0.002489       	0.057278       	0.019826       	0.003530       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15561.276845   	160.345295     	18.939623      	0.798239       	0.000000       	0.798239       	1.005677       	0.002514       	0.110425       	0.019007       	0.002987       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15560.487647   	161.294909     	18.654186      	0.789198       	0.000000       	0.789198       	0.970612       	0.002427       	0.104024       	0.018571       	0.002894       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15559.691632   	162.211882     	18.391182      	0.796015       	0.000000       	0.796015       	0.937571       	0.002344       	0.121448       	0.018254       	0.002817       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15558.782016   	163.128494     	18.267319      	0.909616       	0.000000       	0.909616       	0.990531       	0.002476       	0.042948       	0.071442       	0.020406       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15557.910952   	163.912219     	18.196241      	0.871064       	0.000000       	0.871064       	0.889322       	0.002223       	0.052820       	0.103374       	0.025953       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15557.065088   	164.571567     	18.156891      	0.845864       	0.000000       	0.845864       	0.844514       	0.002111       	0.040699       	0.183055       	0.041605       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15556.230487   	165.277231     	18.139071      	0.834601       	0.000000       	0.834601       	0.803836       	0.002010       	0.048585       	0.096163       	0.022300       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15555.432123   	165.985326     	18.080552      	0.798364       	0.000000       	0.798364       	0.791218       	0.001978       	0.065665       	0.081145       	0.017736       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15554.657332   	166.654302     	18.029993      	0.774790       	0.000000       	0.774790       	0.731610       	0.001829       	0.093739       	0.060806       	0.012573       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15553.891789   	167.316845     	18.008386      	0.765543       	0.000000       	0.765543       	0.719522       	0.001799       	0.067628       	0.055180       	0.011167       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	15553.133008   	167.963315     	17.999918      	0.758781       	0.000000       	0.758781       	0.697261       	0.001743       	0.069989       	0.049048       	0.009845       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	15552.368519   	168.602395     	18.022925      	0.764489       	0.000000       	0.764489       	0.685602       	0.001714       	0.055880       	0.044808       	0.008929       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	15551.610741   	169.233875     	18.004946      	0.757778       	0.000000       	0.757778       	0.673310       	0.001683       	0.102448       	0.040146       	0.007956       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	15550.844817   	169.869800     	18.004369      	0.765924       	0.000000       	0.765924       	0.674404       	0.001686       	0.092097       	0.036793       	0.007121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	15550.059561   	170.525214     	18.006684      	0.785256       	0.000000       	0.785256       	0.692201       	0.001731       	0.090740       	0.035056       	0.006730       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-13	15549.105419   	171.231720     	18.108056      	0.954142       	0.000000       	0.954142       	0.742726       	0.001857       	0.110044       	0.034363       	0.006523       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-14	15548.163249   	171.903902     	18.259214      	0.942169       	0.000000       	0.942169       	0.729329       	0.001823       	0.061682       	0.055324       	0.012917       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-15	15547.243461   	172.599205     	18.383446      	0.919788       	0.000000       	0.919788       	0.734446       	0.001836       	0.061110       	0.037307       	0.008656       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-16	15546.383922   	173.286683     	18.464027      	0.859539       	0.000000       	0.859539       	0.719177       	0.001798       	0.059781       	0.029901       	0.006345       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-17	15545.591435   	173.952180     	18.485424      	0.792487       	0.000000       	0.792487       	0.693094       	0.001733       	0.077995       	0.025865       	0.005239       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-18	15544.804564   	174.630553     	18.497803      	0.786871       	0.000000       	0.786871       	0.704977       	0.001762       	0.069515       	0.024841       	0.004884       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-19	15544.003794   	175.332566     	18.479604      	0.800771       	0.000000       	0.800771       	0.728104       	0.001820       	0.090866       	0.024271       	0.004654       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-20	15543.194228   	176.042461     	18.482435      	0.809566       	0.000000       	0.809566       	0.734956       	0.001837       	0.071778       	0.023223       	0.004356       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-21	15542.412502   	176.725973     	18.469868      	0.781758       	0.000000       	0.781758       	0.709093       	0.001773       	0.081854       	0.020431       	0.003634       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-22	15541.645043   	177.390924     	18.485335      	0.767579       	0.000000       	0.767579       	0.696253       	0.001741       	0.046136       	0.019336       	0.003406       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-23	15540.880096   	178.042289     	18.468729      	0.765253       	0.000000       	0.765253       	0.697949       	0.001745       	0.066027       	0.018624       	0.003243       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-24	15540.102655   	178.692069     	18.401256      	0.778034       	0.000000       	0.778034       	0.714012       	0.001785       	0.109014       	0.018407       	0.003167       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-25	15539.309475   	179.345046     	18.301907      	0.794118       	0.000000       	0.794118       	0.731862       	0.001830       	0.140150       	0.018237       	0.003091       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-26	15538.491752   	180.024171     	18.234884      	0.819015       	0.000000       	0.819015       	0.758907       	0.001897       	0.106995       	0.018355       	0.003065       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-27	15537.663238   	180.720147     	18.203909      	0.830097       	0.000000       	0.830097       	0.772641       	0.001932       	0.068283       	0.018048       	0.002961       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-28	15536.837941   	181.366249     	18.122585      	0.827354       	0.000000       	0.827354       	0.773140       	0.001933       	0.112683       	0.017409       	0.002807       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-29	15536.012929   	181.975519     	17.969866      	0.827699       	0.000000       	0.827699       	0.776474       	0.001941       	0.182015       	0.016906       	0.002682       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-30	15535.155297   	182.618613     	17.777918      	0.861121       	0.000000       	0.861121       	0.816203       	0.002041       	0.218137       	0.017251       	0.002700       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-31	15534.290009   	183.273796     	17.684520      	0.869345       	0.000000       	0.869345       	0.825386       	0.002063       	0.119153       	0.016883       	0.002584       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-01	15533.451397   	183.868774     	17.629589      	0.843094       	0.000000       	0.843094       	0.796956       	0.001992       	0.080177       	0.015791       	0.002366       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-02	15532.613464   	184.454278     	17.582669      	0.843107       	0.000000       	0.843107       	0.799914       	0.002000       	0.068672       	0.015417       	0.002285       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-03	15531.538817   	184.989640     	17.790709      	1.083651       	0.000000       	1.083651       	0.800495       	0.002001       	0.051573       	0.019977       	0.003329       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-04	15530.567085   	185.450163     	17.839307      	0.980806       	0.000000       	0.980806       	0.808431       	0.002021       	0.098419       	0.014662       	0.002105       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-05	15529.629335   	185.886572     	17.887721      	0.947720       	0.000000       	0.947720       	0.806101       	0.002015       	0.068066       	0.014160       	0.001995       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-06	15528.606897   	186.244879     	18.010255      	1.035647       	0.000000       	1.035647       	0.805616       	0.002014       	0.082133       	0.013612       	0.001884       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-07	15527.644204   	186.557092     	18.064701      	0.976729       	0.000000       	0.976729       	0.820204       	0.002051       	0.078794       	0.013302       	0.001812       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-08	15526.563699   	187.113683     	18.201799      	1.097412       	0.000000       	1.097412       	0.825498       	0.002064       	0.126693       	0.015293       	0.002272       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-09	15525.429157   	187.105864     	18.450437      	1.157719       	0.000000       	1.157719       	0.819087       	0.002048       	0.070487       	0.038126       	0.007047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-10	15524.343741   	186.993657     	18.654047      	1.111417       	-0.000007      	1.111411       	0.808381       	0.002021       	0.055544       	0.031797       	0.005662       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-11	15523.324240   	186.601159     	18.781783      	1.048788       	-0.000025      	1.048764       	0.805842       	0.002015       	0.070130       	0.036372       	0.007401       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-12	15522.347632   	186.017724     	18.844775      	1.010527       	-0.000029      	1.010498       	0.824168       	0.002060       	0.083845       	0.015152       	0.003200       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-13	15521.438806   	185.215187     	18.775338      	0.947021       	-0.000031      	0.946991       	0.841544       	0.002104       	0.141273       	0.012260       	0.002221       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-14	15520.576794   	184.143002     	18.631468      	0.905752       	-0.000043      	0.905709       	0.850424       	0.002126       	0.166349       	0.010653       	0.001720       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-15	15519.723537   	182.929043     	18.413925      	0.904565       	-0.000090      	0.904476       	0.877533       	0.002194       	0.214548       	0.009566       	0.001409       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-16	15518.723201   	181.821018     	18.480654      	1.066722       	-0.000232      	1.066490       	0.855741       	0.002139       	0.114076       	0.016893       	0.002604       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-17	15517.752866   	179.997539     	18.501972      	1.044920       	-0.000605      	1.044315       	0.888598       	0.002221       	0.096374       	0.006984       	0.000757       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-18	15516.778495   	178.008610     	18.475834      	1.059464       	-0.000869      	1.058595       	0.934977       	0.002337       	0.117280       	0.011807       	0.001652       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-19	15515.904924   	175.357647     	18.240479      	0.962927       	-0.001153      	0.961773       	0.981403       	0.002454       	0.185367       	0.005783       	0.000578       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-20	15515.074348   	174.232062     	18.269153      	0.915530       	-0.001113      	0.914417       	0.805367       	0.002270       	0.055715       	0.514510       	0.068128       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-21	15514.249518   	170.151804     	18.195636      	0.925454       	-0.002171      	0.923284       	0.872026       	0.002180       	0.066435       	0.262259       	0.051156       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-22	15513.476732   	165.488852     	17.970854      	0.887208       	-0.003188      	0.884020       	0.930684       	0.002327       	0.131751       	0.204166       	0.040513       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-23	15512.740961   	160.221614     	17.575613      	0.867845       	-0.004050      	0.863795       	1.026784       	0.002567       	0.197061       	0.146281       	0.028721       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-24	15512.001610   	155.402642     	17.185730      	0.891348       	-0.004753      	0.886594       	1.091180       	0.002728       	0.158570       	0.109437       	0.020773       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-25	15511.246698   	150.279607     	16.785708      	0.928535       	-0.005771      	0.922764       	1.159003       	0.002898       	0.139362       	0.080442       	0.014493       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-26	15510.504504   	144.123363     	16.339561      	0.933237       	-0.007185      	0.926052       	1.205756       	0.003014       	0.143113       	0.054091       	0.009081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-27	15509.781255   	138.021660     	15.902459      	0.926349       	-0.008422      	0.917927       	1.235141       	0.003088       	0.100151       	0.036405       	0.005664       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-28	15509.087466   	134.199599     	15.472874      	0.903759       	-0.008706      	0.895053       	1.221081       	0.003053       	0.094449       	0.024503       	0.003530       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-29	15508.431489   	130.211582     	14.997755      	0.869243       	-0.008967      	0.860277       	1.214681       	0.003037       	0.113452       	0.015916       	0.002098       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-30	15507.800816   	126.787823     	14.548152      	0.845978       	-0.009078      	0.836899       	1.204072       	0.003010       	0.077662       	0.010307       	0.001238       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-01	15507.202967   	123.707450     	14.093195      	0.809396       	-0.008974      	0.800422       	1.180700       	0.002952       	0.071046       	0.005160       	0.000373       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-02	15506.469821   	120.256873     	13.799610      	0.989193       	-0.008778      	0.980416       	1.192511       	0.002981       	0.077190       	0.003470       	0.000228       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-03	15505.908432   	116.653049     	13.350704      	0.772920       	-0.008574      	0.764347       	1.143183       	0.002858       	0.067139       	0.002401       	0.000141       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-04	15505.479368   	112.890412     	12.817373      	0.605031       	-0.008145      	0.596886       	1.068071       	0.002670       	0.058419       	0.001592       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-05	15504.974883   	110.372147     	12.416501      	0.701997       	-0.007464      	0.694533       	1.036118       	0.002590       	0.057879       	0.001081       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-06	15504.367674   	107.057992     	12.246227      	0.869953       	-0.007946      	0.862007       	0.991025       	0.002478       	0.038351       	0.009319       	0.000252       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-07	15503.797642   	103.786184     	12.078435      	0.820824       	-0.008219      	0.812605       	0.956634       	0.002392       	0.025898       	0.008787       	0.000383       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-08	15503.279915   	99.915692      	11.823658      	0.746899       	-0.007996      	0.738903       	0.962826       	0.002407       	0.025410       	0.001746       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-09	15502.813101   	96.170534      	11.444967      	0.669797       	-0.007528      	0.662269       	0.982656       	0.002457       	0.052688       	0.000259       	0.000004       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-10	15502.511305   	92.870939      	10.833670      	0.439515       	-0.006482      	0.433033       	0.944372       	0.002361       	0.095018       	0.000238       	0.000003       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-11	15502.342560   	90.448423      	10.146441      	0.258477       	-0.005660      	0.252816       	0.854241       	0.002136       	0.081900       	0.000215       	0.000003       	0.000000       	0.000000       	0.000000       	0.000000       
