DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	78.252507      	169.432296     	67.930922      	0.000000       	67.930922      	7.523344       	0.018808       	1.225282       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	86.109805      	161.842206     	0.836899       	0.000000       	0.836899       	7.879112       	0.019698       	0.547877       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	93.711087      	154.282754     	0.814482       	0.000000       	0.814482       	7.622372       	0.019056       	0.751562       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	100.800053     	147.262185     	0.776384       	0.000000       	0.776384       	7.108621       	0.017772       	0.688331       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	107.959332     	140.308140     	0.767723       	0.000000       	0.767723       	7.178863       	0.017947       	0.542905       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	116.063337     	132.098299     	0.800831       	0.000000       	0.800831       	8.126062       	0.020315       	0.884611       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	124.360042     	123.490105     	0.820015       	0.000000       	0.820015       	8.319313       	0.020798       	1.108895       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	159.993266     	176.769919     	0.844938       	0.000000       	0.844938       	13.168042      	0.032920       	1.897082       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	170.975236     	164.995632     	0.811370       	0.000000       	0.811370       	11.011347      	0.027528       	1.574310       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	180.471442     	154.572106     	0.777453       	0.000000       	0.777453       	9.521816       	0.023805       	1.679163       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	187.234790     	147.359418     	0.697294       	0.000000       	0.697294       	6.781947       	0.016955       	1.128035       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	195.485309     	138.762994     	0.721646       	0.000000       	0.721646       	8.272939       	0.020682       	1.045132       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	203.410289     	130.187407     	0.715250       	0.000000       	0.715250       	7.946593       	0.019866       	1.344244       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	210.660625     	122.525624     	0.699829       	0.000000       	0.699829       	7.270256       	0.018176       	1.091355       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	239.845366     	167.741637     	0.697677       	0.000000       	0.697677       	10.462673      	0.026157       	1.268991       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	248.791125     	157.995210     	0.668913       	0.000000       	0.668913       	8.969923       	0.022425       	1.445417       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	256.035973     	150.509407     	0.627063       	0.000000       	0.627063       	7.264674       	0.018162       	0.848193       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	263.308005     	142.585781     	0.616072       	0.000000       	0.616072       	7.291925       	0.018230       	1.247773       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	270.212010     	134.919507     	0.602324       	0.000000       	0.602324       	6.922968       	0.017307       	1.345630       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	276.740877     	127.949598     	0.590325       	0.000000       	0.590325       	6.546886       	0.016367       	1.013347       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	280.980395     	123.876459     	0.572370       	0.000000       	0.572370       	4.253247       	0.010633       	0.392262       	0.003097       	0.001066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	302.361781     	177.639392     	0.453935       	0.000000       	0.453935       	2.689109       	0.006723       	0.251893       	0.051001       	0.019751       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	306.008683     	174.150570     	0.462767       	0.000000       	0.462767       	3.701358       	0.009253       	0.250231       	0.045203       	0.015049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	310.013558     	170.375997     	0.467062       	0.000000       	0.467062       	4.064654       	0.010162       	0.176981       	0.049618       	0.017288       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	315.911361     	164.429647     	0.530737       	0.000000       	0.530737       	5.971267       	0.014928       	0.505820       	0.058536       	0.018686       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	323.809389     	156.253466     	0.609287       	0.000000       	0.609287       	7.987778       	0.019969       	0.797690       	0.069781       	0.021334       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	327.184787     	152.857435     	0.462807       	0.000000       	0.462807       	3.497898       	0.008746       	0.360940       	0.113754       	0.029079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500259   	331.085484     	149.067579     	0.474464       	0.000000       	0.474464       	3.971556       	0.009929       	0.292765       	0.060929       	0.020416       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000350   	352.410762     	187.506679     	0.499910       	0.000000       	0.499910       	6.405497       	0.016014       	0.655313       	0.064206       	0.021000       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500443   	359.138801     	180.366711     	0.499906       	0.000000       	0.499906       	6.811819       	0.017030       	0.828055       	0.066751       	0.021586       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985426   	366.724812     	171.990513     	0.515018       	0.000000       	0.515018       	7.663891       	0.019160       	1.227325       	0.058720       	0.016206       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456348   	374.722283     	163.498695     	0.529078       	0.000000       	0.529078       	8.068932       	0.020172       	0.951965       	0.051289       	0.013446       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911463   	382.910377     	154.582384     	0.544885       	0.000000       	0.544885       	8.255350       	0.020638       	1.205846       	0.046618       	0.011960       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379476   	389.170406     	148.071458     	0.531987       	0.000000       	0.531987       	6.311603       	0.015779       	0.731310       	0.035795       	0.009131       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796843   	395.676865     	141.053004     	0.582633       	0.000000       	0.582633       	6.557232       	0.016393       	1.043855       	0.034380       	0.008692       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256683   	434.101621     	222.243655     	0.540160       	0.000000       	0.540160       	8.476588       	0.021191       	0.872922       	0.030640       	0.008124       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774060   	439.924847     	216.258759     	0.482622       	0.000000       	0.482622       	5.909156       	0.014773       	0.558362       	0.071157       	0.027480       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333668   	444.741991     	211.068816     	0.440392       	0.000000       	0.440392       	5.072048       	0.012737       	0.558288       	0.242168       	0.067382       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852764   	450.989587     	204.650332     	0.480904       	0.000000       	0.480904       	6.485824       	0.016251       	0.413563       	0.221977       	0.057852       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492809   	456.398649     	198.761147     	0.359956       	0.000000       	0.359956       	5.731395       	0.014329       	0.517745       	0.308004       	0.056326       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125452   	462.448771     	191.708415     	0.367356       	0.000000       	0.367356       	6.594361       	0.016503       	0.825727       	0.527737       	0.067589       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815757   	468.467768     	184.543260     	0.309695       	0.000000       	0.309695       	6.556979       	0.016434       	0.917872       	0.521548       	0.052905       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416205   	499.210886     	228.052445     	0.399552       	0.000000       	0.399552       	12.371713      	0.030929       	0.768653       	0.347666       	0.042167       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922340   	510.001147     	216.648955     	0.493865       	0.000000       	0.493865       	11.215805      	0.028040       	0.681550       	0.397504       	0.077864       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384715   	520.081152     	206.016969     	0.537625       	0.000000       	0.537625       	10.474341      	0.026186       	0.695270       	0.368150       	0.080074       	0.000000       	0.000000       	0.000000       	0.000000       
