DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	74.035798      	158.731479     	67.930922      	0.000000       	67.930922      	7.055466       	0.017639       	1.143978       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	81.404340      	151.667708     	0.836899       	0.000000       	0.836899       	7.389132       	0.018473       	0.511538       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	88.535028      	144.629862     	0.814482       	0.000000       	0.814482       	7.150598       	0.017876       	0.701730       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	95.188160      	138.091850     	0.776384       	0.000000       	0.776384       	6.671694       	0.016679       	0.642702       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	101.908163     	131.614165     	0.767723       	0.000000       	0.767723       	6.738486       	0.016846       	0.506922       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	109.512795     	123.963569     	0.800831       	0.000000       	0.800831       	7.625437       	0.019064       	0.825989       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	117.299675     	115.939952     	0.820015       	0.000000       	0.820015       	7.808211       	0.019521       	1.035421       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	152.413182     	169.819716     	0.844938       	0.000000       	0.844938       	12.647023      	0.031618       	1.818151       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	162.965063     	158.542091     	0.811370       	0.000000       	0.811370       	10.580180      	0.026450       	1.508815       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	172.092873     	148.557735     	0.777453       	0.000000       	0.777453       	9.152498       	0.022881       	1.609311       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	178.599772     	141.649063     	0.697294       	0.000000       	0.697294       	6.524854       	0.016312       	1.081112       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	186.533247     	133.413949     	0.721646       	0.000000       	0.721646       	7.955100       	0.019888       	1.001661       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	194.155028     	125.198224     	0.715250       	0.000000       	0.715250       	7.642635       	0.019107       	1.288340       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	201.130221     	117.857658     	0.699829       	0.000000       	0.699829       	6.994424       	0.017486       	1.045971       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	225.639981     	152.870841     	0.697677       	0.000000       	0.697677       	9.535374       	0.023838       	1.149120       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	233.800033     	144.048619     	0.668913       	0.000000       	0.668913       	8.182247       	0.020456       	1.308887       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	240.417107     	137.272277     	0.627063       	0.000000       	0.627063       	6.635326       	0.016588       	0.768079       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	247.058485     	130.098736     	0.616072       	0.000000       	0.616072       	6.659690       	0.016649       	1.129924       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	253.365943     	123.157587     	0.602324       	0.000000       	0.602324       	6.324927       	0.015812       	1.218546       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	259.333090     	116.846502     	0.590325       	0.000000       	0.590325       	5.983758       	0.014959       	0.917651       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	263.221315     	113.162539     	0.572370       	0.000000       	0.572370       	3.901056       	0.009753       	0.355277       	0.003078       	0.001042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	300.073568     	211.402743     	0.453935       	0.000000       	0.453935       	3.160984       	0.007902       	0.302747       	0.050828       	0.019630       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	304.400469     	207.181888     	0.462767       	0.000000       	0.462767       	4.382885       	0.010957       	0.300737       	0.045028       	0.014947       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	309.159964     	202.615269     	0.467062       	0.000000       	0.467062       	4.820991       	0.012052       	0.212690       	0.049442       	0.017187       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	316.195006     	195.427026     	0.530737       	0.000000       	0.530737       	7.111132       	0.017778       	0.607848       	0.058312       	0.018563       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	325.631516     	185.547956     	0.609287       	0.000000       	0.609287       	9.529836       	0.023825       	0.958521       	0.069501       	0.021181       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	329.645962     	181.438857     	0.462807       	0.000000       	0.462807       	4.138244       	0.010347       	0.433662       	0.113451       	0.028992       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500259   	334.286194     	176.848790     	0.474464       	0.000000       	0.474464       	4.712797       	0.011782       	0.351734       	0.060783       	0.020351       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000350   	377.191482     	268.396969     	0.499910       	0.000000       	0.499910       	9.242444       	0.023106       	0.959287       	0.064050       	0.020933       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500443   	386.935529     	257.849519     	0.499906       	0.000000       	0.499906       	9.835196       	0.024588       	1.212159       	0.066561       	0.021485       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985426   	397.927715     	245.489673     	0.515018       	0.000000       	0.515018       	11.078399      	0.027696       	1.796465       	0.058518       	0.016104       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456348   	409.513098     	232.959808     	0.529078       	0.000000       	0.529078       	11.665651      	0.029164       	1.393292       	0.051104       	0.013353       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911463   	421.369632     	219.807149     	0.544885       	0.000000       	0.544885       	11.932813      	0.029832       	1.764730       	0.046447       	0.011874       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379476   	430.397925     	210.182435     	0.531987       	0.000000       	0.531987       	9.086675       	0.022717       	1.070026       	0.035665       	0.009064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796842   	439.784394     	199.794041     	0.582633       	0.000000       	0.582633       	9.444334       	0.023611       	1.526693       	0.034254       	0.008628       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256682   	484.577249     	289.329480     	0.540160       	0.000000       	0.540160       	11.101172      	0.027753       	1.153549       	0.030564       	0.008108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774060   	492.198299     	281.362163     	0.482622       	0.000000       	0.482622       	7.712108       	0.019280       	0.737832       	0.071777       	0.028218       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333668   	498.579792     	274.417640     	0.440392       	0.000000       	0.440392       	6.647219       	0.016670       	0.737696       	0.249056       	0.071624       	0.000000       	0.000000       	0.000000       	0.000000       
