DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15604.402007   	51.339273      	99.021058      	59.949093      	0.000000       	59.949093      	3.386574       	0.008466       	0.291462       	0.288835       	0.000850       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15603.647099   	54.389694      	96.361816      	0.754908       	0.000000       	0.754908       	3.082054       	0.007705       	0.332096       	0.023927       	0.003007       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15602.971164   	56.940566      	94.299871      	0.675935       	0.000000       	0.675935       	2.575896       	0.006440       	0.161983       	0.018584       	0.002336       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15602.268411   	60.107900      	91.496440      	0.702753       	0.000000       	0.702753       	3.195220       	0.007988       	0.310964       	0.019898       	0.002324       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15601.591879   	63.144778      	88.789219      	0.676532       	0.000000       	0.676532       	3.062944       	0.007657       	0.320809       	0.018409       	0.002121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15600.946607   	66.080800      	86.096318      	0.645272       	0.000000       	0.645272       	2.958538       	0.007396       	0.379635       	0.015120       	0.001599       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15600.264926   	69.727743      	82.611245      	0.681681       	0.000000       	0.681681       	3.669084       	0.009173       	0.497670       	0.012968       	0.001109       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15599.566407   	107.722665     	164.038857     	0.698519       	0.000000       	0.698519       	8.026355       	0.020066       	1.244552       	0.011367       	0.000902       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15598.868922   	115.372827     	156.250152     	0.697486       	0.000000       	0.697486       	7.679357       	0.019198       	0.806834       	0.009997       	0.000765       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15598.104602   	124.887280     	146.487115     	0.764320       	0.000000       	0.764320       	9.548985       	0.023872       	0.978372       	0.010659       	0.000789       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15597.353999   	133.146158     	137.408311     	0.750603       	0.000000       	0.750603       	8.288632       	0.020722       	1.540775       	0.009032       	0.000664       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15596.625596   	140.351030     	129.548174     	0.728403       	0.000000       	0.728403       	7.230668       	0.018077       	1.357873       	0.007719       	0.000533       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15595.896039   	147.483743     	121.869852     	0.729557       	0.000000       	0.729557       	7.157908       	0.017895       	1.249971       	0.007301       	0.000504       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15595.150080   	154.798947     	113.907622     	0.745959       	0.000000       	0.745959       	7.340659       	0.018352       	1.367530       	0.007104       	0.000489       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15594.366329   	202.384387     	215.957072     	0.783751       	0.000000       	0.783751       	10.134452      	0.025336       	1.099849       	0.023676       	0.009313       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15593.539141   	213.520305     	203.708784     	0.827187       	0.000000       	0.827187       	11.199091      	0.027998       	1.876384       	0.035175       	0.013287       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15592.869282   	220.443961     	196.377429     	0.669860       	0.000000       	0.669860       	7.146485       	0.017996       	0.854730       	0.204833       	0.043531       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15592.177607   	228.203189     	188.379807     	0.691674       	0.000000       	0.691674       	7.882958       	0.019707       	0.806338       	0.104023       	0.023242       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15591.545754   	234.672461     	181.729139     	0.631853       	0.000000       	0.631853       	6.546615       	0.016367       	0.735906       	0.060976       	0.015151       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15590.927318   	241.664632     	174.360538     	0.618437       	0.000000       	0.618437       	7.073391       	0.017683       	0.913647       	0.063537       	0.015453       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15590.328814   	248.596263     	166.932646     	0.598503       	0.000000       	0.598503       	6.999706       	0.017499       	1.026689       	0.050576       	0.010220       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15589.727175   	289.958708     	244.708007     	0.601639       	0.000000       	0.601639       	11.435038      	0.028588       	1.391241       	0.044005       	0.008249       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15589.140993   	300.365773     	232.990049     	0.586182       	0.000000       	0.586182       	10.470041      	0.026175       	1.834099       	0.036801       	0.006692       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15588.584015   	309.171135     	222.711024     	0.556979       	0.000000       	0.556979       	8.857865       	0.022145       	1.978138       	0.030359       	0.005417       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15588.017224   	318.731270     	211.805316     	0.566790       	0.000000       	0.566790       	9.613216       	0.024033       	1.859282       	0.029048       	0.005114       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15587.459066   	327.611031     	201.821816     	0.558158       	0.000000       	0.558158       	8.927706       	0.022319       	1.613952       	0.025626       	0.004431       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15586.845258   	339.225285     	189.060853     	0.613807       	0.000000       	0.613807       	11.670990      	0.029177       	1.703780       	0.027558       	0.004564       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15586.222663   	349.824068     	177.633744     	0.622596       	0.000000       	0.622596       	10.650416      	0.026626       	1.399289       	0.025007       	0.004045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15585.572303   	392.506674     	238.566300     	0.650360       	0.000000       	0.650360       	16.499082      	0.041248       	1.968723       	0.025228       	0.004029       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15584.857122   	411.884802     	217.341304     	0.715180       	0.000000       	0.715180       	19.453829      	0.048635       	2.486347       	0.027066       	0.004238       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15584.146173   	428.281353     	199.489334     	0.710949       	0.000000       	0.710949       	16.462434      	0.041156       	2.100485       	0.024726       	0.003762       	0.000000       	0.000000       	0.000000       	0.000000       
