DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.360286   	74.926734      	153.369374     	62.990814      	0.000000       	62.990814      	7.948886       	0.019872       	0.672554       	0.002280       	0.000121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.508443   	82.362607      	146.048766     	0.851843       	0.000000       	0.851843       	7.456572       	0.018641       	0.715879       	0.002057       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.722444   	88.685744      	139.681722     	0.785999       	0.000000       	0.785999       	6.340820       	0.015852       	0.812222       	0.001831       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.942526   	95.278010      	132.788034     	0.779918       	0.000000       	0.779918       	6.610413       	0.016526       	1.063194       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.171529   	101.813643     	126.290745     	0.770997       	0.000000       	0.770997       	6.553639       	0.016384       	0.714648       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.434343   	107.598128     	120.716872     	0.737185       	0.000000       	0.737185       	5.800552       	0.014501       	0.510506       	0.001567       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.700389   	113.490718     	114.599116     	0.733955       	0.000000       	0.733955       	5.908948       	0.014772       	0.942762       	0.001585       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.905788   	150.644256     	181.974935     	0.794601       	0.000000       	0.794601       	10.932537      	0.027331       	1.236245       	0.001668       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.134199   	160.892423     	171.320856     	0.771589       	0.000000       	0.771589       	10.275533      	0.025689       	1.150135       	0.001677       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.369345   	170.895485     	161.095727     	0.764854       	0.000000       	0.764854       	10.029847      	0.025075       	0.960136       	0.001711       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.626446   	176.896467     	155.419058     	0.742899       	0.000000       	0.742899       	6.051453       	0.015129       	0.368114       	0.035343       	0.013440       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.031217   	180.381838     	152.157029     	0.595229       	0.000000       	0.595229       	3.585626       	0.008964       	0.271632       	0.091291       	0.024129       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.458914   	183.995379     	148.770601     	0.572303       	0.000000       	0.572303       	3.700114       	0.009250       	0.258617       	0.077322       	0.018430       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.906019   	187.701112     	145.235440     	0.552895       	0.000000       	0.552895       	3.764625       	0.009412       	0.323431       	0.049481       	0.012837       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.324136   	217.019541     	205.791142     	0.581883       	0.000000       	0.581883       	6.890423       	0.017226       	0.635758       	0.054768       	0.013717       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15590.761331   	223.472234     	199.107574     	0.562805       	0.000000       	0.562805       	6.520187       	0.016300       	0.726185       	0.051193       	0.012720       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.195972   	230.593291     	191.446531     	0.565359       	0.000000       	0.565359       	7.188253       	0.017971       	1.038149       	0.049225       	0.011234       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15589.670762   	236.624882     	185.074078     	0.525211       	0.000000       	0.525211       	6.085438       	0.015214       	0.812226       	0.038634       	0.007901       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.097201   	244.695196     	176.877363     	0.573561       	0.000000       	0.573561       	8.133861       	0.020335       	0.636415       	0.043212       	0.008173       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.543646   	251.205265     	170.159642     	0.553555       	0.000000       	0.553555       	6.558522       	0.016396       	0.712754       	0.032057       	0.006044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15587.973343   	256.847640     	164.595120     	0.570303       	0.000000       	0.570303       	5.684786       	0.014212       	0.450038       	0.028200       	0.005640       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.412626   	295.466933     	245.825142     	0.560717       	0.000000       	0.560717       	8.667811       	0.021670       	0.662884       	0.026848       	0.005039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15586.874264   	303.332554     	237.683938     	0.538362       	0.000000       	0.538362       	7.910886       	0.019777       	0.768680       	0.025488       	0.004794       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.305876   	311.422218     	229.625300     	0.568388       	0.000000       	0.568388       	8.147213       	0.020368       	0.479814       	0.037181       	0.010563       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.778990   	317.814463     	223.193487     	0.526886       	0.000000       	0.526886       	6.443998       	0.016110       	0.514701       	0.035642       	0.011225       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15585.230184   	325.368060     	215.495704     	0.548806       	0.000000       	0.548806       	7.603742       	0.019009       	0.642847       	0.031135       	0.007482       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15584.633248   	334.759382     	205.676051     	0.596937       	0.000000       	0.596937       	9.446841       	0.023617       	0.969750       	0.031902       	0.006437       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15584.023793   	345.046995     	194.516061     	0.609455       	0.000000       	0.609455       	10.347086      	0.025868       	1.422358       	0.033605       	0.006373       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15583.425180   	384.496955     	258.283607     	0.598612       	0.000000       	0.598612       	13.261811      	0.033155       	2.319256       	0.028697       	0.005370       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.913208   	391.690802     	250.597530     	0.511973       	0.000000       	0.511973       	7.474088       	0.018706       	0.723961       	0.261536       	0.049794       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15582.333284   	401.726454     	239.886356     	0.579923       	0.000000       	0.579923       	10.244428      	0.026040       	1.046670       	0.182735       	0.042795       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.747391   	411.939223     	228.371897     	0.585894       	0.000000       	0.585894       	10.387059      	0.025968       	1.713294       	0.148323       	0.036778       	0.000000       	0.000000       	0.000000       	0.000000       
