DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.360286   	74.926734      	153.369374     	62.990814      	0.000000       	62.990814      	7.948886       	0.019872       	0.672554       	0.002280       	0.000121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.508443   	82.362607      	146.048766     	0.851843       	0.000000       	0.851843       	7.456572       	0.018641       	0.715879       	0.002057       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.722444   	88.685744      	139.681722     	0.785999       	0.000000       	0.785999       	6.340820       	0.015852       	0.812222       	0.001831       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.942526   	95.278010      	132.788034     	0.779918       	0.000000       	0.779918       	6.610413       	0.016526       	1.063194       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.171529   	101.813643     	126.290745     	0.770997       	0.000000       	0.770997       	6.553639       	0.016384       	0.714648       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.434343   	107.598128     	120.716872     	0.737185       	0.000000       	0.737185       	5.800552       	0.014501       	0.510506       	0.001567       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.700389   	113.490718     	114.599116     	0.733955       	0.000000       	0.733955       	5.908948       	0.014772       	0.942762       	0.001585       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.905788   	155.025300     	192.516683     	0.794601       	0.000000       	0.794601       	11.565163      	0.028913       	1.311872       	0.001668       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.134199   	165.863540     	181.200703     	0.771589       	0.000000       	0.771589       	10.867085      	0.027168       	1.220483       	0.001677       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.369345   	176.440569     	170.341450     	0.764854       	0.000000       	0.764854       	10.605252      	0.026513       	1.018855       	0.001711       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.626446   	182.778183     	164.304349     	0.742899       	0.000000       	0.742899       	6.389390       	0.015973       	0.390611       	0.035802       	0.013802       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.031217   	186.455817     	160.831453     	0.595229       	0.000000       	0.595229       	3.779896       	0.009450       	0.288228       	0.092813       	0.024909       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.458914   	190.270374     	157.226320     	0.572303       	0.000000       	0.572303       	3.903025       	0.009758       	0.274411       	0.078711       	0.019077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.906019   	194.182399     	153.463728     	0.552895       	0.000000       	0.552895       	3.972309       	0.009931       	0.343177       	0.050353       	0.013283       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.324136   	211.408733     	181.194617     	0.581883       	0.000000       	0.581883       	6.047148       	0.015118       	0.553847       	0.055696       	0.014153       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15590.761332   	217.066778     	175.400347     	0.562804       	0.000000       	0.562804       	5.724454       	0.014311       	0.632621       	0.052097       	0.013164       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.195973   	223.307428     	168.754776     	0.565359       	0.000000       	0.565359       	6.306530       	0.015766       	0.904400       	0.050115       	0.011638       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15589.670762   	228.600345     	163.226756     	0.525211       	0.000000       	0.525211       	5.345626       	0.013364       	0.707605       	0.039344       	0.008196       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.097201   	235.669643     	156.114705     	0.573560       	0.000000       	0.573560       	7.131145       	0.017828       	0.554466       	0.044019       	0.008487       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.543647   	241.382094     	150.287739     	0.553555       	0.000000       	0.553555       	5.759497       	0.014399       	0.621024       	0.032648       	0.006277       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15587.973343   	246.338868     	145.467863     	0.570303       	0.000000       	0.570303       	4.997944       	0.012495       	0.392235       	0.028675       	0.005810       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.412627   	276.012577     	205.761905     	0.560717       	0.000000       	0.560717       	7.219095       	0.018048       	0.547579       	0.027338       	0.005234       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15586.874265   	282.563691     	199.071725     	0.538362       	0.000000       	0.538362       	6.593550       	0.016484       	0.634993       	0.025951       	0.004979       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.305876   	289.299415     	192.453480     	0.568388       	0.000000       	0.568388       	6.790144       	0.016975       	0.396491       	0.037444       	0.010480       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.778991   	294.632846     	187.172350     	0.526885       	0.000000       	0.526885       	5.382668       	0.013457       	0.425348       	0.035780       	0.011053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15585.230185   	300.926777     	180.848595     	0.548806       	0.000000       	0.548806       	6.341312       	0.015853       	0.531249       	0.031527       	0.007562       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15584.633248   	308.742005     	172.776810     	0.596937       	0.000000       	0.596937       	7.867329       	0.019668       	0.801393       	0.032433       	0.006631       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15584.023794   	317.301633     	163.595507     	0.609455       	0.000000       	0.609455       	8.615369       	0.021538       	1.175389       	0.034202       	0.006606       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15583.425181   	350.892410     	218.607782     	0.598612       	0.000000       	0.598612       	11.147847      	0.027870       	1.938491       	0.029200       	0.005567       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.913209   	356.910247     	212.224465     	0.511973       	0.000000       	0.511973       	6.290084       	0.015748       	0.605205       	0.256499       	0.047493       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15582.333285   	365.307355     	203.330986     	0.579923       	0.000000       	0.579923       	8.598392       	0.021949       	0.875010       	0.179334       	0.040899       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.747391   	373.859543     	193.765055     	0.585894       	0.000000       	0.585894       	8.719539       	0.021799       	1.432286       	0.145552       	0.035193       	0.000000       	0.000000       	0.000000       	0.000000       
