DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15600.960663   	70.797555      	143.037426     	63.390437      	0.000000       	63.390437      	7.568740       	0.018922       	0.534271       	0.002263       	0.000121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.182565   	76.433781      	137.190133     	0.778098       	0.000000       	0.778098       	5.652193       	0.014130       	0.973198       	0.001836       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.397747   	82.718355      	131.027060     	0.784819       	0.000000       	0.784819       	6.302170       	0.015755       	0.645721       	0.001841       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.663931   	88.080307      	125.454772     	0.733816       	0.000000       	0.733816       	5.376900       	0.013442       	0.929204       	0.001505       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15597.956201   	93.106792      	120.418729     	0.707730       	0.000000       	0.707730       	5.040561       	0.012601       	0.703212       	0.001475       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.279517   	97.698880      	116.071857     	0.676684       	0.000000       	0.676684       	4.605022       	0.011513       	0.418533       	0.001422       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.644176   	101.656442     	112.013076     	0.635341       	0.000000       	0.635341       	3.968831       	0.009922       	0.725291       	0.001347       	0.000037       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15596.064382   	137.089246     	196.054684     	0.579794       	0.000000       	0.579794       	5.447662       	0.013619       	1.090525       	0.001239       	0.000034       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.447094   	144.790967     	187.282524     	0.617289       	0.000000       	0.617289       	7.722372       	0.019306       	1.667076       	0.001346       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
