DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15593.058492   	78.104983      	157.594340     	71.292608      	0.000000       	71.292608      	11.135236      	0.027838       	1.563032       	0.002415       	0.000117       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15592.081739   	88.555175      	146.876182     	0.976752       	0.000000       	0.976752       	10.478677      	0.026197       	1.216233       	0.002289       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15591.158274   	97.468209      	137.799146     	0.923465       	0.000000       	0.923465       	8.937266       	0.022343       	1.063236       	0.001889       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15590.269573   	105.593691     	129.584247     	0.888701       	0.000000       	0.888701       	8.147701       	0.020369       	0.955898       	0.001850       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15589.400727   	113.310194     	121.791611     	0.868846       	0.000000       	0.868846       	7.737686       	0.019344       	0.923797       	0.001839       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15588.483410   	122.244035     	112.240739     	0.917317       	0.000000       	0.917317       	8.958222       	0.022396       	1.509966       	0.001985       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15587.570978   	130.520157     	103.355843     	0.912431       	0.000000       	0.912431       	8.298877       	0.020747       	1.498451       	0.002007       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15586.665554   	170.308433     	167.192822     	0.905425       	0.000000       	0.905425       	13.574250      	0.033936       	2.244195       	0.002039       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15585.807486   	181.402384     	155.707490     	0.858067       	0.000000       	0.858067       	11.123734      	0.027809       	1.219665       	0.001973       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15584.973455   	191.640018     	144.299127     	0.834032       	0.000000       	0.834032       	10.265261      	0.025663       	1.977134       	0.001964       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15584.073315   	204.321302     	130.046585     	0.900139       	0.000000       	0.900139       	12.715245      	0.031788       	2.437436       	0.002172       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15583.170615   	215.826059     	118.118717     	0.902700       	0.000000       	0.902700       	11.535832      	0.028840       	1.294737       	0.002235       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15582.318095   	221.252620     	113.145357     	0.852520       	0.000000       	0.852520       	5.462654       	0.013657       	0.363227       	0.022436       	0.010256       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15581.467559   	226.998375     	107.919361     	0.850536       	0.000000       	0.850536       	5.778585       	0.014446       	0.297947       	0.018384       	0.008134       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15580.676002   	258.029632     	166.783662     	0.791557       	0.000000       	0.791557       	8.560695       	0.021402       	0.866561       	0.008036       	0.002765       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15579.859295   	267.866188     	156.555999     	0.816707       	0.000000       	0.816707       	9.867344       	0.024668       	1.177027       	0.006119       	0.001494       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15579.062056   	277.804886     	146.098128     	0.797240       	0.000000       	0.797240       	9.967867       	0.024920       	1.287244       	0.004250       	0.000841       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15578.311354   	286.554737     	137.073014     	0.750702       	0.000000       	0.750702       	8.775074       	0.021938       	1.000742       	0.003285       	0.000521       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15577.574095   	295.027816     	128.294626     	0.737259       	0.000000       	0.737259       	8.497221       	0.021243       	1.018426       	0.002899       	0.000381       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15576.862589   	302.655062     	120.692127     	0.711506       	0.000000       	0.711506       	7.648982       	0.019122       	0.665023       	0.002614       	0.000288       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15576.180797   	307.368875     	116.156474     	0.681792       	0.000000       	0.681792       	4.738761       	0.011847       	0.478684       	0.013100       	0.006830       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15575.514084   	345.354450     	198.385173     	0.666713       	0.000000       	0.666713       	8.023693       	0.020059       	0.414322       	0.018059       	0.009665       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15574.857826   	353.606762     	190.309170     	0.656258       	0.000000       	0.656258       	8.282495       	0.020706       	0.449767       	0.009476       	0.004627       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15574.188493   	362.624698     	181.282917     	0.669333       	0.000000       	0.669333       	9.045107       	0.022613       	0.650478       	0.004558       	0.001574       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15573.525965   	371.609743     	172.305858     	0.662528       	0.000000       	0.662528       	9.010296       	0.022526       	0.629290       	0.002726       	0.000421       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15572.905582   	379.766251     	164.183359     	0.620383       	0.000000       	0.620383       	8.179423       	0.020449       	0.563460       	0.002466       	0.000324       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15572.357558   	385.840976     	158.016823     	0.548024       	0.000000       	0.548024       	6.092040       	0.015230       	0.622520       	0.002085       	0.000221       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15571.841224   	391.554342     	151.950866     	0.516334       	0.000000       	0.516334       	5.729330       	0.014323       	0.852961       	0.001641       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
