DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15611.626104   	81.782939      	166.063479     	52.724996      	0.000000       	52.724996      	7.303252       	0.018258       	0.858266       	0.002054       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15610.794651   	89.745554      	158.172358     	0.831452       	0.000000       	0.831452       	7.984575       	0.019961       	0.737999       	0.001999       	0.000094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15609.995396   	97.180250      	150.789747     	0.799256       	0.000000       	0.799256       	7.455200       	0.018638       	0.726666       	0.001867       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15609.230032   	103.911055     	143.984303     	0.765364       	0.000000       	0.765364       	6.749256       	0.016873       	0.821552       	0.001577       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15608.460400   	110.969914     	136.543601     	0.769632       	0.000000       	0.769632       	7.078167       	0.017695       	1.132168       	0.001613       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15607.726500   	117.106512     	130.354681     	0.733900       	0.000000       	0.733900       	6.153532       	0.015384       	0.769287       	0.001550       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15606.985222   	123.576746     	123.885909     	0.741278       	0.000000       	0.741278       	6.488050       	0.016220       	0.722001       	0.001595       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15606.237678   	156.260296     	180.962835     	0.747544       	0.000000       	0.747544       	10.210708      	0.025527       	0.959910       	0.001631       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15605.521358   	164.979359     	171.043308     	0.716320       	0.000000       	0.716320       	8.742505       	0.021856       	1.893342       	0.001586       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15604.834653   	172.658594     	162.550866     	0.686705       	0.000000       	0.686705       	7.700032       	0.019250       	1.479115       	0.001547       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15604.105132   	182.250981     	151.966216     	0.729521       	0.000000       	0.729521       	9.618108       	0.024045       	1.696062       	0.001675       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15603.377163   	191.247655     	142.319513     	0.727969       	0.000000       	0.727969       	9.020927       	0.022552       	1.353745       	0.001702       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15602.659821   	199.474512     	133.226523     	0.717342       	0.000000       	0.717342       	8.249194       	0.020623       	1.561139       	0.001714       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15601.917139   	205.468080     	127.292007     	0.742683       	0.000000       	0.742683       	6.015616       	0.015039       	0.661583       	0.007009       	0.003072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15601.240313   	222.927500     	154.921357     	0.676826       	0.000000       	0.676826       	6.227759       	0.015569       	0.569717       	0.002769       	0.000779       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15600.626557   	228.433498     	149.021157     	0.613755       	0.000000       	0.613755       	5.521265       	0.013803       	0.992690       	0.001465       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15600.009066   	235.030984     	142.629708     	0.617491       	0.000000       	0.617491       	6.615549       	0.016539       	0.393391       	0.001524       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15599.394428   	241.996676     	135.376158     	0.614638       	0.000000       	0.614638       	6.984725       	0.017462       	0.883463       	0.001571       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15598.805289   	248.150864     	128.449281     	0.589139       	0.000000       	0.589139       	6.171172       	0.015428       	1.344843       	0.001556       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15598.185957   	255.444929     	120.860700     	0.619332       	0.000000       	0.619332       	7.314016       	0.018285       	0.893897       	0.001666       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15597.583294   	261.849348     	114.029261     	0.602662       	0.000000       	0.602662       	6.422140       	0.016055       	1.011962       	0.001665       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15596.953744   	282.362571     	137.652035     	0.629551       	0.000000       	0.629551       	9.288212       	0.023221       	1.468564       	0.001769       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15596.344181   	290.150218     	129.170781     	0.609563       	0.000000       	0.609563       	7.808927       	0.019522       	1.281889       	0.001758       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15595.747013   	297.207460     	121.578371     	0.597168       	0.000000       	0.597168       	7.076691       	0.017692       	1.112888       	0.001756       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15595.165587   	303.578934     	114.882243     	0.581426       	0.000000       	0.581426       	6.389190       	0.015973       	0.888364       	0.001744       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15594.580136   	310.099155     	107.852785     	0.585451       	0.000000       	0.585451       	6.538350       	0.016346       	1.076559       	0.001782       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15594.013402   	315.731468     	101.610291     	0.566735       	0.000000       	0.566735       	5.648196       	0.014120       	1.161032       	0.001763       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15593.422246   	322.180764     	95.089596      	0.591156       	0.000000       	0.591156       	6.467320       	0.016168       	0.644531       	0.001856       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15592.878860   	356.436913     	165.545109     	0.543385       	0.000000       	0.543385       	8.027970       	0.020070       	0.809903       	0.001751       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15592.338790   	364.584308     	156.995733     	0.540070       	0.000000       	0.540070       	8.169568       	0.020424       	0.919877       	0.001749       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15591.775896   	374.232666     	146.367993     	0.562894       	0.000000       	0.562894       	9.674385       	0.024186       	1.516250       	0.001842       	0.000065       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15591.191823   	384.360800     	134.671572     	0.584073       	0.000000       	0.584073       	10.155467      	0.025389       	2.125027       	0.001944       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15590.592399   	394.237885     	123.603679     	0.599424       	0.000000       	0.599424       	9.903878       	0.024760       	1.763439       	0.002033       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15589.955770   	404.704286     	111.120419     	0.636629       	0.000000       	0.636629       	10.494815      	0.026237       	2.625075       	0.002178       	0.000081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15589.243153   	413.942998     	101.086165     	0.712617       	0.000000       	0.712617       	9.264136       	0.023160       	1.482735       	0.002263       	0.000085       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15588.544863   	443.903923     	145.289488     	0.698290       	0.000000       	0.698290       	11.241254      	0.028103       	1.503713       	0.002226       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15587.810550   	453.924288     	134.831073     	0.734313       	0.000000       	0.734313       	10.052861      	0.025132       	1.139867       	0.007365       	0.003158       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15587.152707   	459.167939     	129.764135     	0.657843       	0.000000       	0.657843       	5.355302       	0.013388       	0.369480       	0.098262       	0.046086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15586.497666   	464.976052     	123.954141     	0.655041       	0.000000       	0.655041       	5.860333       	0.014651       	0.604701       	0.037569       	0.017854       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15585.853323   	471.197196     	117.482068     	0.644343       	0.000000       	0.644343       	6.273086       	0.015683       	0.843330       	0.036260       	0.016813       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15585.212185   	477.855935     	110.293945     	0.641137       	0.000000       	0.641137       	6.689226       	0.016723       	1.140034       	0.013765       	0.005331       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15584.508666   	483.994885     	104.204760     	0.703519       	0.000000       	0.703519       	6.168298       	0.015421       	0.624405       	0.013927       	0.005646       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15583.773321   	529.644957     	193.010624     	0.735346       	0.000000       	0.735346       	11.964783      	0.029912       	1.214699       	0.034800       	0.017308       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15583.158956   	536.637633     	185.490552     	0.614365       	0.000000       	0.614365       	7.392265       	0.018481       	0.742171       	0.381109       	0.123741       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15582.640978   	542.927205     	178.756253     	0.517978       	0.000000       	0.517978       	6.887054       	0.017220       	0.365222       	0.580262       	0.090993       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15582.073269   	550.521206     	170.542005     	0.567709       	0.000000       	0.567709       	8.019883       	0.020051       	0.762074       	0.405831       	0.068749       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15581.479163   	557.668695     	163.263323     	0.594106       	0.000000       	0.594106       	7.496135       	0.018742       	0.376653       	0.329904       	0.079899       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15580.885021   	564.942319     	155.379375     	0.594143       	0.000000       	0.594143       	7.569233       	0.018923       	0.908858       	0.276686       	0.078096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15580.339941   	571.139094     	148.602877     	0.545080       	0.000000       	0.545080       	6.446887       	0.016117       	0.874691       	0.233994       	0.064820       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15579.793413   	608.209764     	215.724544     	0.546528       	0.000000       	0.546528       	11.081665      	0.027704       	1.093195       	0.233291       	0.063784       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15579.301610   	616.255958     	207.204560     	0.491803       	0.000000       	0.491803       	8.272580       	0.020681       	0.739208       	0.205705       	0.054017       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15578.787639   	626.159403     	195.873724     	0.513972       	0.000000       	0.513972       	10.136605      	0.025342       	1.708202       	0.207819       	0.055155       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15578.269516   	636.016886     	185.345798     	0.518123       	0.000000       	0.518123       	10.085507      	0.025214       	0.960541       	0.202810       	0.052412       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15577.715946   	643.768408     	176.850172     	0.553570       	0.000000       	0.553570       	7.956927       	0.019892       	1.092270       	0.185512       	0.046433       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15577.166609   	650.650520     	169.850304     	0.549337       	0.000000       	0.549337       	7.075790       	0.017689       	0.473416       	0.175989       	0.043670       	0.000000       	0.000000       	0.000000       	0.000000       
